lens,layer,relative_depth,site,condition,sign_consistency_z,permutation_p,displacement,control_displacement,specificity,beats_random_lens
jlens,27,0.931,last_token,rename_opaque_encode_flatten,0.4444444444444444,0.59,0.05555555555555558,0.09722222222222221,0.5714285714285717,False
jlens,29,1.0,last_token,clean_heldout,0.5972222222222222,0.0,0.09722222222222221,0.08333333333333337,1.166666666666666,True
jlens,29,1.0,last_token,encode_only,0.4861111111111111,0.662,0.013888888888888895,0.09722222222222221,0.14285714285714293,False
jlens,29,1.0,last_token,flatten_only,0.5277777777777778,0.286,0.02777777777777779,0.06944444444444442,0.4000000000000003,False
jlens,29,1.0,last_token,normalize,0.5277777777777778,0.144,0.02777777777777779,0.08333333333333337,0.3333333333333333,False
jlens,29,1.0,last_token,opaque_only,0.4444444444444444,0.502,0.05555555555555558,0.11111111111111116,0.5,False
jlens,29,1.0,last_token,rename_cumulative,0.3611111111111111,0.034,0.1388888888888889,0.2361111111111111,0.5882352941176471,False
jlens,29,1.0,last_token,rename_only,0.375,0.056,0.125,0.08333333333333331,1.5000000000000004,True
jlens,29,1.0,last_token,rename_opaque,0.3888888888888889,0.02,0.1111111111111111,0.20833333333333331,0.5333333333333333,False
jlens,29,1.0,last_token,rename_opaque_encode,0.3055555555555556,0.012,0.19444444444444442,0.18055555555555558,1.0769230769230766,True
jlens,29,1.0,last_token,rename_opaque_encode_flatten,0.4861111111111111,0.798,0.013888888888888895,0.09722222222222221,0.14285714285714293,False
jlens,-1,,sink_arg,clean_heldout,0.1111111111111111,0.946,0.3888888888888889,0.375,1.037037037037037,True
jlens,-1,,sink_arg,encode_only,0.1111111111111111,0.946,0.3888888888888889,0.375,1.037037037037037,True
jlens,-1,,sink_arg,flatten_only,0.1111111111111111,0.946,0.3888888888888889,0.375,1.037037037037037,True
jlens,-1,,sink_arg,normalize,0.1111111111111111,0.946,0.3888888888888889,0.375,1.037037037037037,True
jlens,-1,,sink_arg,opaque_only,0.1111111111111111,0.946,0.3888888888888889,0.375,1.037037037037037,True
