model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
starcoder2-3b,mismatched_pairs,jlens,7,last_token,normalize,baseline,0,0.2414,72,0.005716338236751116,-3.487669631166761e-07,0.4861111111111111,0.5,-0.010626684823442735,-0.010626336056479618,0.2807073011309013,0.746,0.017484100175053703,1.0,0.125,0.0,0.0625,57.0
starcoder2-3b,mismatched_pairs,jlens,7,last_token,rename_only,atomic,11,0.2414,72,-0.0460496239930028,-5.4922118236691636e-06,0.4027777777777778,0.3888888888888889,-0.010615506085058806,-0.010610013873235137,-1.7690750690449517,0.096,0.027302098912803982,1.0,0.0,0.0,0.0625,149.0
starcoder2-3b,mismatched_pairs,jlens,7,last_token,opaque_only,atomic,12,0.2414,72,-0.15181006941302455,-2.175358776495277e-05,0.4166666666666667,0.3472222222222222,-0.01057620568417681,-0.010554452096411857,-1.2304994230757198,0.226,0.12502197534174353,0.6388888888888888,0.125,0.0,0.0,187.0
starcoder2-3b,mismatched_pairs,jlens,7,last_token,encode_only,atomic,13,0.2414,72,0.0327941376740056,-5.568586665025653e-08,0.6111111111111112,0.5138888888888888,-0.01063480829458681,-0.010634752608720158,1.9915831892958837,0.054,0.016788400186546325,1.0,0.125,0.0,0.0,25.0
starcoder2-3b,mismatched_pairs,jlens,7,last_token,flatten_only,atomic,14,0.2414,72,-0.0016856784797594736,1.9225585646083404e-06,0.5555555555555556,0.5,-0.010397577027545398,-0.010399499586110007,-0.11420241673164683,0.966,0.05023762622326583,0.041666666666666664,0.125,0.0,0.0,111.0
starcoder2-3b,mismatched_pairs,jlens,7,last_token,rename_cumulative,cumulative,21,0.2414,72,-0.013376706349403158,-6.936191769107243e-06,0.5277777777777778,0.4444444444444444,-0.010613364585209383,-0.010606428393440274,-0.509874179895913,0.676,0.029134910555210485,1.0,0.125,0.125,0.03125,50.0
starcoder2-3b,mismatched_pairs,jlens,7,last_token,rename_opaque,cumulative,22,0.2414,72,0.09162197852444037,1.0092817102758242e-05,0.4722222222222222,0.4861111111111111,-0.010522057854397523,-0.010532150671500283,0.8162512547479647,0.404,0.11219133262086897,0.5,0.0,0.0,0.0,13.0
starcoder2-3b,mismatched_pairs,jlens,7,last_token,rename_opaque_encode,cumulative,23,0.2414,72,0.03367308463659924,1.0522095747211958e-05,0.4722222222222222,0.5416666666666666,-0.01053637457560341,-0.010546896671350621,0.24971671695116576,0.8,0.11095716567252761,0.5694444444444444,0.0,0.0,0.0,96.0
starcoder2-3b,mismatched_pairs,jlens,7,last_token,rename_opaque_encode_flatten,cumulative,24,0.2414,72,-0.0271018689911307,6.617337785381595e-07,0.4583333333333333,0.4861111111111111,-0.010350203982340723,-0.010350865716119258,-0.5714908127961471,0.588,0.05065619308091544,0.125,0.25,0.125,0.0,183.0
starcoder2-3b,mismatched_pairs,jlens,11,last_token,clean_heldout,clean,-1,0.3793,72,-0.0005614907359138879,3.7843618088982564e-07,0.5,0.4305555555555556,-0.010221245011445767,-0.010221623447626655,-0.05119383652633715,0.96,0.010013364205580322,1.0,0.875,0.5,0.03125,95.0
