model,lens,layer,site,condition,condition_kind,condition_order,cosine_to_clean
starcoder2-3b,clens,15,sink_arg,rename_cumulative,cumulative,21,0.8475811872025598
starcoder2-3b,clens,15,sink_arg,rename_opaque,cumulative,22,0.8555893420003308
starcoder2-3b,clens,15,sink_arg,rename_opaque_encode,cumulative,23,0.8502882263470608
starcoder2-3b,clens,15,sink_arg,rename_opaque_encode_flatten,cumulative,24,0.6809888991738694
starcoder2-3b,clens,19,sink_arg,clean_heldout,clean,-1,1.0000000000000002
starcoder2-3b,clens,19,sink_arg,normalize,baseline,0,0.9995587410254573
starcoder2-3b,clens,19,sink_arg,rename_only,atomic,11,0.9223475139279118
starcoder2-3b,clens,19,sink_arg,opaque_only,atomic,12,0.9817654795835371
starcoder2-3b,clens,19,sink_arg,encode_only,atomic,13,0.9860922512013802
starcoder2-3b,clens,19,sink_arg,flatten_only,atomic,14,0.6563763537920515
starcoder2-3b,clens,19,sink_arg,rename_cumulative,cumulative,21,0.9147562588875476
starcoder2-3b,clens,19,sink_arg,rename_opaque,cumulative,22,0.9120044631161024
starcoder2-3b,clens,19,sink_arg,rename_opaque_encode,cumulative,23,0.919203346790762
starcoder2-3b,clens,19,sink_arg,rename_opaque_encode_flatten,cumulative,24,0.6789768345425651
starcoder2-3b,clens,23,sink_arg,clean_heldout,clean,-1,1.0
starcoder2-3b,clens,23,sink_arg,normalize,baseline,0,0.9995034835035312
starcoder2-3b,clens,23,sink_arg,rename_only,atomic,11,0.9113046288732839
starcoder2-3b,clens,23,sink_arg,opaque_only,atomic,12,0.9858166285246224
starcoder2-3b,clens,23,sink_arg,encode_only,atomic,13,0.9795061970840765
starcoder2-3b,clens,23,sink_arg,flatten_only,atomic,14,0.6417617197004722
starcoder2-3b,clens,23,sink_arg,rename_cumulative,cumulative,21,0.8966306321571055
starcoder2-3b,clens,23,sink_arg,rename_opaque,cumulative,22,0.9139683380844975
starcoder2-3b,clens,23,sink_arg,rename_opaque_encode,cumulative,23,0.9086535593844771
starcoder2-3b,clens,23,sink_arg,rename_opaque_encode_flatten,cumulative,24,0.6529134255390182
starcoder2-3b,clens,27,sink_arg,clean_heldout,clean,-1,1.0000000000000004
starcoder2-3b,clens,27,sink_arg,normalize,baseline,0,0.9991067725981978
starcoder2-3b,clens,27,sink_arg,rename_only,atomic,11,0.901310418467853
starcoder2-3b,clens,27,sink_arg,opaque_only,atomic,12,0.9776371118827469
starcoder2-3b,clens,27,sink_arg,encode_only,atomic,13,0.9552495082382323
starcoder2-3b,clens,27,sink_arg,flatten_only,atomic,14,0.436899005242241
starcoder2-3b,clens,27,sink_arg,rename_cumulative,cumulative,21,0.8759050979263064
starcoder2-3b,clens,27,sink_arg,rename_opaque,cumulative,22,0.8975926410105997
starcoder2-3b,clens,27,sink_arg,rename_opaque_encode,cumulative,23,0.84804508992056
starcoder2-3b,clens,27,sink_arg,rename_opaque_encode_flatten,cumulative,24,0.489033907160823
starcoder2-3b,clens,29,sink_arg,clean_heldout,clean,-1,1.0000000000000002
starcoder2-3b,clens,29,sink_arg,normalize,baseline,0,0.99887262687431
starcoder2-3b,clens,29,sink_arg,rename_only,atomic,11,0.8865100855860302
starcoder2-3b,clens,29,sink_arg,opaque_only,atomic,12,0.9686011582924231
starcoder2-3b,clens,29,sink_arg,encode_only,atomic,13,0.9180744944942024
starcoder2-3b,clens,29,sink_arg,flatten_only,atomic,14,0.3604060066295051
starcoder2-3b,clens,29,sink_arg,rename_cumulative,cumulative,21,0.8441507453194558
starcoder2-3b,clens,29,sink_arg,rename_opaque,cumulative,22,0.8571441813393245
starcoder2-3b,clens,29,sink_arg,rename_opaque_encode,cumulative,23,0.7489897391503678
starcoder2-3b,clens,29,sink_arg,rename_opaque_encode_flatten,cumulative,24,0.42657646656007076
starcoder2-3b,logit,-1,last_token,clean_heldout,clean,-1,
starcoder2-3b,logit,-1,last_token,normalize,baseline,0,
starcoder2-3b,logit,-1,last_token,rename_only,atomic,11,
starcoder2-3b,logit,-1,last_token,opaque_only,atomic,12,
starcoder2-3b,logit,-1,last_token,encode_only,atomic,13,
starcoder2-3b,logit,-1,last_token,flatten_only,atomic,14,
starcoder2-3b,logit,-1,last_token,rename_cumulative,cumulative,21,
starcoder2-3b,logit,-1,last_token,rename_opaque,cumulative,22,
starcoder2-3b,logit,-1,last_token,rename_opaque_encode,cumulative,23,
starcoder2-3b,logit,-1,last_token,rename_opaque_encode_flatten,cumulative,24,
starcoder2-3b,logit,0,last_token,clean_heldout,clean,-1,0.9999999999999996
starcoder2-3b,logit,0,last_token,normalize,baseline,0,0.2519665432934561
starcoder2-3b,logit,0,last_token,rename_only,atomic,11,0.07454683964708354
starcoder2-3b,logit,0,last_token,opaque_only,atomic,12,0.005812190617470438
starcoder2-3b,logit,0,last_token,encode_only,atomic,13,0.27868889276434156
starcoder2-3b,logit,0,last_token,flatten_only,atomic,14,0.001280785068869726
