model,split,lens,layer,site,token_id,token,mean_delta_z,rank,sign_consistency,is_concept_unsafe,is_concept_safe,is_random_control,n_pairs
starcoder2-3b,train,clens,-1,sink_arg,43215,}_${,-0.05838477620607494,186,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,25548,ardu,-0.01391189411027796,138,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,25261,η,-0.022708167410201714,149,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,4180, put,-0.0036948048677376034,110,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,48419,fuchsia,0.014292151267055657,66,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,43405,OCR,-0.006411042044970051,119,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,18778,OrNull,-0.046409963273490076,178,0.08928571428571429,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,16254, Execution,0.011633257879852713,71,0.14285714285714285,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,5613,DK,0.006829831990008669,81,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,40137,Wn,0.012891294723487675,68,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,46226,liament,0.0018362101142713498,98,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,47605,nxt,-0.00963750503890796,127,0.10119047619047619,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,1664,format,0.037387628447191415,20,0.14285714285714285,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,42137,NSInteger,0.04781829112375199,12,0.1488095238095238,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,20732,SCHEMA,0.028053909600948206,31,0.1488095238095238,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,11372,matic,-0.010060736692941911,130,0.10714285714285714,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,22192,ynb,-0.060996301264309084,187,0.10714285714285714,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,46628,Wq,0.007139237610796549,79,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,6430,tection,0.045572394439507814,15,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,46968,Repl,0.0022953157560345653,96,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,6133,gistration,-0.010967505536310108,133,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,12921,Under,0.0006174562273787663,101,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,7199,mitive,-0.024079115251518353,152,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,38454,tshop,-0.07073886897372278,190,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,46223,Wc,0.021077355710095644,45,0.15476190476190477,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,19827,warded,0.01565642141174643,62,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,44021, substit,-0.005740895605782409,118,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,39049,赛,0.03414899648592094,24,0.1488095238095238,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,1428,do,0.0806302785192365,3,0.14285714285714285,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,14085,bru,-0.0056897265638413885,117,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,39833,//+,0.019668678490385196,48,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,43977,etest,-0.031391109444002176,165,0.10119047619047619,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,20874,nical,-0.062200033572847015,188,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,48869, seguida,0.057537493424983814,6,0.15476190476190477,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,39157,ToDate,-0.010875962212288983,132,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,32355,appcompat,0.01545016490824848,64,0.14285714285714285,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,9224,weet,-0.03974234459498653,174,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,34906,いう,0.017019988236242168,58,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,4621,ircle,-0.03199580420796952,168,0.10119047619047619,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,25337, OnNext,-0.027633579738512992,157,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,22680,minder,0.02745695582972261,33,0.13690476190476192,0,0,0,168
