base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0280,calib,ab,target,use,whole_state,6,4096,2,6,-4.125,1.125,5.25,1,1,0,0,0.6787668952572998,30.60502722844066,45.089157179416105,4096,False,"H0,H1,H2,H3",False,
base_0280,calib,ba,source,use,das_binding,6,1,2,6,-2.875,3.999999761581421,6.874999761581421,1,1,0,0,0.4595528289709611,19.173985716417736,41.72313716216799,1,False,"H0,H1,H2,H3",False,
base_0280,calib,ba,source,use,whole_state,6,4096,2,6,-2.875,-0.125,2.75,0,0,1,0,0.7241500619245195,30.213812359669166,41.72313716216799,4096,False,"H0,H1,H2,H3",False,
base_0280,calib,ba,target,use,das_binding,6,1,6,2,-4.125,5.0,9.125,1,1,0,0,0.4320977602145188,19.173985716417736,44.374184459782064,1,False,"H0,H1,H2,H3",False,
base_0280,calib,ba,target,use,whole_state,6,4096,6,2,-4.125,2.25,6.375,1,1,0,0,0.6808871583218176,30.213812359669166,44.374184459782064,4096,False,"H0,H1,H2,H3",False,
base_0283,calib,ab,source,use,das_binding,6,1,5,3,-1.875,5.25,7.125,1,1,0,0,0.4451958016319528,19.264866452008917,43.27279453532526,1,False,"H0,H1,H2,H3",False,
base_0283,calib,ab,source,use,whole_state,6,4096,5,3,-1.875,3.125,5.0,1,1,0,0,0.7025725774974746,30.402278792202104,43.27279453532526,4096,False,"H0,H1,H2,H3",False,
base_0283,calib,ab,target,use,das_binding,6,1,3,5,-4.5,3.75,8.25,1,1,0,0,0.423154109874483,19.264866452008917,45.526832901902594,1,False,"H0,H1,H2,H3",False,
base_0283,calib,ab,target,use,whole_state,6,4096,3,5,-4.5,0.5,5.0,1,1,0,0,0.6677881340375771,30.402278792202104,45.526832901902594,4096,False,"H0,H1,H2,H3",False,
base_0283,calib,ba,source,use,das_binding,6,1,3,5,-3.0,4.75,7.75,1,1,0,0,0.4439644023649069,19.0547238018494,42.91948566224862,1,False,"H0,H1,H2,H3",False,
base_0283,calib,ba,source,use,whole_state,6,4096,3,5,-3.0,3.25,6.25,1,1,0,0,0.6999911828730387,30.043261537019838,42.91948566224862,4096,False,"H0,H1,H2,H3",False,
base_0283,calib,ba,target,use,das_binding,6,1,5,3,-3.25,4.75,8.0,1,1,0,0,0.4222699702796314,19.0547238018494,45.12450598661129,1,False,"H0,H1,H2,H3",False,
base_0283,calib,ba,target,use,whole_state,6,4096,5,3,-3.25,1.5,4.75,1,1,0,0,0.6657859378213216,30.043261537019838,45.12450598661129,4096,False,"H0,H1,H2,H3",False,
base_0284,calib,ab,source,use,das_binding,6,1,2,4,-2.75,5.0,7.75,1,1,0,0,0.4676189810886748,19.993818287358774,42.75664396858035,1,False,"H0,H1,H2,H3",False,
base_0284,calib,ab,source,use,whole_state,6,4096,2,4,-2.75,-2.625,0.125,0,0,1,0,0.7415592027251428,31.70658281254323,42.75664396858035,4096,False,"H0,H1,H2,H3",False,
base_0284,calib,ab,target,use,das_binding,6,1,4,2,-3.125,5.125,8.25,1,1,0,0,0.4403438527747203,19.993818287358774,45.40501283570229,1,False,"H0,H1,H2,H3",False,
base_0284,calib,ab,target,use,whole_state,6,4096,4,2,-3.125,1.9999998807907104,5.1249998807907104,1,1,0,0,0.6983057779825604,31.70658281254323,45.40501283570229,4096,False,"H0,H1,H2,H3",False,
