lens,layer,read,family,concept,n_bases,binding_delta_ab,binding_delta_ab_lo,binding_delta_ab_hi,binding_delta_ba,binding_delta_ba_lo,binding_delta_ba_hi,value_delta,value_delta_lo,value_delta_hi,crossed_agreement
logit-lens,2,call,generic_code,result,56,-0.0011378696986607143,-0.014060156685965402,0.011576134817940842,0.0012098039899553572,-0.011887904575892857,0.01415604182652064,-0.0023476736886160715,-0.011420195443289621,0.007022884913853234,False
logit-lens,2,call,generic_code,return,56,0.044712611607142856,0.027969796316964286,0.06354631696428571,0.04729352678571429,0.028039550781250002,0.0676688058035714,-0.0025809151785714285,-0.012555803571428572,0.008232770647321419,True
logit-lens,2,call,generic_code,string,56,0.039766856602260044,0.021303585597446988,0.05911352293831961,0.04221997942243304,0.023177882603236607,0.06164490836007246,-0.002453122820172991,-0.010964182444981168,0.006820842197963157,True
logit-lens,2,call,generic_code,total,56,0.04097638811383929,0.015149034772600448,0.06494903564453124,0.049251011439732144,0.028054373604910716,0.06879980904715402,-0.008274623325892858,-0.020315987723214284,0.0043162754603794625,True
logit-lens,2,call,positional,earlier,56,0.06427873883928571,0.04847237723214286,0.08007899693080357,0.06717354910714286,0.05192696707589286,0.08259102957589284,-0.002894810267857143,-0.012765938895089285,0.007184709821428571,True
logit-lens,2,call,positional,kept,56,-0.007254464285714286,-0.020926339285714284,0.007533482142857143,-0.005301339285714286,-0.018973214285714284,0.009486607142857142,-0.001953125,-0.012841796874999999,0.010044642857142858,True
logit-lens,2,call,positional,later,56,0.008222307477678572,-0.0011171613420758928,0.01757005964006696,0.011553083147321428,0.0017418997628348217,0.021083504813058037,-0.003330775669642857,-0.013273402622767856,0.006697518484933029,True
logit-lens,2,call,positional,replaced,56,0.02880859375,0.012799508231026786,0.0473127092633928,0.030186244419642856,0.015328107561383928,0.047232927594866074,-0.0013776506696428572,-0.010811941964285714,0.007798985072544621,True
logit-lens,2,call,random_concepts,random_0,56,0.009530203683035714,-0.004434858049665178,0.024310302734374994,0.016871861049107144,0.0017691476004464287,0.03239702497209818,-0.007341657366071429,-0.01578281947544643,0.002267892020089281,True
logit-lens,2,call,random_concepts,random_1,56,0.05943080357142857,0.04478236607142857,0.07464076450892855,0.06431361607142858,0.04966517857142857,0.08021763392857142,-0.0048828125,-0.013253348214285714,0.004324776785714286,True
logit-lens,2,call,random_concepts,random_2,56,0.06361607142857142,0.05133928571428571,0.07686941964285714,0.06752232142857142,0.054408482142857144,0.0807791573660714,-0.00390625,-0.013253348214285714,0.005859375,True
logit-lens,2,post_use,binding_concept,active,56,0.004045758928571429,-0.011582728794642857,0.019395228794642838,0.005859375,-0.009214564732142856,0.021763392857142856,-0.0018136160714285715,-0.012559291294642857,0.008510044642857142,True
logit-lens,2,post_use,binding_concept,binding,56,-0.11579241071428571,-0.14258510044642858,-0.09291294642857142,-0.10658482142857142,-0.13392857142857142,-0.08147321428571429,-0.009207589285714286,-0.021205357142857144,0.0027901785714285715,True
logit-lens,2,post_use,binding_concept,bound,56,-0.22098214285714285,-0.2533551897321429,-0.19252232142857142,-0.21121651785714285,-0.24024832589285713,-0.18357979910714292,-0.009765625,-0.020096261160714286,0.0005580357142857143,True
logit-lens,2,post_use,binding_concept,definition,56,0.09319196428571429,0.07868303571428571,0.10825892857142858,0.08928571428571429,0.07700892857142858,0.1015625,0.00390625,-0.005022321428571429,0.01229073660714278,True
logit-lens,2,post_use,binding_concept,global,56,0.0011160714285714285,-0.017857142857142856,0.020089285714285716,-0.0033482142857142855,-0.021763392857142856,0.015625,0.004464285714285714,-0.0078125,0.016741071428571428,False
logit-lens,2,post_use,binding_concept,inner,56,0.05970982142857143,0.033468191964285715,0.08816964285714286,0.06752232142857142,0.04185267857142857,0.09542410714285714,-0.0078125,-0.017299107142857144,0.0011300223214284952,True
logit-lens,2,post_use,binding_concept,local,56,-0.01429121834891183,-0.033142771039690294,0.0063628469194684685,-0.016792808260236467,-0.03481533101626805,0.002298366171973078,0.002501589911324637,-0.006288490976606096,0.011268827744892665,True
logit-lens,2,post_use,binding_concept,outer,56,-0.06389508928571429,-0.09151785714285714,-0.03877650669642861,-0.060825892857142856,-0.09124581473214285,-0.033203125,-0.0030691964285714285,-0.014236886160714285,0.0078125,True
logit-lens,2,post_use,binding_concept,scope,56,0.12193080357142858,0.09178989955357143,0.15430385044642853,0.11551339285714286,0.08510044642857142,0.14677036830357137,0.006417410714285714,-0.004185267857142857,0.017299107142857144,True
logit-lens,2,post_use,binding_concept,shadow,56,-0.11662946428571429,-0.140625,-0.09514508928571429,-0.115234375,-0.1392368861607143,-0.09290597098214289,-0.0013950892857142857,-0.011160714285714286,0.008370535714285714,True
logit-lens,2,post_use,binding_concept,value,56,-0.027762276785714284,-0.04366978236607143,-0.013532366071428572,-0.024135044642857144,-0.039341517857142856,-0.009905133928571428,-0.003627232142857143,-0.012974330357142858,0.005723353794642838,True
logit-lens,2,post_use,binding_concept,variable,56,0.060825892857142856,0.03982805524553571,0.08217599051339282,0.06040736607142857,0.03864222935267857,0.0828700474330357,0.0004185267857142857,-0.00969761439732143,0.010046386718749991,True
logit-lens,2,post_use,generic_code,buffer,56,-0.13671875,-0.15876116071428573,-0.11607142857142858,-0.13225446428571427,-0.15402483258928573,-0.11077008928571429,-0.004464285714285714,-0.013950892857142858,0.005308314732142819,True
logit-lens,2,post_use,generic_code,class,56,-0.04282924107142857,-0.05943080357142857,-0.02566615513392859,-0.052036830357142856,-0.06947893415178572,-0.03473772321428571,0.009207589285714286,-0.0005615234374999997,0.0185546875,True
logit-lens,2,post_use,generic_code,count,56,0.10379464285714286,0.08314732142857142,0.12555803571428573,0.1015625,0.08370535714285714,0.12109375,0.002232142857142857,-0.008370535714285714,0.012834821428571428,True
logit-lens,2,post_use,generic_code,error,56,-0.04506138392857143,-0.05845424107142857,-0.030412946428571428,-0.045200892857142856,-0.05943429129464285,-0.02998744419642861,0.00013950892857142856,-0.009765625,0.010184151785714286,True
logit-lens,2,post_use,generic_code,file,56,-0.03722132955278669,-0.05169807502201625,-0.022312999623162418,-0.03521115439278739,-0.04847638266427177,-0.02223407200404576,-0.0020101751599993023,-0.009186982257025583,0.0048442210469927085,True
logit-lens,2,post_use,generic_code,import,56,-0.06194196428571429,-0.08008510044642857,-0.04380580357142857,-0.06919642857142858,-0.08705357142857142,-0.051060267857142856,0.007254464285714286,-0.0027901785714285715,0.017020089285714284,True
logit-lens,2,post_use,generic_code,index,56,0.021763392857142856,0.0027901785714285715,0.04157366071428571,0.029296875,0.00975864955357143,0.04938616071428571,-0.007533482142857143,-0.016462053571428572,0.0013950892857142857,True
logit-lens,2,post_use,generic_code,number,56,0.03404017857142857,0.012276785714285714,0.056919642857142856,0.033482142857142856,0.012820870535714285,0.05580357142857143,0.0005580357142857143,-0.007254464285714286,0.008370535714285714,True
logit-lens,2,post_use,generic_code,path,56,-0.008370535714285714,-0.027622767857142856,0.008231026785714286,-0.011439732142857142,-0.031529017857142856,0.00558384486607141,0.0030691964285714285,-0.0068359375,0.013113839285714286,True
logit-lens,2,post_use,generic_code,print,56,0.054966517857142856,0.025387137276785713,0.08482142857142858,0.0556640625,0.026506696428571428,0.08580147879464284,-0.0006975446428571429,-0.009207589285714286,0.007672991071428571,True
logit-lens,2,post_use,generic_code,range,56,0.07505580357142858,0.05524553571428571,0.09486607142857142,0.07924107142857142,0.05998883928571429,0.09877232142857142,-0.004185267857142857,-0.014229910714285714,0.005587332589285676,True
logit-lens,2,post_use,generic_code,result,56,-0.13895089285714285,-0.16071428571428573,-0.11717354910714294,-0.14229910714285715,-0.1640625,-0.12052176339285722,0.0033482142857142855,-0.008370535714285714,0.014508928571428572,True
logit-lens,2,post_use,generic_code,return,56,-0.10797991071428571,-0.130029296875,-0.08703962053571436,-0.10797991071428571,-0.13058035714285715,-0.0859375,0.0,-0.009207589285714286,0.009486607142857142,True
logit-lens,2,post_use,generic_code,string,56,-0.0703125,-0.09598214285714286,-0.04743303571428571,-0.06863839285714286,-0.09430803571428571,-0.04631696428571429,-0.0016741071428571428,-0.011732700892857143,0.008928571428571428,True
logit-lens,2,post_use,generic_code,total,56,-0.024379185267857144,-0.037319510323660716,-0.011439732142857142,-0.022879464285714284,-0.03645106724330357,-0.00892769949776786,-0.0014997209821428572,-0.011509486607142858,0.008545793805803567,True
logit-lens,2,post_use,positional,earlier,56,0.020856584821428572,-0.0016758510044642856,0.04353027343749998,0.016043526785714284,-0.006560407366071428,0.038300432477678545,0.004813058035714286,-0.002861676897321428,0.012904575892857142,True
logit-lens,2,post_use,positional,kept,56,0.0026375906808035715,-0.017456926618303573,0.023465292794363806,0.0018572126116071428,-0.018753378731863838,0.023337663922991046,0.0007803780691964286,-0.00967439923967634,0.011136409214564722,True
logit-lens,2,post_use,positional,later,56,-0.026506696428571428,-0.04827008928571429,-0.00613490513392859,-0.026088169642857144,-0.04771205357142857,-0.00515834263392859,-0.0004185267857142857,-0.011997767857142858,0.010609654017857106,True
logit-lens,2,post_use,positional,replaced,56,-0.056361607142857144,-0.07366071428571429,-0.03962053571428571,-0.06473214285714286,-0.08203125,-0.048549107142857144,0.008370535714285714,-0.002232142857142857,0.01953125,True
logit-lens,2,post_use,random_concepts,random_0,56,-0.04652622767857143,-0.05514264787946429,-0.03756190708705358,-0.04335239955357143,-0.052944510323660716,-0.032954624720982165,-0.003173828125,-0.009696742466517857,0.0036987304687499905,True
logit-lens,2,post_use,random_concepts,random_1,56,0.029157366071428572,-0.0033517020089285712,0.06194545200892856,0.030691964285714284,-0.001953125,0.061802455357142856,-0.0015345982142857143,-0.011021205357142858,0.008234514508928552,True
logit-lens,2,post_use,random_concepts,random_2,56,-0.06138392857142857,-0.07477678571428571,-0.04771205357142857,-0.06194196428571429,-0.07645089285714286,-0.048549107142857144,0.0005580357142857143,-0.008370535714285714,0.009486607142857142,True
