model,base_id,split,arm,layer,readout,family,pair_index,inner_word,outer_word,m_source,m_target,delta,reversal,n_seeds
deepseek-coder-6.7b,base_0007,calib,ab,8,jlens,action,7,replaced,kept,-0.049163173884153366,-0.026955030858516693,0.022208143025636673,1.0,1
deepseek-coder-6.7b,base_0007,calib,ab,8,jlens,action,8,changed,unchanged,0.07010459899902344,-0.03738003969192505,-0.10748463869094849,0.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,scope,0,local,global,-0.0051745399832725525,-0.02357630431652069,-0.01840176433324814,0.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,scope,1,inner,outer,0.022240050137043,-0.003476915881037712,-0.02571696601808071,0.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,scope,2,inside,outside,0.21059513092041016,0.21128205955028534,0.0006869286298751831,1.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,scope,3,nested,module,-0.1267211139202118,-0.04687472805380821,0.07984638214111328,1.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,positional,4,later,earlier,0.06867526471614838,0.014860033988952637,-0.05381523072719574,0.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,positional,5,second,first,-0.27601292729377747,-0.28252217173576355,-0.006509244441986084,0.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,positional,6,new,original,0.013218345120549202,0.018506668508052826,0.005288323387503624,1.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,action,7,replaced,kept,-0.05018390715122223,-0.021495986729860306,0.028687920421361923,1.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,action,8,changed,unchanged,0.05679340288043022,-0.040844082832336426,-0.09763748943805695,0.0,1
deepseek-coder-6.7b,base_0009,calib,ab,8,jlens,scope,0,local,global,-0.004844270646572113,-0.026390135288238525,-0.021545864641666412,0.0,1
deepseek-coder-6.7b,base_0009,calib,ab,8,jlens,scope,1,inner,outer,0.0175229050219059,-0.015445880591869354,-0.03296878561377525,0.0,1
deepseek-coder-6.7b,base_0009,calib,ab,8,jlens,scope,2,inside,outside,0.21762709319591522,0.21429520845413208,-0.003331884741783142,0.0,1
deepseek-coder-6.7b,base_0009,calib,ab,8,jlens,scope,3,nested,module,-0.11953867971897125,-0.05196540057659149,0.06757327914237976,1.0,1
deepseek-coder-6.7b,base_0009,calib,ab,8,jlens,positional,4,later,earlier,0.07299746572971344,0.005094096064567566,-0.06790336966514587,0.0,1
deepseek-coder-6.7b,base_0009,calib,ab,8,jlens,positional,5,second,first,-0.2923416495323181,-0.27899086475372314,0.01335078477859497,1.0,1
deepseek-coder-6.7b,base_0009,calib,ab,8,jlens,positional,6,new,original,0.013776864856481552,0.03476959466934204,0.02099272981286049,1.0,1
deepseek-coder-6.7b,base_0009,calib,ab,8,jlens,action,7,replaced,kept,-0.035300277173519135,-0.03114726021885872,0.004153016954660416,1.0,1
deepseek-coder-6.7b,base_0009,calib,ab,8,jlens,action,8,changed,unchanged,0.07471149414777756,-0.04580589756369591,-0.12051738798618317,0.0,1
deepseek-coder-6.7b,base_0010,calib,ab,8,jlens,scope,0,local,global,0.019095756113529205,-0.037288419902324677,-0.05638417601585388,0.0,1
deepseek-coder-6.7b,base_0010,calib,ab,8,jlens,scope,1,inner,outer,0.0226568765938282,-0.004171321168541908,-0.02682819776237011,0.0,1
deepseek-coder-6.7b,base_0010,calib,ab,8,jlens,scope,2,inside,outside,0.1567365825176239,0.16875983774662018,0.012023255228996277,1.0,1
deepseek-coder-6.7b,base_0010,calib,ab,8,jlens,scope,3,nested,module,-0.12692660093307495,-0.02638174593448639,0.10054485499858856,1.0,1
deepseek-coder-6.7b,base_0010,calib,ab,8,jlens,positional,4,later,earlier,0.11261352896690369,0.061654746532440186,-0.0509587824344635,0.0,1
deepseek-coder-6.7b,base_0010,calib,ab,8,jlens,positional,5,second,first,-0.35690590739250183,-0.28530022501945496,0.07160568237304688,1.0,1
deepseek-coder-6.7b,base_0010,calib,ab,8,jlens,positional,6,new,original,0.059174902737140656,0.022172365337610245,-0.03700253739953041,0.0,1
deepseek-coder-6.7b,base_0010,calib,ab,8,jlens,action,7,replaced,kept,0.08068416267633438,0.01746927946805954,-0.06321488320827484,0.0,1
deepseek-coder-6.7b,base_0010,calib,ab,8,jlens,action,8,changed,unchanged,0.04801465943455696,-0.07600978016853333,-0.12402443587779999,0.0,1
deepseek-coder-6.7b,base_0011,calib,ab,8,jlens,scope,0,local,global,-0.04091246426105499,-0.07439780235290527,-0.03348533809185028,0.0,1
deepseek-coder-6.7b,base_0011,calib,ab,8,jlens,scope,1,inner,outer,0.022495463490486145,0.009054213762283325,-0.01344124972820282,0.0,1
deepseek-coder-6.7b,base_0011,calib,ab,8,jlens,scope,2,inside,outside,0.1567923128604889,0.15767289698123932,0.0008805841207504272,1.0,1
deepseek-coder-6.7b,base_0011,calib,ab,8,jlens,scope,3,nested,module,-0.09806150943040848,0.019756227731704712,0.11781773716211319,1.0,1
deepseek-coder-6.7b,base_0011,calib,ab,8,jlens,positional,4,later,earlier,0.038545943796634674,-0.02463655173778534,-0.06318249553442001,0.0,1
deepseek-coder-6.7b,base_0011,calib,ab,8,jlens,positional,5,second,first,-0.32521557807922363,-0.31497570872306824,0.010239869356155396,1.0,1
deepseek-coder-6.7b,base_0011,calib,ab,8,jlens,positional,6,new,original,0.03084631636738777,0.05541865900158882,0.02457234263420105,1.0,1
