model,layer,arm,seed,family,pair_index,inner_word,outer_word,reversal,mean_delta,n
deepseek-coder-6.7b,12,ba,46,positional,5,second,first,0.05,-0.07145173102617264,400
deepseek-coder-6.7b,12,ba,46,positional,6,new,original,0.5725,0.008718504570424557,400
deepseek-coder-6.7b,12,ba,46,action,7,replaced,kept,0.595,0.012885753065347672,400
deepseek-coder-6.7b,12,ba,46,action,8,changed,unchanged,0.9975,0.15415237843990326,400
deepseek-coder-6.7b,16,ab,42,scope,0,local,global,0.6925,0.03529459610581398,400
deepseek-coder-6.7b,16,ab,42,scope,1,inner,outer,0.6175,0.025519302114844322,400
deepseek-coder-6.7b,16,ab,42,scope,2,inside,outside,0.655,0.03514000028371811,400
deepseek-coder-6.7b,16,ab,42,scope,3,nested,module,0.1775,-0.08650432527065277,400
deepseek-coder-6.7b,16,ab,42,positional,4,later,earlier,0.42,-0.014879560098052025,400
deepseek-coder-6.7b,16,ab,42,positional,5,second,first,1.0,0.4072714149951935,400
deepseek-coder-6.7b,16,ab,42,positional,6,new,original,0.9325,0.16350728273391724,400
deepseek-coder-6.7b,16,ab,42,action,7,replaced,kept,0.0,-0.4235052764415741,400
deepseek-coder-6.7b,16,ab,42,action,8,changed,unchanged,0.95,0.17836590111255646,400
deepseek-coder-6.7b,16,ab,43,scope,0,local,global,0.0075,-0.28511226177215576,400
deepseek-coder-6.7b,16,ab,43,scope,1,inner,outer,1.0,0.2847806215286255,400
deepseek-coder-6.7b,16,ab,43,scope,2,inside,outside,1.0,0.2794063687324524,400
deepseek-coder-6.7b,16,ab,43,scope,3,nested,module,0.005,-0.2439665049314499,400
deepseek-coder-6.7b,16,ab,43,positional,4,later,earlier,0.405,-0.04123394191265106,400
deepseek-coder-6.7b,16,ab,43,positional,5,second,first,0.93,0.14641927182674408,400
deepseek-coder-6.7b,16,ab,43,positional,6,new,original,0.8225,0.12322154641151428,400
deepseek-coder-6.7b,16,ab,43,action,7,replaced,kept,0.0875,-0.1422412246465683,400
deepseek-coder-6.7b,16,ab,43,action,8,changed,unchanged,0.5125,0.011766724288463593,400
deepseek-coder-6.7b,16,ab,44,scope,0,local,global,0.02,-0.18584811687469482,400
deepseek-coder-6.7b,16,ab,44,scope,1,inner,outer,0.14,-0.10613077133893967,400
deepseek-coder-6.7b,16,ab,44,scope,2,inside,outside,0.0,-0.23629218339920044,400
deepseek-coder-6.7b,16,ab,44,scope,3,nested,module,0.735,0.06347505748271942,400
deepseek-coder-6.7b,16,ab,44,positional,4,later,earlier,0.67,0.025176720693707466,400
deepseek-coder-6.7b,16,ab,44,positional,5,second,first,0.995,0.2093469649553299,400
