model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,offtarget_j,erase,3.25,3.25,0.0,0.01851808446402062
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,offtarget_r,erase,3.25,3.5,0.25,0.014034111148251078
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,random,erase,3.25,3.5,0.25,0.0043393870315334
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,random_matched,erase,3.25,3.5,0.25,0.008541786409092282
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,jlens,erase,3.25,3.25,0.0,0.0035509481416036146
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,rlens,erase,3.25,3.25,0.0,0.004551419183617603
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,logit,erase,3.25,3.25,0.0,0.001058034387608389
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,offtarget_j,erase,3.25,3.25,0.0,0.0007955197908548796
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,offtarget_r,erase,3.25,3.25,0.0,0.001936103289525604
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,random,erase,3.25,3.5,0.25,0.0038443024262363
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,random_matched,erase,3.25,3.5,0.25,0.003550948912287538
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,jlens,erase,3.25,3.25,0.0,0.14386286806956375
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,rlens,erase,3.25,3.25,0.0,0.13549602872975003
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,logit,erase,3.25,3.0,-0.25,0.14058809372858863
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,offtarget_j,erase,3.25,4.0,0.75,0.08224372791650802
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,offtarget_r,erase,3.25,4.0,0.75,0.0823182933379327
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,random,erase,3.25,3.25,0.0,0.02387729728222108
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,random_matched,erase,3.25,3.5,0.25,0.14386285183498473
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,jlens,erase,3.25,3.0,-0.25,0.13989782262657732
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,rlens,erase,3.25,3.125,-0.125,0.14141391357204058
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,logit,erase,3.25,3.0,-0.25,0.13082090226831256
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,offtarget_j,erase,3.25,4.5,1.25,0.07503384304777906
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,offtarget_r,erase,3.25,4.5,1.25,0.0819332172352967
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,random,erase,3.25,3.5,0.25,0.02378784407735761
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,random_matched,erase,3.25,3.5,0.25,0.13989783678625592
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,jlens,erase,3.25,2.875,-0.375,0.14942370466037236
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,rlens,erase,3.25,2.9375,-0.3125,0.14510986311636007
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,logit,erase,3.25,2.75,-0.5,0.14078567864323688
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,offtarget_j,erase,3.25,4.875,1.625,0.10275048646197345
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,offtarget_r,erase,3.25,4.875,1.625,0.10493332653169828
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,random,erase,3.25,3.25,0.0,0.026896045175159915
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,random_matched,erase,3.25,3.25,0.0,0.14942370466037236
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,jlens,erase,1.75,1.5,-0.25,0.004823808014857172
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,rlens,erase,1.75,1.75,0.0,0.008656905300471958
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,logit,erase,1.75,1.75,0.0,0.013226968092938447
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,offtarget_j,erase,1.75,1.5,-0.25,0.028470560844333567
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,offtarget_r,erase,1.75,1.75,0.0,0.002651686003723729
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,random,erase,1.75,1.75,0.0,0.012764193759854275
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,random_matched,erase,1.75,1.75,0.0,0.004823808014857172
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,jlens,erase,1.75,1.75,0.0,0.0013551091756471348
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,rlens,erase,1.75,1.75,0.0,0.0024046215195134
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,logit,erase,1.75,1.75,0.0,0.012295471860993848
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,offtarget_j,erase,1.75,1.75,0.0,0.011073653911752418
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,offtarget_r,erase,1.75,1.75,0.0,0.006776808421639468
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,random,erase,1.75,1.75,0.0,0.009667705129851035
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,random_matched,erase,1.75,1.75,0.0,0.0013551098545555793
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,jlens,erase,1.75,1.5,-0.25,0.020839005913295225
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,rlens,erase,1.75,1.75,0.0,0.02136204528001513
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,logit,erase,1.75,1.75,0.0,0.01969477114232955
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,offtarget_j,erase,1.75,1.5,-0.25,0.024552705081869602
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,offtarget_r,erase,1.75,1.75,0.0,0.017515667491580268
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,random,erase,1.75,1.75,0.0,0.006819479725102694
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,random_matched,erase,1.75,1.75,0.0,0.020839005913295225
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,jlens,erase,1.75,1.5,-0.25,0.003880967444265322
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,rlens,erase,1.75,1.75,0.0,0.01329907138551039
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,logit,erase,1.75,1.75,0.0,0.00365240948641298
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,offtarget_j,erase,1.75,1.5,-0.25,0.006499154623540834
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,offtarget_r,erase,1.75,1.75,0.0,0.017860983537674152
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,random,erase,1.75,1.5,-0.25,0.012734313698495352
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,random_matched,erase,1.75,1.75,0.0,0.0038809678652343142
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,jlens,erase,1.75,1.5,-0.25,0.0056957931896008465
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,rlens,erase,1.75,1.75,0.0,0.0010403300539778533
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,logit,erase,1.75,1.5,-0.25,0.003211433363203752
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,offtarget_j,erase,1.75,1.5,-0.25,0.005014990905561645
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,offtarget_r,erase,1.75,1.75,0.0,3.319021982114314e-05
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,random,erase,1.75,1.75,0.0,0.005585143272715344
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,25,random_matched,erase,1.75,1.75,0.0,0.005695793989221573
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,jlens,erase,1.75,1.75,0.0,0.020499031873817002
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,rlens,erase,1.75,1.75,0.0,0.019863486099122293
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,logit,erase,1.75,1.75,0.0,0.016384080050507545
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,offtarget_j,erase,1.75,1.75,0.0,0.006556859325146405
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,offtarget_r,erase,1.75,1.75,0.0,0.006035430524913357
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,random,erase,1.75,1.75,0.0,0.007824679937308184
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,26,random_matched,erase,1.75,1.75,0.0,0.020499031873817002
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,jlens,erase,1.75,1.75,0.0,0.03318537152947764
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,rlens,erase,1.75,1.75,0.0,0.03671117252828352
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,logit,erase,1.75,1.5,-0.25,0.01867947235415023
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,offtarget_j,erase,1.75,1.75,0.0,0.027834063507210748
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,offtarget_r,erase,1.75,1.5,-0.25,0.03653997357582252
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,random,erase,1.75,1.5,-0.25,0.005780367956512225
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,24,random_matched,erase,1.75,1.5,-0.25,0.03318537551094122
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,jlens,erase,1.75,1.5,-0.25,0.029916087433627093
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,rlens,erase,1.75,1.5,-0.25,0.02486761126208505
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,logit,erase,1.75,1.5,-0.25,0.018136541138362085
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,25,offtarget_j,erase,1.75,1.75,0.0,0.028315777924231154
