split,subset,layer,position,lens,accuracy,accuracy_ci_lo,accuracy_ci_hi,n_rows,n_bases,mean_bound_rank,reversal_rate,reversal_ci_lo,reversal_ci_hi,paired_gap,paired_gap_ci_lo,paired_gap_ci_hi,n_pairs
calib,both_correct,24,def_source,gram_random,0.5,0.5,0.5,56,23,5.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,31,def_source,gram_random,0.5,0.5,0.5,56,23,5.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,8,def_source,jlens,0.5,0.5,0.5,56,23,3.732142857142857,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,16,def_source,jlens,0.5,0.5,0.5,56,23,2.0535714285714284,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,24,def_source,jlens,0.5,0.5,0.5,56,23,2.8392857142857144,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,31,def_source,jlens,0.5,0.5,0.5,56,23,3.767857142857143,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,8,def_source,logit,0.5,0.5,0.5,56,23,6.160714285714286,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,16,def_source,logit,0.5,0.5,0.5,56,23,4.589285714285714,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,24,def_source,logit,0.5,0.5,0.5,56,23,3.892857142857143,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,31,def_source,logit,0.5,0.5,0.5,56,23,3.767857142857143,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,8,def_source,probe,0.5,0.5,0.5,56,23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,16,def_source,probe,0.5,0.5,0.5,56,23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,24,def_source,probe,0.5,0.5,0.5,56,23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,31,def_source,probe,0.5,0.5,0.5,56,23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,8,def_target,gram_random,0.5178571428571429,0.5,0.5576923076923077,56,23,4.857142857142857,0.03571428571428571,0.0,0.11538461538461539,0.0035552486245121273,-0.0028297105719211507,0.010673000255663843,28
calib,both_correct,16,def_target,gram_random,0.5178571428571429,0.5,0.5535714285714286,56,23,5.410714285714286,0.03571428571428571,0.0,0.10714285714285714,0.0032539082957165582,-0.018221973250671236,0.022422772294117346,28
calib,both_correct,24,def_target,gram_random,0.5714285714285714,0.5,0.6607142857142857,56,23,5.428571428571429,0.14285714285714285,0.0,0.32142857142857145,0.03306196550173419,-0.024160980208156012,0.08537704604511535,28
calib,both_correct,31,def_target,gram_random,0.5,0.44642857142857145,0.5517241379310345,56,23,4.357142857142857,0.03571428571428571,0.0,0.11538461538461539,0.036845357822520394,-0.041978715051864755,0.11665598228188423,28
calib,both_correct,8,def_target,jlens,0.5178571428571429,0.5,0.5576923076923077,56,23,4.678571428571429,0.03571428571428571,0.0,0.11538461538461539,-0.0004104852144207273,-0.007223022818151448,0.006541185081005088,28
calib,both_correct,16,def_target,jlens,0.48214285714285715,0.44642857142857145,0.5,56,23,1.5357142857142858,0.0,0.0,0.0,-0.019806004528488432,-0.04776389627878008,0.007273781834377174,28
calib,both_correct,24,def_target,jlens,0.5178571428571429,0.5,0.5576923076923077,56,23,1.7321428571428572,0.03571428571428571,0.0,0.11538461538461539,0.21178971230983734,0.11160285496904004,0.3314125794238514,28
