model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,base_id,family,structure,orientation,taint_delta_contrast_z,taint_delta_contrast_prob,taint_contrast_z_unsafe,taint_contrast_z_safe,model_delta_margin,model_margin_unsafe,model_margin_safe,model_correct_unsafe,model_correct_safe,security_delta_contrast_z,security_delta_contrast_prob
starcoder2-3b,jlens,-1,,sink,rename_only,atomic,11,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.01953125,-0.125,-0.14453125,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_opaque,cumulative,22,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.02441418170928955,0.3916015028953552,0.4160156846046448,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_opaque,cumulative,22,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.03515625,0.08984375,0.125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_opaque_encode,cumulative,23,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.01464831829071045,0.3867186903953552,0.3720703721046448,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_opaque_encode,cumulative,23,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.037109375,0.19140625,0.154296875,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_opaque_encode_flatten,cumulative,24,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.0126953125,0.1650390625,0.177734375,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_opaque_encode_flatten,cumulative,24,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.017578125,0.255859375,0.2734375,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,clean_heldout,clean,-1,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.058593690395355225,-0.3291015625,-0.3876952528953552,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,clean_heldout,clean,-1,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0703125,0.5234375,0.453125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,encode_only,atomic,13,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.18359375,0.060546875,-0.123046875,1,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,encode_only,atomic,13,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.150390625,0.556640625,0.40625,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,flatten_only,atomic,14,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0927734375,0.154296875,0.0615234375,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,flatten_only,atomic,14,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0390625,0.541015625,0.501953125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,normalize,baseline,0,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.1083984375,-0.4892577528953552,-0.5976561903953552,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,normalize,baseline,0,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0859375,0.4921875,0.40625,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,opaque_only,atomic,12,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.043945372104644775,0.5175781846046448,0.4736328125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,opaque_only,atomic,12,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.076171875,0.689453125,0.61328125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_cumulative,cumulative,21,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.005859315395355225,-0.2568359375,-0.2626952528953552,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_cumulative,cumulative,21,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.017578125,0.076171875,0.05859375,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_only,atomic,11,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.033203184604644775,-0.46484375,-0.4316405653953552,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_only,atomic,11,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.0078125,-0.12109375,-0.11328125,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_opaque,cumulative,22,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.013671875,0.171875,0.158203125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_opaque,cumulative,22,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.001953125,-0.111328125,-0.109375,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_opaque_encode,cumulative,23,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.011718809604644775,0.21679693460464478,0.205078125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_opaque_encode,cumulative,23,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.009765625,0.224609375,0.234375,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_opaque_encode_flatten,cumulative,24,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.033203125,0.16015625,0.126953125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_opaque_encode_flatten,cumulative,24,command_exec_assign_chain_03,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.00390625,0.197265625,0.201171875,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,clean_heldout,clean,-1,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.001953125,-0.205078125,-0.203125,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,clean_heldout,clean,-1,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.03515625,0.51171875,0.4765625,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,encode_only,atomic,13,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.005859375,-0.251953125,-0.2578125,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,encode_only,atomic,13,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.029296875,0.5078125,0.478515625,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,flatten_only,atomic,14,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.0322265625,0.06201171875,0.09423828125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,flatten_only,atomic,14,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.0625,0.419921875,0.482421875,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,normalize,baseline,0,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.011718809604644775,-0.4277343153953552,-0.439453125,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,normalize,baseline,0,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.03515625,0.421875,0.38671875,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,opaque_only,atomic,12,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.037109375,-0.1650390625,-0.2021484375,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,opaque_only,atomic,12,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.06640625,0.34375,0.27734375,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_cumulative,cumulative,21,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.013671875,-0.19921875,-0.212890625,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_cumulative,cumulative,21,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0625,-0.046875,-0.109375,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_only,atomic,11,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.019531309604644775,-0.23632818460464478,-0.216796875,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_only,atomic,11,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.017578125,-0.181640625,-0.19921875,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_opaque,cumulative,22,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0048828125,0.5888672471046448,0.5839844346046448,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_opaque,cumulative,22,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0234375,0.162109375,0.138671875,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_opaque_encode,cumulative,23,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.033203125,0.279296875,0.24609375,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_opaque_encode,cumulative,23,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.03515625,0.181640625,0.146484375,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_opaque_encode_flatten,cumulative,24,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.001953125,0.05859375,0.056640625,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_opaque_encode_flatten,cumulative,24,command_exec_assign_chain_06,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.009765625,0.267578125,0.2578125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,clean_heldout,clean,-1,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.03320300579071045,-0.22265630960464478,-0.2558593153953552,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,clean_heldout,clean,-1,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.02734375,0.484375,0.45703125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,encode_only,atomic,13,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0625,-0.0703125,-0.1328125,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,encode_only,atomic,13,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.078125,-0.001953125,-0.080078125,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,e6,flatten_only,atomic,14,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.0009765625,0.1845703125,0.185546875,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,flatten_only,atomic,14,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.064453125,0.494140625,0.4296875,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,normalize,baseline,0,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0498046875,-0.380859375,-0.4306640625,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,normalize,baseline,0,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.05078125,0.40234375,0.3515625,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,opaque_only,atomic,12,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0595703125,0.0322265625,-0.02734375,1,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,opaque_only,atomic,12,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.05859375,0.080078125,0.021484375,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_cumulative,cumulative,21,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.04882800579071045,-0.23242193460464478,-0.2812499403953552,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_cumulative,cumulative,21,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.025390625,-0.068359375,-0.04296875,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_only,atomic,11,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.0205078125,-0.2275390625,-0.20703125,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_only,atomic,11,command_exec_assign_chain_08,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.056640625,-0.078125,-0.021484375,0,1,0.0,0.0
