base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,clean_logit_diff_unbatched,clean_path_shift,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0001,test,ab,target,use,random_rank,12,1,2,3,-1.21875,-1.21875,0.0,-1.21875,0.0,0,0,1,0,0.014429174422277783,0.4553069421638196,31.55460796570959,1,False,"H0,H1,H2,H3",False,
base_0001,test,ab,target,use,random_norm,12,1728,2,3,-1.21875,-0.28125,0.9375,-1.21875,0.0,0,0,1,0,0.6024088244120928,19.008774289407572,31.55460796570959,1728,False,"H0,H1,H2,H3",False,
base_0001,test,ab,target,use,noop,12,1,2,3,-1.25,-1.25,0.0,-1.21875,-0.03125,0,0,1,0,0.0,0.0,31.55460796570959,1,True,"H0,H1,H2,H3",False,
base_0001,test,ab,target,use,whole_state,12,3072,2,3,-1.21875,0.3125,1.53125,-1.21875,0.0,1,1,0,0,0.7856896974581107,24.792130385987658,31.55460796570959,3072,False,"H0,H1,H2,H3",False,
base_0001,test,ba,source,use,das_binding,12,1,2,3,-2.0,6.625,8.625,-2.0,0.0,1,1,0,0,0.46562800935702325,15.090039629463847,32.40792934750938,1,False,"H0,H1,H2,H3",False,
base_0001,test,ba,source,use,das_answer_control,12,1,2,3,-2.0,2.625,4.625,-2.0,0.0,1,1,0,0,0.46562800935702336,15.09003962946385,32.40792934750938,1,False,"H0,H1,H2,H3",False,
base_0001,test,ba,source,use,mean_difference,12,1,2,3,-2.0,0.0625,2.0625,-2.0,0.0,1,1,0,0,0.6909562042492329,22.3924598495324,32.40792934750938,1,False,"H0,H1,H2,H3",False,
base_0001,test,ba,source,use,random_rank,12,1,2,3,-2.0,-2.0,0.0,-2.0,0.0,0,0,1,0,0.014228586739567383,0.4611190337708086,32.40792934750938,1,False,"H0,H1,H2,H3",False,
base_0001,test,ba,source,use,random_norm,12,1728,2,3,-2.0,-1.09375,0.90625,-2.0,0.0,0,0,1,0,0.5893072510987223,19.09822775758236,32.40792934750938,1728,False,"H0,H1,H2,H3",False,
base_0001,test,ba,source,use,noop,12,1,2,3,-2.0,-2.0,0.0,-2.0,0.0,0,0,1,0,0.0,0.0,32.40792934750938,1,True,"H0,H1,H2,H3",False,
base_0001,test,ba,source,use,whole_state,12,3072,2,3,-2.0,1.53125,3.53125,-2.0,0.0,1,1,0,0,0.7672760417609268,24.86582775142477,32.40792934750938,3072,False,"H0,H1,H2,H3",False,
base_0001,test,ba,target,use,das_binding,12,1,3,2,-1.9375,6.234375,8.171875,-1.9375,0.0,1,1,0,0,0.4813038239075013,15.090039629463847,31.35241998900866,1,False,"H0,H1,H2,H3",False,
base_0001,test,ba,target,use,das_answer_control,12,1,3,2,-1.9375,-1.9062501192092896,0.03124988079071045,-1.9375,0.0,0,0,1,0,0.4813038239075014,15.09003962946385,31.35241998900866,1,False,"H0,H1,H2,H3",False,
base_0001,test,ba,target,use,mean_difference,12,1,3,2,-1.9375001192092896,-0.203125,1.7343751192092896,-1.9375,-1.1920928955078125e-07,0,0,1,0,0.7142179090922682,22.3924598495324,31.35241998900866,1,False,"H0,H1,H2,H3",False,
base_0001,test,ba,target,use,random_rank,12,1,3,2,-1.9375,-1.9375,0.0,-1.9375,0.0,0,0,1,0,0.01470760579031746,0.4611190337708086,31.35241998900866,1,False,"H0,H1,H2,H3",False,
base_0001,test,ba,target,use,random_norm,12,1728,3,2,-1.9375,-0.59375,1.34375,-1.9375,0.0,0,0,1,0,0.6091468462172203,19.09822775758236,31.35241998900866,1728,False,"H0,H1,H2,H3",False,
base_0001,test,ba,target,use,noop,12,1,3,2,-1.9375,-1.9375,0.0,-1.9375,0.0,0,0,1,0,0.0,0.0,31.35241998900866,1,True,"H0,H1,H2,H3",False,
base_0001,test,ba,target,use,whole_state,12,3072,3,2,-1.9375,0.4375,2.375,-1.9375,0.0,1,1,0,0,0.7931071273012444,24.86582775142477,31.35241998900866,3072,False,"H0,H1,H2,H3",False,
base_0003,test,ab,source,use,das_binding,12,1,2,3,-3.5625,6.453125,10.015625,-3.5625,0.0,1,1,0,0,0.4459509532795641,14.01910504659646,31.436428027563746,1,False,"H0,H1,H2,H3",False,
base_0003,test,ab,source,use,das_answer_control,12,1,2,3,-3.53125,1.15625,4.6875,-3.5625,0.03125,1,1,0,0,0.44595095327956424,14.019105046596463,31.436428027563746,1,False,"H0,H1,H2,H3",False,
base_0003,test,ab,source,use,mean_difference,12,1,2,3,-3.53125,-2.3125,1.21875,-3.5625,0.03125,0,0,1,0,0.654890146947522,20.587406970476422,31.436428027563746,1,False,"H0,H1,H2,H3",False,
base_0003,test,ab,source,use,random_rank,12,1,2,3,-3.53125,-3.53125,0.0,-3.5625,0.03125,0,0,1,0,0.006963111251487023,0.21889534570529112,31.436428027563746,1,False,"H0,H1,H2,H3",False,
base_0003,test,ab,source,use,random_norm,12,1088,2,3,-3.5625,-3.3125,0.25,-3.5625,0.0,0,0,1,0,0.446475970943979,14.035609726617038,31.436428027563746,1088,False,"H0,H1,H2,H3",False,
base_0003,test,ab,source,use,noop,12,1,2,3,-3.5625,-3.5625,0.0,-3.5625,0.0,0,0,1,0,0.0,0.0,31.436428027563746,1,True,"H0,H1,H2,H3",False,
base_0003,test,ab,source,use,whole_state,12,3072,2,3,-3.5625,-0.9374999403953552,2.6250000596046448,-3.5625,0.0,0,0,1,0,0.7533522162410707,23.68270272526806,31.436428027563746,3072,False,"H0,H1,H2,H3",False,
base_0003,test,ab,target,use,das_binding,12,1,3,2,-1.0625,5.875,6.9375,-1.0625,0.0,1,1,0,0,0.4416925807480125,14.019105046596462,31.739507652256492,1,False,"H0,H1,H2,H3",False,
base_0003,test,ab,target,use,das_answer_control,12,1,3,2,-1.0625,2.375,3.4375,-1.0625,0.0,1,1,0,0,0.4416925807480126,14.019105046596465,31.739507652256492,1,False,"H0,H1,H2,H3",False,
base_0003,test,ab,target,use,mean_difference,12,1,3,2,-1.0625,0.9062499403953552,1.9687499403953552,-1.0625,0.0,1,1,0,0,0.6486366202032998,20.587406970476422,31.739507652256492,1,False,"H0,H1,H2,H3",False,
base_0003,test,ab,target,use,random_rank,12,1,3,2,-1.09375,-1.0625,0.03125,-1.0625,-0.03125,0,0,1,0,0.006896620707023758,0.21889534570529115,31.739507652256492,1,False,"H0,H1,H2,H3",False,
base_0003,test,ab,target,use,random_norm,12,1088,3,2,-1.0625,-0.46875,0.59375,-1.0625,0.0,0,0,1,0,0.4422125850341975,14.035609726617038,31.739507652256492,1088,False,"H0,H1,H2,H3",False,
base_0003,test,ab,target,use,noop,12,1,3,2,-1.0625,-1.0625,0.0,-1.0625,0.0,0,0,1,0,0.0,0.0,31.739507652256492,1,True,"H0,H1,H2,H3",False,
base_0003,test,ab,target,use,whole_state,12,3072,3,2,-1.0625,1.375,2.4375,-1.0625,0.0,1,1,0,0,0.746158478094236,23.68270272526806,31.739507652256492,3072,False,"H0,H1,H2,H3",False,
base_0003,test,ba,source,use,das_binding,12,1,3,2,-3.5625,5.40625,8.96875,-3.5625,0.0,1,1,0,0,0.44357213910342386,13.975309261702401,31.50628281106695,1,False,"H0,H1,H2,H3",False,
base_0003,test,ba,source,use,das_answer_control,12,1,3,2,-3.5625,-1.484375,2.078125,-3.5625,0.0,0,0,1,0,0.4435721391034239,13.975309261702403,31.50628281106695,1,False,"H0,H1,H2,H3",False,
base_0003,test,ba,source,use,mean_difference,12,1,3,2,-3.5625,-2.15625,1.40625,-3.5625,0.0,0,0,1,0,0.6535758560335646,20.591745758678663,31.50628281106695,1,False,"H0,H1,H2,H3",False,
base_0003,test,ba,source,use,random_rank,12,1,3,2,-3.5625,-3.5625,0.0,-3.5625,0.0,0,0,1,0,0.007558052374615103,0.23812613561547954,31.50628281106695,1,False,"H0,H1,H2,H3",False,
base_0003,test,ba,source,use,random_norm,12,1088,3,2,-3.5625,-3.21875,0.34375,-3.5625,0.0,0,0,1,0,0.4519659681565657,14.239767613718438,31.50628281106695,1088,False,"H0,H1,H2,H3",False,
base_0003,test,ba,source,use,noop,12,1,3,2,-3.5625,-3.5625,0.0,-3.5625,0.0,0,0,1,0,0.0,0.0,31.50628281106695,1,True,"H0,H1,H2,H3",False,
base_0003,test,ba,source,use,whole_state,12,3072,3,2,-3.5625,-0.375,3.1875,-3.5625,0.0,0,0,1,0,0.7566241859207837,23.838415583313513,31.50628281106695,3072,False,"H0,H1,H2,H3",False,
base_0003,test,ba,target,use,das_binding,12,1,2,3,-1.34375,6.046875,7.390625,-1.34375,0.0,1,1,0,0,0.4364875666612365,13.975309261702401,32.017657154822956,1,False,"H0,H1,H2,H3",False,
base_0003,test,ba,target,use,das_answer_control,12,1,2,3,-1.34375,0.28125,1.625,-1.34375,0.0,1,1,0,0,0.43648756666123656,13.975309261702403,32.017657154822956,1,False,"H0,H1,H2,H3",False,
base_0003,test,ba,target,use,mean_difference,12,1,2,3,-1.34375,0.515625,1.859375,-1.34375,0.0,1,1,0,0,0.6431371808095222,20.591745758678663,32.017657154822956,1,False,"H0,H1,H2,H3",False,
base_0003,test,ba,target,use,random_rank,12,1,2,3,-1.34375,-1.34375,0.0,-1.34375,0.0,0,0,1,0,0.007437337918386998,0.23812613561547954,32.017657154822956,1,False,"H0,H1,H2,H3",False,
base_0003,test,ba,target,use,random_norm,12,1088,2,3,-1.34375,-0.703125,0.640625,-1.34375,0.0,0,0,1,0,0.44474733253783505,14.239767613718438,32.017657154822956,1088,False,"H0,H1,H2,H3",False,
base_0003,test,ba,target,use,noop,12,1,2,3,-1.34375,-1.34375,0.0,-1.34375,0.0,0,0,1,0,0.0,0.0,32.017657154822956,1,True,"H0,H1,H2,H3",False,
base_0003,test,ba,target,use,whole_state,12,3072,2,3,-1.34375,1.15625,2.5,-1.34375,0.0,1,1,0,0,0.744539660351839,23.838415583313513,32.017657154822956,3072,False,"H0,H1,H2,H3",False,
base_0004,test,ab,source,use,das_binding,12,1,6,2,-2.65625,6.71875,9.375,-2.65625,0.0,1,1,0,0,0.47783295244943524,15.743127711083671,32.946927645701926,1,False,"H0,H1,H2,H3",False,
base_0004,test,ab,source,use,das_answer_control,12,1,6,2,-2.65625,5.28125,7.9375,-2.65625,0.0,1,1,0,0,0.4778329524494354,15.743127711083677,32.946927645701926,1,False,"H0,H1,H2,H3",False,
base_0004,test,ab,source,use,mean_difference,12,1,6,2,-2.65625,-1.9374998807907104,0.7187501192092896,-2.65625,0.0,0,0,1,0,0.7083539747065093,23.338087152200735,32.946927645701926,1,False,"H0,H1,H2,H3",False,
base_0004,test,ab,source,use,random_rank,12,1,6,2,-2.65625,-2.65625,0.0,-2.65625,0.0,0,0,1,0,0.013513072606797,0.4452142254472575,32.946927645701926,1,False,"H0,H1,H2,H3",False,
base_0004,test,ab,source,use,random_norm,12,1728,6,2,-2.65625,-2.4375,0.21875,-2.65625,0.0,0,0,1,0,0.6023874230746441,19.846814842721134,32.946927645701926,1728,False,"H0,H1,H2,H3",False,
base_0004,test,ab,source,use,noop,12,1,6,2,-2.65625,-2.65625,0.0,-2.65625,0.0,0,0,1,0,0.0,0.0,32.946927645701926,1,True,"H0,H1,H2,H3",False,
base_0004,test,ab,source,use,whole_state,12,3072,6,2,-2.65625,-0.3125,2.34375,-2.65625,0.0,0,0,1,0,0.7897796337830426,26.02081245029887,32.946927645701926,3072,False,"H0,H1,H2,H3",False,
base_0004,test,ab,target,use,das_binding,12,1,2,6,-0.8749999403953552,6.28125,7.156249940395355,-0.8750000596046448,1.1920928955078125e-07,1,1,0,0,0.4994712543931368,15.743127711083671,31.51958710859497,1,False,"H0,H1,H2,H3",False,
base_0004,test,ab,target,use,das_answer_control,12,1,2,6,-0.875,4.03125,4.90625,-0.8750000596046448,5.960464477539063e-08,1,1,0,0,0.4994712543931369,15.743127711083675,31.51958710859497,1,False,"H0,H1,H2,H3",False,
base_0004,test,ab,target,use,mean_difference,12,1,2,6,-0.875,0.15625,1.03125,-0.8750000596046448,5.960464477539063e-08,1,1,0,0,0.7404312458724039,23.338087152200735,31.51958710859497,1,False,"H0,H1,H2,H3",False,
base_0004,test,ab,target,use,random_rank,12,1,2,6,-0.875,-0.875,0.0,-0.8750000596046448,5.960464477539063e-08,0,0,1,0,0.014125001825479289,0.4452142254472574,31.51958710859497,1,False,"H0,H1,H2,H3",False,
base_0004,test,ab,target,use,random_norm,12,1728,2,6,-0.875,0.125,1.0,-0.8750000596046448,5.960464477539063e-08,1,1,0,0,0.6296660795188264,19.846814842721134,31.51958710859497,1728,False,"H0,H1,H2,H3",False,
base_0004,test,ab,target,use,noop,12,1,2,6,-0.8749999403953552,-0.8749999403953552,0.0,-0.8750000596046448,1.1920928955078125e-07,0,0,1,0,0.0,0.0,31.51958710859497,1,True,"H0,H1,H2,H3",False,
base_0004,test,ab,target,use,whole_state,12,3072,2,6,-0.875,0.65625,1.53125,-0.8750000596046448,5.960464477539063e-08,1,1,0,0,0.8255442040103166,26.02081245029887,31.51958710859497,3072,False,"H0,H1,H2,H3",False,
base_0004,test,ba,source,use,das_binding,12,1,2,6,-2.125,7.765625,9.890625,-2.09375,-0.03125,1,1,0,0,0.46623835906690425,15.312110101020231,32.841806778114055,1,False,"H0,H1,H2,H3",False,
base_0004,test,ba,source,use,das_answer_control,12,1,2,6,-2.09375,-2.71875,-0.625,-2.09375,0.0,0,0,1,0,0.4662383590669044,15.312110101020236,32.841806778114055,1,False,"H0,H1,H2,H3",False,
base_0004,test,ba,source,use,mean_difference,12,1,2,6,-2.125,-0.96875,1.15625,-2.09375,-0.03125,0,0,1,0,0.6912782888327195,22.70282799174949,32.841806778114055,1,False,"H0,H1,H2,H3",False,
base_0004,test,ba,source,use,random_rank,12,1,2,6,-2.125,-2.09375,0.03125,-2.09375,-0.03125,0,0,1,0,0.012502925400977085,0.4106186601800636,32.841806778114055,1,False,"H0,H1,H2,H3",False,
base_0004,test,ba,source,use,random_norm,12,1728,2,6,-2.09375,-1.53125,0.5625,-2.09375,0.0,0,0,1,0,0.5861526212601417,19.250311129910642,32.841806778114055,1728,False,"H0,H1,H2,H3",False,
base_0004,test,ba,source,use,noop,12,1,2,6,-2.125,-2.125,0.0,-2.09375,-0.03125,0,0,1,0,0.0,0.0,32.841806778114055,1,True,"H0,H1,H2,H3",False,
base_0004,test,ba,source,use,whole_state,12,3072,2,6,-2.09375,1.5625,3.65625,-2.09375,0.0,1,1,0,0,0.7674949626452993,25.205921266372783,32.841806778114055,3072,False,"H0,H1,H2,H3",False,
base_0004,test,ba,target,use,das_binding,12,1,6,2,-1.78125,5.609375,7.390625,-1.78125,0.0,1,1,0,0,0.48965396511566367,15.312110101020231,31.271287872453517,1,False,"H0,H1,H2,H3",False,
base_0004,test,ba,target,use,das_answer_control,12,1,6,2,-1.78125,-1.46875,0.3125,-1.78125,0.0,0,0,1,0,0.4896539651156638,15.312110101020235,31.271287872453517,1,False,"H0,H1,H2,H3",False,
base_0004,test,ba,target,use,mean_difference,12,1,6,2,-1.78125,-0.4375,1.34375,-1.78125,0.0,0,0,1,0,0.7259959386497837,22.70282799174949,31.271287872453517,1,False,"H0,H1,H2,H3",False,
