model,split,correct_only,layer,target_condition,statistic,role,token_identical,mean_delta_ab,mean_delta_ba,median_delta_ab,median_delta_ba,sign_consistency_ab,sign_consistency_ba,signs_agree,arm_ratio,both_significant_sign
deepseek-coder-6.7b,test,0,11,fixed_b,delta_frac_outer_def_value,outer_def_value,1,-0.020756382059802174,-0.04604601514547412,-0.01927236869898092,-0.046375235243059885,0.04285714285714286,0.0,1,2.2184027550084986,1
deepseek-coder-6.7b,test,0,11,fixed_b,delta_frac_return_kw,return_kw,1,0.0010496246620710376,0.0017762717614399986,0.0014017064557926362,0.0018085347373127114,0.6214285714285714,0.6821428571428572,1,1.6922923266067296,1
deepseek-coder-6.7b,test,0,11,fixed_b,delta_frac_signature,signature,1,0.002021899781578528,0.008987125876713018,0.0022635348641908276,0.009187507898041403,0.6285714285714286,0.9428571428571428,1,4.444891857941956,1
deepseek-coder-6.7b,test,0,11,fixed_b,delta_frac_suffix,suffix,1,-0.00867883997616362,0.022114678634745845,-0.01078595278011632,0.021797357593059036,0.2571428571428571,0.9428571428571428,0,-2.5481145746993463,1
deepseek-coder-6.7b,test,0,11,fixed_b,delta_frac_use_site,use_site,1,-0.02517952202673077,-0.03012296214342924,-0.02520116876570868,-0.029739497979523206,0.007142857142857143,0.0,1,1.1963277980992044,1
deepseek-coder-6.7b,test,0,11,other,binding_shift,binding_shift,0,-0.07454483601862966,-0.0751980207820232,-0.07546006484580078,-0.07560898281862269,0.017857142857142856,0.02142857142857143,1,1.0087623073344787,1
deepseek-coder-6.7b,test,0,11,other,binding_shift_identical,binding_shift_identical,1,-0.08175329106706881,-0.08236822904024742,-0.08360358365971428,-0.08268412509675666,0.007142857142857143,0.007142857142857143,1,1.0075218742285754,1
deepseek-coder-6.7b,test,0,11,other,delta_frac_both_defs,both_defs,0,0.008279948995563238,0.0075091251097172546,0.009450488637124665,0.007145894655288809,0.6571428571428571,0.625,1,0.9069047543337495,1
deepseek-coder-6.7b,test,0,11,other,delta_frac_inner_def,inner_def,0,-0.03313244351153321,-0.03384444783615297,-0.034003135833754417,-0.03579264183492632,0.06428571428571428,0.07142857142857142,1,1.0214896412445982,1
deepseek-coder-6.7b,test,0,11,other,delta_frac_inner_def_identical,inner_def_identical,1,-0.04034089855997236,-0.0410146560943772,-0.04154842908626104,-0.04220022743972725,0.02142857142857143,0.02142857142857143,1,1.016701599578978,1
deepseek-coder-6.7b,test,0,11,other,delta_frac_inner_def_name,inner_def_name,0,0.007208455048439154,0.007170208258224225,0.0075883912435729005,0.007609176428005416,0.8142857142857143,0.8178571428571428,1,0.994694176497194,1
deepseek-coder-6.7b,test,0,11,other,delta_frac_inner_def_value,inner_def_value,1,-0.04034089855997236,-0.0410146560943772,-0.04154842908626104,-0.04220022743972725,0.02142857142857143,0.02142857142857143,1,1.016701599578978,1
deepseek-coder-6.7b,test,0,11,other,delta_frac_other,other,1,0.009076889555567683,0.00932424193382181,0.008555457076104112,0.009207543444950228,0.8035714285714286,0.8035714285714286,1,1.0272507863778515,1
deepseek-coder-6.7b,test,0,11,other,delta_frac_outer_def,outer_def,1,0.04141239250709645,0.04135357294587023,0.041030970901915445,0.04113513983918839,0.9714285714285714,0.9821428571428571,1,0.9985796628094805,1
deepseek-coder-6.7b,test,0,11,other,delta_frac_outer_def_name,outer_def_name,1,0.007357983915883813,0.007956847615502464,0.007331464760904391,0.008711771927072565,0.8571428571428571,0.8464285714285714,1,1.081389645107252,1
deepseek-coder-6.7b,test,0,11,other,delta_frac_outer_def_value,outer_def_value,1,0.034054408591212636,0.033396725330367756,0.03296900902224254,0.03213885957730197,0.975,0.9678571428571429,1,0.9806872799131626,1
deepseek-coder-6.7b,test,0,11,other,delta_frac_return_kw,return_kw,1,0.001978588515142267,0.0019545214119697576,0.0022492621352061676,0.002061034685154229,0.6857142857142857,0.7,1,0.9878362261843117,1
deepseek-coder-6.7b,test,0,11,other,delta_frac_signature,signature,1,0.004462506662518958,0.00474010974375781,0.004385816807932083,0.004836915220740316,0.7392857142857143,0.7642857142857142,1,1.062207880510402,1
deepseek-coder-6.7b,test,0,11,other,delta_frac_suffix,suffix,1,0.0037727022012024112,0.004712546798013446,0.002511138039566513,0.004359694459749902,0.5392857142857143,0.5964285714285714,1,1.249117090798074,0
deepseek-coder-6.7b,test,0,11,other,delta_frac_use_site,use_site,1,-0.0275706436124898,-0.02824055332412049,-0.027076025027257387,-0.026464309293821577,0.0035714285714285713,0.007142857142857143,1,1.0242979351895583,1
deepseek-coder-6.7b,test,0,15,bound,binding_shift,binding_shift,0,0.22561612092385808,0.22621928223681362,0.22840137450962947,0.22880146583080124,1.0,1.0,1,1.0026733963445773,1
deepseek-coder-6.7b,test,0,15,bound,binding_shift_identical,binding_shift_identical,1,0.21869345362760373,0.21936124764028783,0.22111001433163066,0.22174998645191557,1.0,1.0,1,1.003053561968166,1
deepseek-coder-6.7b,test,0,15,bound,delta_frac_both_defs,both_defs,0,0.002283639646839087,0.0007954273197014302,0.0021002826588280843,0.0016405247333113326,0.5357142857142857,0.5214285714285715,1,0.3483156025962439,0
deepseek-coder-6.7b,test,0,15,bound,delta_frac_inner_def,inner_def,0,0.11394988028534857,0.1135073547782575,0.11377874020092679,0.11192856930000558,1.0,1.0,1,0.9961164899341455,1
deepseek-coder-6.7b,test,0,15,bound,delta_frac_inner_def_identical,inner_def_identical,1,0.10702721298909425,0.10664932018173175,0.10734496820198566,0.10523941145982055,1.0,1.0,1,0.9964691895004216,1
deepseek-coder-6.7b,test,0,15,bound,delta_frac_inner_def_name,inner_def_name,0,0.006922667296254339,0.0068580345965257705,0.00670785884226104,0.00655786288021796,0.9035714285714286,0.8785714285714286,1,0.9906636131764501,1
deepseek-coder-6.7b,test,0,15,bound,delta_frac_inner_def_value,inner_def_value,1,0.10702721298909425,0.10664932018173175,0.10734496820198566,0.10523941145982055,1.0,1.0,1,0.9964691895004216,1
deepseek-coder-6.7b,test,0,15,bound,delta_frac_other,other,1,0.008969088932640892,0.009792368743361061,0.01022233322329777,0.010894161959366364,0.7428571428571429,0.8142857142857143,1,1.091790795799118,1
deepseek-coder-6.7b,test,0,15,bound,delta_frac_outer_def,outer_def,1,-0.11166624063850951,-0.11271192745855609,-0.11051724529343082,-0.11332378034312149,0.0,0.0,1,1.0093643953093372,1
deepseek-coder-6.7b,test,0,15,bound,delta_frac_outer_def_name,outer_def_name,1,8.785265940968933e-05,0.0013040847903019832,-5.8133436316581966e-05,0.0016132647818459037,0.4928571428571429,0.5964285714285714,1,14.843999021367758,0
deepseek-coder-6.7b,test,0,15,bound,delta_frac_outer_def_value,outer_def_value,1,-0.11175409329791917,-0.11401601224885807,-0.1116966736704634,-0.11525803148742385,0.0,0.0,1,1.0202401440894784,1
deepseek-coder-6.7b,test,0,15,bound,delta_frac_return_kw,return_kw,1,-0.0015491276590598052,-0.0013859325239614973,-0.0011205393059126644,-0.0012849509809813395,0.3964285714285714,0.37142857142857144,1,0.8946535270067064,1
deepseek-coder-6.7b,test,0,15,bound,delta_frac_signature,signature,1,0.005844233879488946,0.005930877617065356,0.004908578194689265,0.005565686920386621,0.8821428571428571,0.875,1,1.014825508246769,1
deepseek-coder-6.7b,test,0,15,bound,delta_frac_suffix,suffix,1,0.010314937633274686,0.01110133349167165,0.008744105673384489,0.009639243097213535,0.6785714285714286,0.7071428571428572,1,1.0762385470814821,1
deepseek-coder-6.7b,test,0,15,bound,delta_frac_use_site,use_site,1,-0.025862750739402945,-0.0262340753913014,-0.025483390081454914,-0.025313040673510003,0.0035714285714285713,0.007142857142857143,1,1.0143575080485436,1
deepseek-coder-6.7b,test,0,15,fixed_a,binding_shift,binding_shift,0,0.05281130018045863,0.0758304609435214,0.052903831690389105,0.07340313022473564,0.9535714285714286,0.9964285714285714,1,1.4358756683589542,1
deepseek-coder-6.7b,test,0,15,fixed_a,binding_shift_identical,binding_shift_identical,1,0.044525399443499425,0.07016875476605024,0.04476809608188379,0.06655779451780616,0.9392857142857143,0.9964285714285714,1,1.5759264519365175,1
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_both_defs,both_defs,0,-0.023035221653240505,0.02959227106855753,-0.021796209829431243,0.032840943667432274,0.11428571428571428,0.9142857142857143,0,-1.2846531938794956,1
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_inner_def,inner_def,0,0.014888039263609069,0.05271136600603947,0.014494056019133162,0.05254531076269979,0.8214285714285714,0.9964285714285714,1,3.5405176647325347,1
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_inner_def_identical,inner_def_identical,1,0.006602138526649857,0.0470496598285683,0.005226877982053272,0.04669528954640535,0.6571428571428571,0.9964285714285714,1,7.126427238484929,1
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_inner_def_name,inner_def_name,0,0.008285900736959213,0.0056617061774711696,0.008034960915300232,0.005524239599948077,0.9428571428571428,0.8464285714285714,1,0.6832939902619352,1
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_inner_def_value,inner_def_value,1,0.006602138526649857,0.0470496598285683,0.005226877982053272,0.04669528954640535,0.6571428571428571,0.9964285714285714,1,7.126427238484929,1
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_other,other,1,0.016744927308957453,0.0009278431361717092,0.01833546209613303,0.0018578348200037065,0.9071428571428571,0.5642857142857143,1,0.05541040095619723,1
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_outer_def,outer_def,1,-0.037923260916849576,-0.023119094937481936,-0.03750514013578948,-0.021810714949758406,0.007142857142857143,0.07857142857142857,1,0.6096283488957553,1
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_outer_def_name,outer_def_name,1,0.008535096385194004,0.00010349603667394884,0.008619180870578787,0.0006275888725471163,0.9035714285714286,0.5285714285714286,1,0.012125936486609033,0
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_outer_def_value,outer_def_value,1,-0.046458357302043576,-0.023222590974155886,-0.04591217833430743,-0.022257047001559144,0.0,0.05714285714285714,1,0.49985820254420377,1
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_return_kw,return_kw,1,-0.0002940910327546252,-0.0019189029712300648,-3.923256214027459e-05,-0.002019482741797956,0.49642857142857144,0.3357142857142857,1,6.524860527900221,0
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_signature,signature,1,0.012644916870495798,0.0016193904610393099,0.012606554078271937,0.0015842086130516894,0.9892857142857143,0.65,1,0.12806651697472288,1
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_suffix,suffix,1,0.01861892989376665,-0.0013448138961265333,0.01636868203332917,-0.0029329719628373163,0.8535714285714285,0.44642857142857145,0,-0.0722283130018529,0
deepseek-coder-6.7b,test,0,15,fixed_a,delta_frac_use_site,use_site,1,-0.02467945465238345,-0.028875797782364668,-0.024059788987062326,-0.0279199460004802,0.0035714285714285713,0.007142857142857143,1,1.170033867809796,1
deepseek-coder-6.7b,test,0,15,fixed_b,binding_shift,binding_shift,0,0.07601362989529391,0.054208327621424426,0.07204280661579202,0.053685212992673176,1.0,0.9571428571428572,1,0.713139573732954,1
deepseek-coder-6.7b,test,0,15,fixed_b,binding_shift_identical,binding_shift_identical,1,0.07019477517005783,0.045590431250840065,0.06678952452430206,0.04597475093347518,1.0,0.9285714285714286,1,0.6494846823056291,1
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_both_defs,both_defs,0,0.03020361906058475,-0.02371334291727104,0.03155087562648565,-0.022715513796436798,0.9321428571428572,0.10357142857142858,0,-0.7851159448708774,1
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_inner_def,inner_def,0,0.05310862447793933,0.015247492352076687,0.05247760145746362,0.015531511706224556,1.0,0.7821428571428571,1,0.2871001179556121,1
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_inner_def_identical,inner_def_identical,1,0.04728976975270326,0.006629595981492333,0.04481913380273512,0.0059244343987536995,1.0,0.6464285714285715,1,0.1401909126680271,1
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_inner_def_name,inner_def_name,0,0.0058188547252360735,0.008617896370584356,0.005723325460639969,0.007999419269934038,0.8214285714285714,0.9178571428571428,1,1.4810296488772925,1
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_inner_def_value,inner_def_value,1,0.04728976975270326,0.006629595981492333,0.04481913380273512,0.0059244343987536995,1.0,0.6464285714285715,1,0.1401909126680271,1
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_other,other,1,0.00029597582576892397,0.0171157494821467,0.0010629357492071972,0.017839579638989134,0.5357142857142857,0.925,1,57.828200792011344,0
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_outer_def,outer_def,1,-0.022905005417354577,-0.03896083526934774,-0.020365750783299857,-0.03961129392343603,0.05357142857142857,0.014285714285714285,1,1.7009747240587003,1
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_outer_def_name,outer_def_name,1,-0.0009681519631332908,0.00932063786930382,-0.0008218203792282122,0.009857487246056874,0.45,0.8928571428571429,0,-9.62724677966758,0
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_outer_def_value,outer_def_value,1,-0.02193685345422129,-0.048281473138651554,-0.0189085851908592,-0.04831608346339481,0.05,0.0,1,2.200929738597529,1
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_return_kw,return_kw,1,-0.0020191217016065207,-0.00018231718253426405,-0.0017326377861009764,-0.0003076624964613939,0.36428571428571427,0.475,1,0.09029529145727214,0
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_signature,signature,1,0.001461760438251074,0.012724731358805252,0.0010856689385802566,0.01255991389418773,0.5928571428571429,0.9857142857142858,1,8.705073024161045,1
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_suffix,suffix,1,-0.001424670512341132,0.01920984201605953,-0.004550827846712513,0.01715389989311336,0.41785714285714287,0.8714285714285714,0,-13.483708583602526,1
deepseek-coder-6.7b,test,0,15,fixed_b,delta_frac_use_site,use_site,1,-0.028517562004024197,-0.025154668982815445,-0.028149303044397025,-0.024447158309916256,0.0035714285714285713,0.010714285714285714,1,0.8820764194101093,1
deepseek-coder-6.7b,test,0,15,other,binding_shift,binding_shift,0,-0.09679119084810553,-0.09618049367186778,-0.09935480728532134,-0.09946019127015189,0.007142857142857143,0.010714285714285714,1,0.9936905706925735,1
deepseek-coder-6.7b,test,0,15,other,binding_shift_identical,binding_shift_identical,1,-0.10397327901404647,-0.10360206162339754,-0.1065650972150479,-0.10498036203801528,0.0035714285714285713,0.0,1,0.9964296846827464,1
deepseek-coder-6.7b,test,0,15,other,delta_frac_both_defs,both_defs,0,0.004884757760505159,0.005083500831585057,0.007093661854057021,0.004524621078292851,0.575,0.5571428571428572,1,1.040686371939833,0
deepseek-coder-6.7b,test,0,15,other,delta_frac_inner_def,inner_def,0,-0.04595321654380018,-0.04554849642014137,-0.04671084623667483,-0.04933567123700665,0.02857142857142857,0.04285714285714286,1,0.9911927792198605,1
deepseek-coder-6.7b,test,0,15,other,delta_frac_inner_def_identical,inner_def_identical,1,-0.053135304709741135,-0.05297006437167112,-0.05349757700919133,-0.054530769881285454,0.010714285714285714,0.02142857142857143,1,0.9968901968479777,1
deepseek-coder-6.7b,test,0,15,other,delta_frac_inner_def_name,inner_def_name,0,0.007182088165940947,0.007421567951529757,0.006881964392969612,0.007109098195926564,0.8928571428571429,0.8928571428571429,1,1.0333440331078747,1
deepseek-coder-6.7b,test,0,15,other,delta_frac_inner_def_value,inner_def_value,1,-0.053135304709741135,-0.05297006437167112,-0.05349757700919133,-0.054530769881285454,0.010714285714285714,0.02142857142857143,1,0.9968901968479777,1
deepseek-coder-6.7b,test,0,15,other,delta_frac_other,other,1,0.00807181420208549,0.00825122387495735,0.008638656302667677,0.008897882824245598,0.7571428571428571,0.7607142857142857,1,1.0222266851515867,1
deepseek-coder-6.7b,test,0,15,other,delta_frac_outer_def,outer_def,1,0.05083797430430534,0.05063199725172642,0.04960559847473564,0.0494851836599499,0.9857142857142858,0.9857142857142858,1,0.9959483623138486,1
deepseek-coder-6.7b,test,0,15,other,delta_frac_outer_def_name,outer_def_name,1,0.007479091762651023,0.008120049115675786,0.007254022202962597,0.008490971016008153,0.8714285714285714,0.8464285714285714,1,1.08569989155977,1
deepseek-coder-6.7b,test,0,15,other,delta_frac_outer_def_value,outer_def_value,1,0.04335888254165432,0.04251194813605064,0.041884825788153314,0.04044971792427843,0.9785714285714285,0.975,1,0.9804668765439228,1
deepseek-coder-6.7b,test,0,15,other,delta_frac_return_kw,return_kw,1,-0.0007640850753013409,-0.0007152876298028317,-0.0006942192941357776,-0.0006974551942013352,0.45,0.42857142857142855,1,0.9361361096089146,0
deepseek-coder-6.7b,test,0,15,other,delta_frac_signature,signature,1,0.008262443429257926,0.008413244202779209,0.008640286458781808,0.008247450384994835,0.8714285714285714,0.9035714285714286,1,1.01825135322407,1
deepseek-coder-6.7b,test,0,15,other,delta_frac_suffix,suffix,1,0.006879321748150831,0.006763694628261347,0.00848768628983848,0.008374354688976182,0.6,0.6285714285714286,1,0.9831920755966147,1
deepseek-coder-6.7b,test,0,15,other,delta_frac_use_site,use_site,1,-0.0273342659170047,-0.027796391373878716,-0.026876364173513308,-0.027494769070323676,0.0035714285714285713,0.007142857142857143,1,1.0169064520802267,1
deepseek-coder-6.7b,test,0,19,bound,binding_shift,binding_shift,0,0.09482860188178374,0.09446255742018368,0.09619469376393319,0.09597115739418506,1.0,1.0,1,0.9961399361127734,1
deepseek-coder-6.7b,test,0,19,bound,binding_shift_identical,binding_shift_identical,1,0.09059074289964293,0.09025627542720036,0.09212852390724408,0.09076497256761899,1.0,1.0,1,0.9963079288044574,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_both_defs,both_defs,0,0.01297975949853496,0.014189602371174066,0.014014400500405325,0.013494467051964776,0.7785714285714286,0.7642857142857142,1,1.0932099606911563,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_inner_def,inner_def,0,0.05390418069015935,0.05432607989567887,0.05376247910016908,0.05446644025961969,1.0,1.0,1,1.0078268364367615,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_inner_def_identical,inner_def_identical,1,0.04966632170801854,0.050119797902695544,0.05000216639441254,0.04884019072362507,1.0,1.0,1,1.0091304565967847,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_inner_def_name,inner_def_name,0,0.004237858982140819,0.004206281992983325,0.004374745588182128,0.0037175067878852733,0.775,0.775,1,0.9925488343782637,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_inner_def_value,inner_def_value,1,0.04966632170801854,0.050119797902695544,0.05000216639441254,0.04884019072362507,1.0,1.0,1,1.0091304565967847,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_other,other,1,0.007585469582796487,0.008112187162082998,0.008447621900423842,0.009202137149405265,0.7214285714285714,0.7178571428571429,1,1.0694377023778572,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_outer_def,outer_def,1,-0.04092442119162439,-0.04013647752450481,-0.04054540097344005,-0.04072100604936684,0.0,0.0,1,0.9807463699136973,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_outer_def_name,outer_def_name,1,0.0030779111796609988,0.0042218701369658215,0.00315471490936162,0.004366418593001995,0.7214285714285714,0.7785714285714286,1,1.3716673063420948,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_outer_def_value,outer_def_value,1,-0.044002332371285396,-0.044358347661470635,-0.04403003396605095,-0.04453150329777292,0.0,0.0,1,1.0080908277129774,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_return_kw,return_kw,1,-0.0026102474390618416,-0.0025258283748883724,-0.0021932849582532972,-0.0022601803717033787,0.34285714285714286,0.28214285714285714,1,0.9676585970700883,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_signature,signature,1,0.006584006782148207,0.00676569962177775,0.0060145197920130206,0.006713884520106871,0.8964285714285715,0.8892857142857142,1,1.027596089378611,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_suffix,suffix,1,-0.010979842492457578,-0.012898140809675494,-0.010315633653773526,-0.013339428261301467,0.32857142857142857,0.24285714285714285,1,1.1747109139803835,1
deepseek-coder-6.7b,test,0,19,bound,delta_frac_use_site,use_site,1,-0.013559137054645082,-0.01364353033741673,-0.014026639583261977,-0.013741500297931886,0.04642857142857143,0.04642857142857143,1,1.006224089514807,1
deepseek-coder-6.7b,test,0,19,fixed_a,binding_shift,binding_shift,0,-0.018577702997478206,-0.004156741834541635,-0.010922980078679478,-0.005380147875442779,0.22857142857142856,0.3821428571428571,1,0.22374896590315196,1
deepseek-coder-6.7b,test,0,19,fixed_a,binding_shift_identical,binding_shift_identical,1,-0.02413078669200507,-0.0074918188789889414,-0.017558467357959698,-0.00809728076484404,0.15714285714285714,0.3142857142857143,1,0.31046724562324796,1
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_both_defs,both_defs,0,0.04105589194866333,-0.0012569602480822046,0.04121248091146676,-0.0009018857861751856,0.9642857142857143,0.4785714285714286,0,-0.03061583096657404,0
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_inner_def,inner_def,0,0.011239094475592565,-0.00270685104131192,0.012471274436381588,-0.0025530811590886854,0.7821428571428571,0.41785714285714287,0,-0.24084244929075616,1
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_inner_def_identical,inner_def_identical,1,0.005686010781065701,-0.006041928085759227,0.007814973468110283,-0.006705971837001071,0.6857142857142857,0.325,0,-1.0625952567446273,1
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_inner_def_name,inner_def_name,0,0.005553083694526864,0.0033350770444473066,0.005444395213470976,0.002834862941866639,0.825,0.7071428571428572,1,0.6005810875377888,1
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_inner_def_value,inner_def_value,1,0.005686010781065701,-0.006041928085759227,0.007814973468110283,-0.006705971837001071,0.6857142857142857,0.325,0,-1.0625952567446273,1
deepseek-coder-6.7b,test,0,19,fixed_a,delta_frac_other,other,1,0.016614599374932024,0.0015227990964545067,0.0189315225370391,0.0023574647820281264,0.8571428571428571,0.6,1,0.0916542771866106,1
