model,split,correct_only,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,statistic,role,token_identical,n_pairs,n_bases,mean_delta,median_delta,sd_delta,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,degenerate,sign_test_p,permutation_p,permutation_effect_size,mean_frac_from,mean_frac_to,same_target_token,median_abs_rho_minus_one
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,19,other,delta_frac_inner_def,inner_def,0,280,280,-0.046096832846495385,-0.045425608061305876,0.02316337864454996,-1.9900737950998943,-0.04883258319061901,-0.04338955874057273,0.025,280,0,2.622260817591493e-71,0.0,-14.545307153788576,0.09973628245265377,0.053639449606158365,0,7.541299740232432e-08
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,19,other,delta_frac_inner_def_identical,inner_def_identical,1,280,280,-0.05083105283237397,-0.04951628241916066,0.023231575326665373,-2.1880157551791037,-0.05358872406643245,-0.048079140288985724,0.007142857142857143,280,0,4.0502012625452345e-80,0.0,-14.868018308056369,0.08783734848391808,0.03700629565154411,0,7.541299740232432e-08
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,19,other,delta_frac_inner_def_name,inner_def_name,0,280,280,0.004734219985878581,0.004673942774432032,0.005909749737989278,0.8010863734966454,0.004072264282418607,0.005443541783477225,0.775,280,0,5.614918092323849e-21,0.0,10.490036974024989,0.01189893396873568,0.016633153954614264,0,7.541299740232432e-08
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,19,other,delta_frac_inner_def_value,inner_def_value,1,280,280,-0.05083105283237397,-0.04951628241916066,0.023231575326665373,-2.1880157551791037,-0.05358872406643245,-0.048079140288985724,0.007142857142857143,280,0,4.0502012625452345e-80,0.0,-14.868018308056369,0.08783734848391808,0.03700629565154411,0,7.541299740232432e-08
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,19,other,delta_frac_other,other,1,280,280,0.010342260625855615,0.011797512133210092,0.017128146269265836,0.6038166923185037,0.008435969028549995,0.012437635167164198,0.7571428571428571,280,0,2.1517371083482487e-18,0.0,8.613313936754217,0.125825902426119,0.1361681630519746,0,7.541299740232432e-08
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,19,other,delta_frac_outer_def,outer_def,1,280,280,0.07175334553276447,0.06704747690025031,0.022432976800347556,3.198565494511312,0.06904960818549258,0.07444700192377318,1.0,280,0,1.0295115178936058e-84,0.0,16.1227763903961,0.06047580365273207,0.13222914918549653,0,7.541299740232432e-08
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,19,other,delta_frac_outer_def_name,outer_def_name,1,280,280,0.005361813372994459,0.005103528250842437,0.0059983107365357505,0.8938872306723988,0.004663832887959352,0.006072885955332244,0.8214285714285714,280,0,9.322064111693306e-29,0.0,11.173453423957055,0.035980799474862074,0.041342612847856536,0,7.541299740232432e-08
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,19,other,delta_frac_outer_def_value,outer_def_value,1,280,280,0.06639153215976999,0.06250709045428471,0.02244934517642916,2.9573928164941856,0.06368264934696025,0.06914568811439871,1.0,280,0,1.0295115178936058e-84,0.0,16.016735310866952,0.024495004177869987,0.09088653633763999,0,7.541299740232432e-08
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,19,other,delta_frac_return_kw,return_kw,1,280,280,-0.00207573207904458,-0.0019184915174330231,0.007986995547662933,-0.25988897410265344,-0.00303016167615822,-0.0011456556632660393,0.37857142857142856,280,0,5.763005453904943e-05,0.0,-4.238410228641924,0.016169806329563836,0.014094074250519258,0,7.541299740232432e-08
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,19,other,delta_frac_signature,signature,1,280,280,0.009746849438065449,0.00927220922908667,0.00652871312027964,1.4929204666367648,0.009004314078952406,0.010551373732582964,0.9392857142857143,280,0,7.530366319432256e-58,0.0,13.831104762700784,0.06331088609288267,0.07305773553094813,0,7.541299740232432e-08
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,19,other,delta_frac_suffix,suffix,1,280,280,-0.03013053749572314,-0.03285555548079788,0.032180767316310664,-0.9362902133303584,-0.03395009273981129,-0.026379412557180848,0.19285714285714287,280,0,3.4409750103315953e-26,0.0,-11.509647992471375,0.5901706998374773,0.5600401623417541,0,7.541299740232432e-08
