model,base_id,split,arm,binding,cell,layer,target_mode,target_token,score,rho,n_tokens,frac_inner_def_name,frac_inner_def_value,frac_outer_def_name,frac_outer_def_value,frac_use_site,frac_return_kw,frac_signature,frac_suffix,frac_other,frac_outer_def,frac_inner_def,frac_inner_def_identical,frac_both_defs,ntok_inner_def_name,ntok_inner_def_value,ntok_outer_def_name,ntok_outer_def_value,ntok_use_site,ntok_return_kw,ntok_signature,ntok_suffix,ntok_other
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,0,bound,17,482.4418640136719,1.0000000081541567,21,0.006766752136725104,0.030811810444974604,0.3737021270943037,0.04265141863744892,0.022343205747104987,0.018727118942123793,0.034933155979272115,0.16818779461709424,0.3018766245551092,0.41635354573175265,0.03757856258169971,0.030811810444974604,0.4539321083134524,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,0,other,21,418.57916259765625,0.9999997522282731,21,0.008645776252803113,0.06974551968569266,0.33991308108587326,0.010643225336362593,0.022956015171184722,0.015836867040410173,0.036806839740909925,0.1746547202448279,0.3207977076702089,0.35055630642223584,0.07839129593849578,0.06974551968569266,0.4289476023607316,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,3,bound,17,482.4418640136719,0.9999999868421565,21,0.007082392623692528,0.03200718609521177,0.3404320924202597,0.05643821375063217,0.035550644567801624,0.017074980050485,0.02899560942645026,0.18125642745224058,0.30116244045538265,0.39687030617089186,0.0390895787189043,0.03200718609521177,0.43595988488979615,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,3,other,21,418.57916259765625,0.9999998971889731,21,0.008505432650855549,0.07510846181708052,0.314038996203121,0.011193384513577645,0.036249611949604556,0.013548816466343473,0.029468897783588834,0.1881953135377933,0.3236909822670083,0.32523238071669863,0.08361389446793606,0.07510846181708052,0.40884627518463473,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,7,bound,17,482.4418640136719,1.0000000261921396,21,0.008318477283488064,0.036005015923239514,0.26208444045366286,0.07366578624177705,0.04620001274618239,0.016139381006796592,0.04244679180486891,0.24873291422483446,0.2664072065072899,0.3357502266954399,0.04432349320672758,0.036005015923239514,0.3800737199021675,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,7,other,21,418.57916259765625,0.9999998551816978,21,0.009349864327265336,0.0902637116850814,0.2427141123193187,0.01850033336062506,0.04488203814785095,0.01235559567576616,0.0386826619557215,0.25766294726407885,0.28558859044598967,0.26121444567994373,0.09961357601234674,0.0902637116850814,0.36082802169229045,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,11,bound,17,482.4418640136719,1.000000020261844,21,0.005547557453496202,0.046389264298575685,0.15780333621044929,0.09446537355644741,0.06081587111617023,0.011433208976348716,0.06134023577590883,0.34267858729917255,0.21952658557527505,0.2522687097668967,0.051936821752071885,0.046389264298575685,0.3042055315189686,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,11,other,21,418.57916259765625,0.999999896904178,21,0.005599246868730407,0.11716367859963858,0.1513602141498667,0.021198004710118883,0.05022177745380906,0.010593853259863917,0.06139147385112659,0.35473168948940076,0.22773995852162315,0.17255821885998557,0.12276292546836899,0.11716367859963858,0.29532114432835455,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,15,bound,17,482.4418640136719,1.0000001507283511,21,0.009743383055041684,0.04868939672603394,0.08090302432433373,0.10594651316003796,0.05299936174203308,0.012033833286259963,0.06831831499106028,0.44124499364430436,0.18012132979924603,0.1868495374843717,0.058432779781075625,0.04868939672603394,0.2452823172654473,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,15,other,21,418.57916259765625,0.9999999544327858,21,0.00939475486825534,0.13844360404730183,0.08040240151612693,0.023076453874824456,0.0528738986768885,0.011889062589083904,0.06959496788860194,0.43153393933596684,0.18279087163573615,0.10347885539095139,0.14783835891555716,0.13844360404730183,0.25131721430650855,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,19,bound,17,482.4418640136719,1.0000001047685587,21,0.009144114806098304,0.038825527851673654,0.036368898872168445,0.051294243564680236,0.038681935623239294,0.014677047161823697,0.06606123156903607,0.5979998219329854,0.1469472833868536,0.08766314243684868,0.047969642657771955,0.038825527851673654,0.13563278509462065,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,19,other,21,418.57916259765625,0.9999999612678679,21,0.009561407270865081,0.12769259402266053,0.034297512496717336,0.014716854536037542,0.040967386123157465,0.01470256124014855,0.0691692903660994,0.5429843983509188,0.14590795686126323,0.04901436703275488,0.1372540012935256,0.12769259402266053,0.1862683683262805,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,23,bound,17,482.4418640136719,1.000000069186784,21,0.008255556845285067,0.030945501056225212,0.0259438579689417,0.04268049290088246,0.02628948351393588,0.01194281312989625,0.0586489430157088,0.6660414125205465,0.1292520082353622,0.06862435086982416,0.03920105790151028,0.030945501056225212,0.10782540877133442,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0367,calib,ab,source,ab_source,23,other,21,418.57916259765625,0.9999998877907352,21,0.00871385537946845,0.09272670162923569,0.02521869164206888,0.011029045216674655,0.028717453981852728,0.012313774086647114,0.06050975509299284,0.633654118470528,0.1271164922912668,0.03624773685874354,0.10144055700870414,0.09272670162923569,0.1376882938674477,1,1,1,1,1,1,3,5,7
