model,arm,binding,layer,target_mode,position,role,mean_frac,median_frac,n
deepseek-coder-6.7b,ba,source,3,bound,17,suffix,0.03637936658883965,0.03633223512147912,400
deepseek-coder-6.7b,ba,source,3,bound,18,suffix,0.007814795250996084,0.007761727934120145,400
deepseek-coder-6.7b,ba,source,3,bound,19,suffix,0.022648213296238274,0.022549467500413214,400
deepseek-coder-6.7b,ba,source,3,bound,20,suffix,0.10076559119929784,0.10045723303950341,400
deepseek-coder-6.7b,ba,target,3,bound,0,outer_def_name,0.31430272017994587,0.31419231283506943,400
deepseek-coder-6.7b,ba,target,3,bound,1,other,0.01986802466481964,0.019630657755163924,400
deepseek-coder-6.7b,ba,target,3,bound,2,outer_def_value,0.0264223902113268,0.02654466409722517,400
deepseek-coder-6.7b,ba,target,3,bound,3,other,0.2730062580563131,0.2732798007630898,400
deepseek-coder-6.7b,ba,target,3,bound,4,signature,0.017384465894149173,0.017380758816007903,400
deepseek-coder-6.7b,ba,target,3,bound,5,signature,0.005000321187419607,0.0051067663099077475,400
deepseek-coder-6.7b,ba,target,3,bound,6,signature,0.01079063093800247,0.010740480811667978,400
deepseek-coder-6.7b,ba,target,3,bound,7,other,0.00888208694732353,0.008866061472951365,400
deepseek-coder-6.7b,ba,target,3,bound,8,other,0.0013237231406832777,0.0015427870061951122,400
deepseek-coder-6.7b,ba,target,3,bound,9,inner_def_name,0.01096505303088985,0.010598093600195658,400
deepseek-coder-6.7b,ba,target,3,bound,10,other,0.01432168780414887,0.014473275669562486,400
deepseek-coder-6.7b,ba,target,3,bound,11,inner_def_value,0.07850609692308583,0.07861755260737405,400
deepseek-coder-6.7b,ba,target,3,bound,12,other,0.008430904875085053,0.008404628643587899,400
deepseek-coder-6.7b,ba,target,3,bound,13,other,0.004084494836051163,0.004104532307940041,400
deepseek-coder-6.7b,ba,target,3,bound,14,return_kw,0.01965333186912337,0.019650099913619365,400
deepseek-coder-6.7b,ba,target,3,bound,15,use_site,0.006519835500619136,0.006582365391906314,400
deepseek-coder-6.7b,ba,target,3,bound,16,suffix,0.008741717315714347,0.008693537963917326,400
deepseek-coder-6.7b,ba,target,3,bound,17,suffix,0.036611396764561065,0.036885981581558216,400
deepseek-coder-6.7b,ba,target,3,bound,18,suffix,0.009950290865992195,0.009937360437893252,400
deepseek-coder-6.7b,ba,target,3,bound,19,suffix,0.026736447572353696,0.026812126435021427,400
deepseek-coder-6.7b,ba,target,3,bound,20,suffix,0.09849814102566558,0.09850047343752069,400
deepseek-coder-6.7b,ab,source,3,other,0,outer_def_name,0.31227817897490445,0.3118140880219651,400
deepseek-coder-6.7b,ab,source,3,other,1,other,0.022003224354138772,0.02256116805017938,400
deepseek-coder-6.7b,ab,source,3,other,2,outer_def_value,0.03759072341140726,0.03697384294087632,400
deepseek-coder-6.7b,ab,source,3,other,3,other,0.2577943462982018,0.25791587861272836,400
deepseek-coder-6.7b,ab,source,3,other,4,signature,0.018288786795996013,0.017988726723727304,400
deepseek-coder-6.7b,ab,source,3,other,5,signature,0.005358009770122402,0.005277267881296619,400
deepseek-coder-6.7b,ab,source,3,other,6,signature,0.006849587256602246,0.007111566543655346,400
deepseek-coder-6.7b,ab,source,3,other,7,other,0.00919883113102456,0.009234767416124438,400
deepseek-coder-6.7b,ab,source,3,other,8,other,0.0007396541900089898,0.0008578041856049732,400
deepseek-coder-6.7b,ab,source,3,other,9,inner_def_name,0.007450316360760869,0.007562685697399199,400
deepseek-coder-6.7b,ab,source,3,other,10,other,0.00879262574001572,0.008890002237711553,400
deepseek-coder-6.7b,ab,source,3,other,11,inner_def_value,0.05117249990806347,0.05004765843570878,400
deepseek-coder-6.7b,ab,source,3,other,12,other,0.006379520145871161,0.00639466137667208,400
deepseek-coder-6.7b,ab,source,3,other,13,other,0.003184868412209268,0.003210827661892816,400
deepseek-coder-6.7b,ab,source,3,other,14,return_kw,0.01892455736217066,0.018790624147434532,400
deepseek-coder-6.7b,ab,source,3,other,15,use_site,0.04164193273808373,0.041363802254095194,400
deepseek-coder-6.7b,ab,source,3,other,16,suffix,0.012832496590840578,0.012826715994277493,400
deepseek-coder-6.7b,ab,source,3,other,17,suffix,0.03862348039377714,0.03864520994351882,400
deepseek-coder-6.7b,ab,source,3,other,18,suffix,0.008436048838923382,0.008392801658785452,400
deepseek-coder-6.7b,ab,source,3,other,19,suffix,0.024946489769580204,0.024870274032293124,400
deepseek-coder-6.7b,ab,source,3,other,20,suffix,0.1075138443836174,0.1073146110829255,400
deepseek-coder-6.7b,ab,target,3,other,0,outer_def_name,0.3378122573830825,0.33621674923655986,400
deepseek-coder-6.7b,ab,target,3,other,1,other,0.027769057857787653,0.028106611910817786,400
deepseek-coder-6.7b,ab,target,3,other,2,outer_def_value,0.052990940672523426,0.052091675874731395,400
deepseek-coder-6.7b,ab,target,3,other,3,other,0.2533002862339791,0.2530987768138323,400
deepseek-coder-6.7b,ab,target,3,other,4,signature,0.01819630937063334,0.01816580095487945,400
deepseek-coder-6.7b,ab,target,3,other,5,signature,0.004516526576040503,0.004650536719847744,400
deepseek-coder-6.7b,ab,target,3,other,6,signature,0.00609022914844171,0.006112279653490978,400
deepseek-coder-6.7b,ab,target,3,other,7,other,0.00901105300877774,0.009012635619748615,400
deepseek-coder-6.7b,ab,target,3,other,8,other,0.0005085285277371432,0.000697535752076367,400
deepseek-coder-6.7b,ab,target,3,other,9,inner_def_name,0.012218980788457042,0.012240320065989713,400
deepseek-coder-6.7b,ab,target,3,other,10,other,0.007948203744066963,0.008366011954502707,400
deepseek-coder-6.7b,ab,target,3,other,11,inner_def_value,0.0345971321427368,0.0332643644977638,400
