model,contrast,layer,target_condition,position,role_to,mean_delta,median_delta,sign_consistency,n
deepseek-coder-6.7b,flip_ab,0,other,8,other,0.0008686790758857435,0.0008241203826774002,0.7625,400
deepseek-coder-6.7b,flip_ab,0,other,9,inner_def_name,-0.0005589128845977071,-0.0005569632631032126,0.4475,400
deepseek-coder-6.7b,flip_ab,0,other,10,other,0.00015239572252749985,0.0001851419424792472,0.515,400
deepseek-coder-6.7b,flip_ab,0,other,11,inner_def_value,-0.012901245077407116,-0.013143329964565052,0.18,400
deepseek-coder-6.7b,flip_ab,0,other,12,other,0.000730419134643123,0.0006971065753944615,0.815,400
deepseek-coder-6.7b,flip_ab,0,other,13,other,0.00046229512207888773,0.00046768450475188406,0.74,400
deepseek-coder-6.7b,flip_ab,0,other,14,return_kw,-0.0027175666612558515,-0.0025197237324224523,0.2425,400
deepseek-coder-6.7b,flip_ab,0,other,15,use_site,-0.027040112793085883,-0.02688164755847372,0.0,400
deepseek-coder-6.7b,flip_ab,0,other,16,suffix,-0.0008111117847943047,-0.0007342982543747795,0.2175,400
deepseek-coder-6.7b,flip_ab,0,other,17,suffix,-0.0009876619729637453,-0.001144574185245318,0.3575,400
deepseek-coder-6.7b,flip_ab,0,other,18,suffix,0.0018353888114910045,0.001828298993140643,0.925,400
deepseek-coder-6.7b,flip_ab,0,other,19,suffix,0.0037283372070746608,0.0036801757325457905,0.965,400
deepseek-coder-6.7b,flip_ab,0,other,20,suffix,-0.001817860683586025,-0.0022977365350926454,0.3375,400
deepseek-coder-6.7b,flip_ab,3,bound,0,outer_def_name,-0.027817159159886775,-0.027255649543775684,0.0,400
deepseek-coder-6.7b,flip_ab,3,bound,1,other,-0.011022106193192003,-0.010774995294811055,0.0,400
deepseek-coder-6.7b,flip_ab,3,bound,2,outer_def_value,-0.055449782127561464,-0.055162079600407046,0.0,400
deepseek-coder-6.7b,flip_ab,3,bound,3,other,0.03996803486357872,0.040020711196359304,1.0,400
deepseek-coder-6.7b,flip_ab,3,bound,4,signature,-0.0006487429926966468,-0.0006492603447566707,0.4175,400
deepseek-coder-6.7b,flip_ab,3,bound,5,signature,0.0005748332182655484,0.000543326720651033,0.66,400
deepseek-coder-6.7b,flip_ab,3,bound,6,signature,0.005403743232377858,0.0055966676065838375,0.97,400
deepseek-coder-6.7b,flip_ab,3,bound,7,other,0.00024590746486429437,0.00023901493071893688,0.6275,400
deepseek-coder-6.7b,flip_ab,3,bound,8,other,0.0011055012072727346,0.0011109204792853948,0.74,400
deepseek-coder-6.7b,flip_ab,3,bound,9,inner_def_name,0.006130287606693079,0.005795006477845014,0.885,400
deepseek-coder-6.7b,flip_ab,3,bound,10,other,0.012186974173159604,0.012479434894914439,1.0,400
deepseek-coder-6.7b,flip_ab,3,bound,11,inner_def_value,0.05385342754010109,0.05314415686093373,1.0,400
deepseek-coder-6.7b,flip_ab,3,bound,12,other,0.003269039621093287,0.003217710759337837,0.9825,400
deepseek-coder-6.7b,flip_ab,3,bound,13,other,0.0009212281919531345,0.0009083356114091383,0.86,400
deepseek-coder-6.7b,flip_ab,3,bound,14,return_kw,-0.0003596943041059455,-0.00027799742913925916,0.455,400
deepseek-coder-6.7b,flip_ab,3,bound,15,use_site,-0.02851115824485839,-0.02759086155104975,0.0,400
deepseek-coder-6.7b,flip_ab,3,bound,16,suffix,-0.004098215028783766,-0.003900083836216671,0.0,400
deepseek-coder-6.7b,flip_ab,3,bound,17,suffix,0.00018128195831901942,7.334913488371217e-05,0.5125,400
deepseek-coder-6.7b,flip_ab,3,bound,18,suffix,0.00211101061701836,0.0021324151418340353,0.9725,400
deepseek-coder-6.7b,flip_ab,3,bound,19,suffix,0.0042062164418066265,0.004317568426474324,0.935,400
deepseek-coder-6.7b,flip_ab,3,bound,20,suffix,-0.00225062438028257,-0.0020355405046695516,0.375,400
deepseek-coder-6.7b,flip_ab,3,fixed_a,0,outer_def_name,-0.0038763210989200586,-0.004601739813265726,0.2775,400
