example_id,layer,lens,stratum,positive_name,negative_name,distance_gap,margin,correct
synthetic_control_367930,-1,logit,indent_matched,c,w,8,-0.6461837291717529,False
synthetic_control_367930,-1,random,indent_matched,c,w,8,-2.021346092224121,False
synthetic_control_367930,-1,jlens,indent_matched,c,n,1,-0.07122981548309326,False
synthetic_control_367930,-1,logit,indent_matched,c,n,1,-0.9607831239700317,False
synthetic_control_367930,-1,random,indent_matched,c,n,1,-1.9941656589508057,False
synthetic_control_367930,-1,jlens,indent_matched,c,v,-28,-0.08253777027130127,False
synthetic_control_367930,-1,logit,indent_matched,c,v,-28,-0.656923770904541,False
synthetic_control_367930,-1,random,indent_matched,c,v,-28,-2.8149614334106445,False
synthetic_control_367930,-1,jlens,indent_matched,c,o,-21,-0.18409228324890137,False
synthetic_control_367930,-1,logit,indent_matched,c,o,-21,-0.6244385242462158,False
synthetic_control_367930,-1,random,indent_matched,c,o,-21,-0.6002512574195862,False
synthetic_control_89708,-1,jlens,indent_matched,k,v,-15,0.006670236587524414,True
synthetic_control_89708,-1,logit,indent_matched,k,v,-15,-0.3012784421443939,False
synthetic_control_89708,-1,random,indent_matched,k,v,-15,-0.9806978702545166,False
synthetic_control_89708,-1,jlens,indent_matched,v,k,1,-0.006670236587524414,False
synthetic_control_89708,-1,logit,indent_matched,v,k,1,0.3012784421443939,True
synthetic_control_89708,-1,random,indent_matched,v,k,1,0.9806978702545166,True
synthetic_control_785700,-1,jlens,indent_matched,o,g,-29,0.06772744655609131,True
synthetic_control_785700,-1,logit,indent_matched,o,g,-29,0.2578278183937073,True
synthetic_control_785700,-1,random,indent_matched,o,g,-29,0.01154184341430664,True
synthetic_control_785700,-1,jlens,indent_matched,o,h,-36,0.16167879104614258,True
synthetic_control_785700,-1,logit,indent_matched,o,h,-36,0.2634235620498657,True
synthetic_control_785700,-1,random,indent_matched,o,h,-36,-1.9170334339141846,False
synthetic_control_785700,-1,jlens,indent_matched,o,l,-43,0.16278231143951416,True
synthetic_control_785700,-1,logit,indent_matched,o,l,-43,-0.35128381848335266,False
synthetic_control_785700,-1,random,indent_matched,o,l,-43,-1.0244029760360718,False
synthetic_control_785700,-1,jlens,indent_matched,r,h,-29,0.03206825256347656,True
synthetic_control_785700,-1,logit,indent_matched,r,h,-29,0.5711530447006226,True
synthetic_control_785700,-1,random,indent_matched,r,h,-29,0.7909603118896484,True
synthetic_control_785700,-1,jlens,indent_matched,r,g,-22,-0.06188309192657471,False
synthetic_control_785700,-1,logit,indent_matched,r,g,-22,0.5655572414398193,True
synthetic_control_785700,-1,random,indent_matched,r,g,-22,2.7195355892181396,True
synthetic_control_785700,-1,jlens,indent_matched,r,l,-36,0.033171772956848145,True
synthetic_control_785700,-1,logit,indent_matched,r,l,-36,-0.043554358184337616,False
synthetic_control_785700,-1,random,indent_matched,r,l,-36,1.6835907697677612,True
synthetic_control_785700,-1,jlens,indent_matched,y,g,-15,-0.10628402233123779,False
synthetic_control_785700,-1,logit,indent_matched,y,g,-15,0.3362405300140381,True
synthetic_control_785700,-1,random,indent_matched,y,g,-15,1.3374340534210205,True
synthetic_control_785700,-1,jlens,indent_matched,y,h,-22,-0.012332677841186523,False
synthetic_control_785700,-1,logit,indent_matched,y,h,-22,0.34183627367019653,True
synthetic_control_785700,-1,random,indent_matched,y,h,-22,-0.5911413431167603,False
synthetic_control_785700,-1,jlens,indent_matched,y,l,-29,-0.011229157447814941,False
synthetic_control_785700,-1,logit,indent_matched,y,l,-29,-0.27287110686302185,False
synthetic_control_785700,-1,random,indent_matched,y,l,-29,0.3014891445636749,True
synthetic_control_785700,-1,jlens,indent_matched,g,y,1,0.10628402233123779,True
synthetic_control_785700,-1,logit,indent_matched,g,y,1,-0.3362405300140381,False
synthetic_control_785700,-1,random,indent_matched,g,y,1,-1.3374340534210205,False
synthetic_control_785700,-1,jlens,indent_matched,g,o,-13,-0.06772744655609131,False
synthetic_control_785700,-1,logit,indent_matched,g,o,-13,-0.2578278183937073,False
synthetic_control_785700,-1,random,indent_matched,g,o,-13,-0.01154184341430664,False
synthetic_control_785700,-1,jlens,indent_matched,g,r,-6,0.06188309192657471,True
synthetic_control_785700,-1,logit,indent_matched,g,r,-6,-0.5655572414398193,False
synthetic_control_785700,-1,random,indent_matched,g,r,-6,-2.7195355892181396,False
synthetic_control_785700,-1,jlens,indent_matched,h,o,-6,-0.16167879104614258,False
synthetic_control_785700,-1,logit,indent_matched,h,o,-6,-0.2634235620498657,False
synthetic_control_785700,-1,random,indent_matched,h,o,-6,1.9170334339141846,True
synthetic_control_785700,-1,jlens,indent_matched,h,y,8,0.012332677841186523,True
synthetic_control_785700,-1,logit,indent_matched,h,y,8,-0.34183627367019653,False
synthetic_control_785700,-1,random,indent_matched,h,y,8,0.5911413431167603,True
synthetic_control_785700,-1,jlens,indent_matched,h,r,1,-0.03206825256347656,False
synthetic_control_785700,-1,logit,indent_matched,h,r,1,-0.5711530447006226,False
synthetic_control_785700,-1,random,indent_matched,h,r,1,-0.7909603118896484,False
synthetic_control_785700,-1,jlens,indent_matched,l,y,15,0.011229157447814941,True
synthetic_control_785700,-1,logit,indent_matched,l,y,15,0.27287110686302185,True
synthetic_control_785700,-1,random,indent_matched,l,y,15,-0.3014891445636749,False
