split,position,site_kind,site,variant,n_families,min_family_delta,max_family_delta,all_families_positive,all_families_ci_positive,delta_affine,ci_lo_affine,delta_index,ci_lo_index,delta_modulus,ci_lo_modulus,delta_mul_sub,ci_lo_mul_sub,delta_threshold,ci_lo_threshold
calib,answer,single,L16,jlens_value,5,-0.005974271718193503,0.056423616078164845,False,False,0.056423616078164845,0.014756923789779346,-0.004774302244186401,-0.012586799015601476,-0.005974271718193503,-0.04273897413821781,0.0041666785875956215,-0.0046874722838401795,-0.0004340302613046434,-0.0030381961208250786
calib,answer,single,L16,logit_value,5,-0.00303819692797131,0.0850694477558136,False,False,0.0850694477558136,0.03731555992530452,-1.9868214925130207e-08,-0.004774335357877944,0.06341911589398104,0.017922797623802635,0.009375027815500895,-0.0031249881784121193,-0.00303819692797131,-0.00607639385594262
calib,answer,single,L16,noop_same_value,5,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calib,answer,single,L16,probe_basis,5,0.019531249172157712,0.4262152827448315,True,False,0.4262152827448315,0.29121093298825956,0.026041663355297513,-0.0056423613594637975,0.23437499123461106,0.17416129638166988,0.07656252384185791,-0.007330716848373411,0.019531249172157712,0.0082465261220932
calib,answer,single,L16,whole_state,5,0.22439233793152702,4.701822910043928,True,False,4.701822910043928,3.568945304180185,0.22439233793152702,0.004296838409370849,1.5781249947407667,1.1148667261004448,0.4322916944821676,-0.10526038140058516,0.3411458291941219,0.19703776033388243
calib,answer,single,L24,cf_push_0.03,5,0.0052083200878567165,0.12239582671059503,True,False,0.12239582671059503,0.09287107479241159,0.0052083200878567165,-0.004340301371283001,0.05928309349452748,0.04273897930979729,0.018229182561238608,-0.001562496026357015,0.010850693616602156,0.005642360283268822
calib,answer,single,L24,cf_push_0.1,5,0.01909721891085307,0.4292534755335914,True,False,0.4292534755335914,0.32637805802126724,0.01909721891085307,-0.007823356986045837,0.19577205181121826,0.1419921840376714,0.06354169448216757,-0.0015624645352363587,0.037760412527455225,0.022569444423748388
calib,answer,single,L24,cf_push_0.3,5,0.055121527777777776,1.4908854232894049,True,False,1.4908854232894049,1.1254340406921175,0.055121527777777776,-0.023871527943346234,0.6029411799767438,0.4425551714266048,0.21354167858759562,-0.015625000099341074,0.1128472238779068,0.0694444469279713
calib,answer,single,L24,cf_push_1,5,0.1762152678436703,5.664062495032947,True,False,5.664062495032947,4.226540796375937,0.1762152678436703,-0.08293186095025804,2.0643382195164177,1.50274585003362,0.7666666905085245,-0.08130208720763524,0.3771701388888889,0.230902778584924
calib,answer,single,L24,gram_random,5,-0.00468746821085612,0.0021701372332043117,False,False,0.0021701372332043117,-0.006510419978035821,-0.00043404102325439453,-0.0030382044613361356,-0.0027573669657987706,-0.010110311692251878,-0.00468746821085612,-0.010416642824808756,-0.00043402860562006634,-0.004340277777777778
calib,answer,single,L24,jlens_answer,5,0.01562501589457194,1.914930550588502,True,False,1.914930550588502,1.3159613542258741,0.07421874668863085,-0.06294486216372913,0.3469669065054725,0.21596966057139286,0.01562501589457194,-0.056770817438761396,0.04947916583882438,0.028645834099087452
calib,answer,single,L24,jlens_offvalue,5,-0.023003465599483915,0.03559027281072405,False,False,0.03559027281072405,-0.03949652951624658,-0.023003465599483915,-0.039062496936983535,0.006433816517100614,-0.02205883238245459,-0.00937497615814209,-0.027083305815855663,-0.0017361127667956883,-0.0052191904849476275
calib,answer,single,L24,jlens_value,5,-0.011458305517832439,0.4292534738779068,False,False,0.4292534738779068,0.14799265426894032,0.01085069113307529,-0.013454857882526186,0.17141544468262615,0.07488512414343217,-0.011458305517832439,-0.045312460561593375,0.0013020825054910448,-0.0017361160988608997
calib,answer,single,L24,logit_value,5,-0.0030381961001290213,0.4309895717435413,False,False,0.4309895717435413,0.16011284391085306,0.009114570087856717,-0.020399305638339783,0.23805146532900193,0.1309627705198877,-0.0015624801317850748,-0.022395809491475422,-0.0030381961001290213,-0.007378474705749088
calib,answer,single,L24,noop_same_value,5,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calib,answer,single,L24,probe_basis,5,-0.026909725533591375,0.3420138938559426,False,False,0.3420138938559426,0.24087455223004023,-0.026909725533591375,-0.07684462749295765,0.19393382878864512,0.09235983828411383,0.04322918653488159,-0.005729139149188996,0.03993055638339785,0.013888892158865929
calib,answer,single,L24,whole_state,5,0.1762152678436703,5.664062495032947,True,False,5.664062495032947,4.226540796375937,0.1762152678436703,-0.08293186095025804,2.0643382195164177,1.50274585003362,0.7666666905085245,-0.08130208720763524,0.3771701388888889,0.230902778584924
calib,answer,single,L31,cf_push_0.03,5,0.005642364422480266,0.1684027744664086,True,False,0.1684027744664086,0.1263020717021492,0.005642364422480266,-0.0030381977558135986,0.061580891118330115,0.04365810896543895,0.021354178587595623,-0.004166670739650726,0.0134548619389534,0.008235676358971331
calib,answer,single,L31,cf_push_0.1,5,0.01736109455426534,0.567274295621448,True,False,0.567274295621448,0.4244465980264876,0.01736109455426534,-0.011284725699159835,0.2063419100116281,0.148897062329685,0.07291669845581054,-0.009895809789498647,0.03993055555555555,0.024305556362701788
calib,answer,single,L31,cf_push_0.3,5,0.05121526453230116,1.709201392200258,True,False,1.709201392200258,1.2780707316266167,0.05121526453230116,-0.027788647760947544,0.6185661764705882,0.4512752773568911,0.2244791825612386,-0.02865883817275365,0.11935763640536202,0.07204860945542653
calib,answer,single,L31,cf_push_1,5,0.17100693782170615,5.717881937821706,True,False,5.717881937821706,4.269661437968413,0.17100693782170615,-0.09463974999056922,2.0606617541874157,1.499977018465014,0.7479167064030965,-0.103150994181633,0.399305553899871,0.244769965360562
calib,answer,single,L31,gram_random,5,-0.002083313465118408,0.0022977835991803337,False,False,0.0021701372332043117,-0.003472202354007297,-0.00043403771188524034,-0.0034722256163756053,0.0022977835991803337,-1.57777000876034e-08,-0.002083313465118408,-0.005208297669887543,-0.0004340269499354892,-0.0034722222429182793
calib,answer,single,L31,jlens_answer,5,0.17274304231007895,5.71961806052261,True,False,5.71961806052261,4.270182293198174,0.17274304231007895,-0.09245879045791096,2.0583639635759243,1.499540439291912,0.7515625119209289,-0.1005468632777532,0.3971354199780358,0.24174262564629315
calib,answer,single,L31,jlens_offvalue,5,-0.035416634877522786,0.042968745032946266,False,False,0.042968745032946266,-0.01649304251703951,-0.013888892200258043,-0.0355902712378237,-0.015165444682626164,-0.02895220597000683,-0.035416634877522786,-0.08229164322217306,-0.0004340294334623549,-0.004340279433462355
