model,program_id,base_id,member,condition,condition_kind,condition_order,layer,target_token,target,score,rho,n_tokens,frac_source_expr,frac_trusted_expr,frac_sink_arg,frac_sink_call,frac_taint_chain,frac_trust_chain,frac_signature,frac_other,ntok_source_expr,ntok_trusted_expr,ntok_sink_arg,ntok_sink_call,ntok_taint_chain,ntok_trust_chain,ntok_signature,ntok_other
deepseek-coder-1.3b,command_exec_branch_merge_01_unsafe,command_exec_branch_merge_01,unsafe,clean_heldout,clean,-1,11,5723, safe,-266.75152587890625,1.0000002353448285,104,0.039367010818989794,0.016342977467445053,0.007778082564506412,0.046516914324548894,0.034098087560149246,0.02582576244940604,0.05910764121392224,0.7709637589458609,15,10,4,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_unsafe,command_exec_branch_merge_01,unsafe,clean_heldout,clean,-1,15,24281, vulnerable,-265.6391906738281,1.0000002199854852,104,0.024949436673134488,0.007751807790554545,0.020620903536916826,0.06216407764129531,0.033857492774092814,0.021751370337991138,0.01802567705194978,0.8108794541795503,15,10,4,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_unsafe,command_exec_branch_merge_01,unsafe,clean_heldout,clean,-1,15,5723, safe,-266.75152587890625,1.000000305311455,104,0.0230797322607206,0.008595479396251495,0.022357943441594752,0.06293071597756932,0.03336964861566715,0.023596475962335717,0.012510271916357951,0.813560037740958,15,10,4,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_unsafe,command_exec_branch_merge_01,unsafe,clean_heldout,clean,-1,19,24281, vulnerable,-265.6391906738281,1.0000002847407192,104,0.009983809427295362,0.004890842709971623,0.012637784889708903,0.03504678475132805,0.03352599783626672,0.025073613048823933,-0.005050918013054219,0.883892370090379,15,10,4,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_unsafe,command_exec_branch_merge_01,unsafe,clean_heldout,clean,-1,19,5723, safe,-266.75152587890625,1.0000002857878336,104,0.008270816512965275,0.005539883083343744,0.01182629314601711,0.03518266928646563,0.03216990835783878,0.02508122025987678,-0.011096430569217365,0.8930259257105435,15,10,4,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_unsafe,command_exec_branch_merge_01,unsafe,clean_heldout,clean,-1,23,24281, vulnerable,-265.6391906738281,1.0,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,10,4,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_unsafe,command_exec_branch_merge_01,unsafe,clean_heldout,clean,-1,23,5723, safe,-266.75152587890625,1.0,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,10,4,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,0,24281, vulnerable,-243.84274291992188,1.0000000720941895,103,0.03527529837584782,0.03890172772689043,0.008303995254495046,-0.004962393118810341,0.06754337810004415,0.023283570518089713,0.2151789480460159,0.6164755471916168,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,0,5723, safe,-244.15170288085938,1.000000200506649,103,0.0328499501531163,0.03916459424442679,0.010018394963668367,-0.00385580786132181,0.06311632850992394,0.024985160823474118,0.20611391222967007,0.6276076674436915,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,3,24281, vulnerable,-243.84274291992188,0.9999999403721929,103,0.040727015856985196,0.042498951261912346,-0.003384210947491683,-0.005274873352261036,0.08084341543945056,0.02721290798333755,0.17515134227367915,0.6422253918565807,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,3,5723, safe,-244.15170288085938,1.000000085643697,103,0.038242683881895605,0.04416401833550006,-0.0002893190559857251,-0.005994832629244837,0.07622479496203799,0.028027319813097862,0.16693724358194748,0.6526881767544486,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,7,24281, vulnerable,-243.84274291992188,1.000000031410395,103,0.04175031245667566,0.02286390704797558,-0.002221260386227183,0.005139723069942745,0.08078384470883787,0.05034661544346483,0.11490203566658021,0.6864348534031453,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,7,5723, safe,-244.15170288085938,1.0000002731351896,103,0.04163385974972226,0.023820012855881506,-0.0016564734215028746,0.0038319269869086757,0.07697353784329848,0.04854537330349104,0.10746092767134441,0.6993911081460459,15,10,3,10,11,11,5,38
deepseek-coder-1.3b,command_exec_branch_merge_01_safe,command_exec_branch_merge_01,safe,clean_heldout,clean,-1,11,24281, vulnerable,-243.84274291992188,1.0000001248929857,103,0.040455088933598,0.011766691306887067,0.00025701470090178135,0.03987091361175179,0.03509937767591632,0.017387727530154294,0.05826430653388464,0.7968990045998917,15,10,3,10,11,11,5,38
