model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,logit,erase,3.25,2.75,-0.5,0.14078567864323688
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,offtarget_j,erase,3.25,4.875,1.625,0.10275048646197345
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,offtarget_r,erase,3.25,4.875,1.625,0.10891463119841688
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,random,erase,3.25,3.25,0.0,0.026896045175159915
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,random_matched,erase,3.25,3.25,0.0,0.14942370466037236
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,jlens,erase,1.75,1.5,-0.25,0.004823808014857172
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,rlens,erase,1.75,1.75,0.0,0.006678651740908511
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,logit,erase,1.75,1.75,0.0,0.013226968092938447
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,offtarget_j,erase,1.75,1.5,-0.25,0.028470560844333567
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,offtarget_r,erase,1.75,1.75,0.0,0.006166058255330802
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,random,erase,1.75,1.75,0.0,0.012764193759854275
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,24,random_matched,erase,1.75,1.75,0.0,0.004823808014857172
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,jlens,erase,1.75,1.75,0.0,0.0013551091756471348
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,rlens,erase,1.75,1.75,0.0,0.0033498091709661063
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,logit,erase,1.75,1.75,0.0,0.012295471860993848
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,offtarget_j,erase,1.75,1.75,0.0,0.011073653911752418
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,offtarget_r,erase,1.75,1.75,0.0,0.008451370045206685
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,random,erase,1.75,1.75,0.0,0.009667705129851035
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,25,random_matched,erase,1.75,1.75,0.0,0.0013551098545555793
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,jlens,erase,1.75,1.5,-0.25,0.020839005913295225
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,rlens,erase,1.75,1.75,0.0,0.023533639432913898
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,logit,erase,1.75,1.75,0.0,0.01969477114232955
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,offtarget_j,erase,1.75,1.5,-0.25,0.024552705081869602
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,offtarget_r,erase,1.75,1.75,0.0,0.02079903914797838
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,random,erase,1.75,1.75,0.0,0.006819479725102694
starcoder2-3b,binding-0-inner-use,binding,binding-0,inner,use,26,random_matched,erase,1.75,1.75,0.0,0.020839005913295225
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,jlens,erase,1.75,1.5,-0.25,0.003880967444265322
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,rlens,erase,1.75,1.75,0.0,0.01185558639188972
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,logit,erase,1.75,1.75,0.0,0.00365240948641298
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,offtarget_j,erase,1.75,1.5,-0.25,0.006499154623540834
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,offtarget_r,erase,1.75,1.5,-0.25,0.015442277566989435
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,24,random,erase,1.75,1.5,-0.25,0.012734313698495352
