model,split,layer,question,arm,statistic,is_primary,n,n_bases,mean,median,sd,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,sign_test_p,permutation_p,permutation_effect_size
deepseek-coder-6.7b,test,3,scope/direct,ba,delta_z_family_ordinal,0,280,280,0.0028188665139494726,0.0030819396611735913,0.008149817666824754,0.3458809300021714,0.0018479667723071737,0.0037855144394857883,0.6321428571428571,280,1.1514016510526507e-05,0.0,5.763340537127789
deepseek-coder-6.7b,test,3,scope/direct,ba,delta_z_family_scope,0,280,280,-0.0023107763350097275,-0.0014961699513676577,0.008299642280461535,-0.2784187868493565,-0.003269765226515731,-0.0013451378864759098,0.43214285714285716,280,0.026846214100563016,0.0,-4.503956929581189
deepseek-coder-6.7b,test,3,scope/direct,ba,delta_z_family_shadowing,0,280,280,-0.0004725685225630549,0.0010469275559798485,0.013340171312078689,-0.03542447180833231,-0.0020284561606683147,0.001075524089649486,0.5285714285714286,280,0.3700563944724199,0.546,-0.5954139027217594
deepseek-coder-6.7b,test,3,scope/direct,ba,delta_z_mechanism,0,280,280,0.0014278423674316675,0.0013895822438720333,0.00407825916731126,0.35011074795744873,0.0009541646326730391,0.0019177544667471514,0.6321428571428571,280,1.1514016510526507e-05,0.0,5.326559855124666
deepseek-coder-6.7b,test,7,scope/direct,ab,delta_contrast_prob,1,280,280,-9.214069996712957e-05,-0.00011646642279345733,0.0005353847650808583,-0.17210183400196996,-0.00015325135167483772,-2.9208270506145975e-05,0.43214285714285716,280,0.026846214100563016,0.006,-2.8641279101021513
deepseek-coder-6.7b,test,7,scope/direct,ab,delta_contrast_z,0,280,280,0.003217438485176143,0.00349025187652352,0.011357004362590746,0.28329992509064994,0.0018914160239300185,0.004584258817727624,0.6678571428571428,280,2.0309781079803988e-08,0.0,4.34466983544645
deepseek-coder-6.7b,test,7,scope/direct,ab,delta_prob_control,0,280,280,-0.00044334442264620046,-0.0004418343246042783,0.0004820223661304416,-0.9197590273772185,-0.0004996921886331691,-0.0003849376874563509,0.16785714285714284,280,8.610060754441113e-31,0.0,-11.58359151754932
deepseek-coder-6.7b,test,7,scope/direct,ab,delta_prob_mechanism,0,280,280,-0.0011397181274473683,-0.0009840670079910554,0.0013263800212627039,-0.8592696732286159,-0.0013004968521323386,-0.0009828931891414316,0.16428571428571428,280,1.7185066708055614e-31,0.0,-11.147419965056795
deepseek-coder-6.7b,test,7,scope/direct,ab,delta_z_control,0,280,280,0.0017972607457735403,0.0015786349447885464,0.005328421202183261,0.3372970487087494,0.001173114008567575,0.0023916850519003223,0.6071428571428571,280,0.0004029917321962026,0.0,5.426662852210254
deepseek-coder-6.7b,test,7,scope/direct,ab,delta_z_family_action,0,280,280,-0.004586433830110716,-0.004886267529424282,0.017959980365701532,-0.25536964610882895,-0.006694741966644103,-0.002555086940054381,0.38571428571428573,280,0.0001568224685454027,0.0,-4.20740915376496
deepseek-coder-6.7b,test,7,scope/direct,ab,delta_z_family_ordinal,0,280,280,0.005378840794781397,0.005750819944186695,0.024563844330530386,0.21897390011123136,0.002466989265002959,0.008265194076445527,0.6964285714285714,280,4.13700912253819e-11,0.0,3.458586213044652
deepseek-coder-6.7b,test,7,scope/direct,ab,delta_z_family_scope,0,280,280,0.007574827336145091,0.007001892257116128,0.011759193295696626,0.6441621585485088,0.006235928725560021,0.00896946212936258,0.725,280,2.920619840365119e-14,0.0,9.14339258640184
deepseek-coder-6.7b,test,7,scope/direct,ab,delta_z_family_shadowing,0,280,280,-0.00508857921694169,-0.0017166562028733713,0.026729824465551433,-0.19037084300720689,-0.00831367921697253,-0.0019732516983473553,0.46785714285714286,280,0.3096519366844883,0.002,-3.33531345681298
deepseek-coder-6.7b,test,7,scope/direct,ab,delta_z_mechanism,0,280,280,-0.005511778786354403,-0.005667181092836314,0.005952205762334231,-0.9260060902519759,-0.006223489733918984,-0.004812952297805106,0.175,280,2.0045135349163166e-29,0.0,-11.020598004224649
deepseek-coder-6.7b,test,7,scope/direct,ba,delta_contrast_prob,1,280,280,-8.906069649824599e-05,-0.00013682984393437094,0.0005326915533388461,-0.16718999191938438,-0.00015283949418021725,-2.6646329536705563e-05,0.40714285714285714,280,0.0022472898452019887,0.008,-2.7732750482364597
deepseek-coder-6.7b,test,7,scope/direct,ba,delta_contrast_z,0,280,280,0.0031691808715030912,0.003816827954277624,0.011450983905142383,0.2767605733931634,0.0018205755418184148,0.00455784689772898,0.6428571428571429,280,2.0145064960563766e-06,0.0,4.291214674022152
deepseek-coder-6.7b,test,7,scope/direct,ba,delta_prob_control,0,280,280,-0.0004429770960030219,-0.0004342363699249466,0.0004938318493780786,-0.8970201022086726,-0.0004999210915132072,-0.00038226834587466057,0.20714285714285716,280,8.8374078285398e-24,0.0,-11.415092105636349
deepseek-coder-6.7b,test,7,scope/direct,ba,delta_prob_mechanism,0,280,280,-0.0011403155520066923,-0.000930614779580256,0.001353749962521974,-0.8423383812194808,-0.0013025570715824027,-0.0009763300041913223,0.18571428571428572,280,1.8765286870335615e-27,0.0,-10.872713859843072
deepseek-coder-6.7b,test,7,scope/direct,ba,delta_z_control,0,280,280,0.0018915078995508454,0.0013633972725441337,0.005196288400336715,0.3640113392144049,0.0012939214187676063,0.0024655815278004554,0.6178571428571429,280,9.575382931729222e-05,0.0,5.721067601881904
deepseek-coder-6.7b,test,7,scope/direct,ba,delta_z_family_action,0,280,280,-0.004713780052247098,-0.004537736891871234,0.017617758176320622,-0.2675584489848837,-0.006799726567642649,-0.0027827617795379684,0.3892857142857143,280,0.00025318766072186815,0.0,-4.3717159872838245
deepseek-coder-6.7b,test,7,scope/direct,ba,delta_z_family_ordinal,0,280,280,0.005262007370014989,0.005522983761047433,0.02424115258061156,0.2170691906053849,0.002360368171513826,0.00813385970599513,0.6964285714285714,280,4.13700912253819e-11,0.0,3.447217209309341
deepseek-coder-6.7b,test,7,scope/direct,ba,delta_z_family_scope,0,280,280,0.007519769405660361,0.007578537090703299,0.011932275075929063,0.6302041612190089,0.006183350027753221,0.008886691366217479,0.7214285714285714,280,7.682478993483257e-14,0.0,9.064583849508924
deepseek-coder-6.7b,test,7,scope/direct,ba,delta_z_family_shadowing,0,280,280,-0.004745730913161322,-0.0014784076453806926,0.026304785688902294,-0.18041321337065652,-0.00795166185406732,-0.0017045349226808585,0.475,280,0.43727338509357616,0.004,-3.079352039986014
deepseek-coder-6.7b,test,7,scope/direct,ba,delta_z_mechanism,0,280,280,-0.005564394043262593,-0.005762677836008043,0.005943623601755263,-0.936195562858207,-0.006261587454593526,-0.004886860262506674,0.175,280,2.0045135349163166e-29,0.0,-11.08543697540524
deepseek-coder-6.7b,test,11,scope/direct,ab,delta_contrast_prob,1,280,280,3.4422745849653683e-06,3.1760093457122167e-06,2.181546298612854e-06,1.5779058125670558,3.183818705177474e-06,3.69439003993151e-06,0.9464285714285714,280,2.9030560260336967e-60,0.0,14.47740465740618
