model,split,correct_only,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,statistic,role,token_identical,n_pairs,n_bases,mean_delta,median_delta,sd_delta,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,degenerate,sign_test_p,permutation_p,permutation_effect_size,mean_frac_from,mean_frac_to,same_target_token,median_abs_rho_minus_one
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,fixed_outer,delta_frac_signature,signature,1,120,120,-4.002203176133084e-05,-4.5446556554533564e-05,0.001398607261818622,-0.028615632746886943,-0.000290788711429383,0.0002151739183605082,0.48333333333333334,120,0,0.7843281773322767,0.738,-0.3975011808672618,0.005578692287914964,0.005538670256153633,1,1.0086108426232698e-07
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,fixed_outer,delta_frac_use_site,use_site,1,120,120,-2.715079380263915e-05,-2.1003655594570942e-05,0.0003894374384975516,-0.0697179857883896,-9.585485598924268e-05,3.9594455911005496e-05,0.43333333333333335,120,0,0.1706452131303514,0.484,-0.809531564134147,0.003602436992264481,0.003575286198461843,1,1.0086108426232698e-07
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,binding_shift,binding_shift,0,120,120,0.39528602126653284,-0.012383159891034463,2.785135383497775,0.14192704010320104,0.004293278249155262,0.9837260769732773,0.45,120,0,0.3153033008322579,0.072,1.6005343004147665,,,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,binding_shift_identical,binding_shift_identical,1,120,120,0.4427927863285505,-0.008512486781311786,3.1890833956378795,0.13884641177280446,0.007978311798978517,1.1115753344992059,0.4583333333333333,120,0,0.4114232202639376,0.068,1.5551288120605489,,,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_both_defs,both_defs,0,120,120,-0.4172884407744567,0.016402905999359535,3.450056401341365,-0.12095119390286402,-1.1383953425643896,0.020474747415510294,0.5,120,0,1.0,0.16,-1.3423707133764358,0.8110283785408671,0.39373993776641053,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_inner_def,inner_def,0,120,120,-0.011001209753961927,0.003678872818564209,0.7164498113154988,-0.015355171541970565,-0.15454083367370638,0.11923789405705687,0.5333333333333333,120,0,0.522990983889995,0.842,-0.1120289037837919,0.04010563757854824,0.02910442782458632,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_inner_def_identical,inner_def_identical,1,120,120,0.03650555530805576,0.0002968234870249385,0.30367447154901267,0.12021278944471236,-0.008332567234074858,0.10493669304940224,0.5,120,0,1.0,0.18,1.4542321709992312,-0.01432697967870378,0.02217857562935198,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_inner_def_name,inner_def_name,0,120,120,-0.047506765062017696,0.002250031336599858,0.6160218499407131,-0.07711863640322145,-0.17086770856502476,0.029243822347099907,0.5333333333333333,120,0,0.522990983889995,0.636,-0.816969582068312,0.054432617257252035,0.006925852195234343,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_inner_def_value,inner_def_value,1,120,120,0.03650555530805576,0.0002968234870249385,0.30367447154901267,0.12021278944471236,-0.008332567234074858,0.10493669304940224,0.5,120,0,1.0,0.18,1.4542321709992312,-0.01432697967870378,0.02217857562935198,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_other,other,1,120,120,-0.08809967751821648,-0.00039752429730632866,0.6730862296688112,-0.13088913965981075,-0.2278896757671439,0.008684820806243082,0.49166666666666664,120,0,0.927315021089884,0.218,-1.48692095042111,0.45022651749144527,0.3621268399732287,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_outer_def,outer_def,1,120,120,-0.40628723102049474,0.004222547460070725,3.052316137999126,-0.1331078475006284,-1.050226612144325,0.00432088155191158,0.5,120,0,1.0,0.124,-1.4877155676852032,0.7709227409623189,0.3646355099418242,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_outer_def_name,outer_def_name,1,120,120,-0.48003167614392533,0.005515890705473925,3.5904368088732364,-0.13369729135953531,-1.2378159476472546,0.0011431026648665874,0.5166666666666667,120,0,0.7843281773322767,0.094,-1.4929392424186767,0.9106738214484665,0.4306421453045413,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_outer_def_value,outer_def_value,1,120,120,0.07374444512343062,0.007987921274650388,0.5549818895635263,0.13287721006793216,0.0023101292384478814,0.1860040083571095,0.55,120,0,0.3153033008322579,0.05,1.4777517790557773,-0.13975108048614768,-0.06600663536271706,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_question,question,1,120,120,-0.04565238267347569,-0.024307648120081238,0.762230489500687,-0.05989314689232796,-0.20516795937329407,0.07987472269510816,0.4666666666666667,120,0,0.522990983889995,0.554,-0.7510347035721315,0.4190758583993724,0.3734234757258968,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_question_all,question_all,1,120,120,0.044912529991828265,-0.02227422781643154,0.9706778543689464,0.04626924348761066,-0.09836681112905661,0.2455614736867034,0.4666666666666667,120,0,0.522990983889995,0.868,0.47630565898434324,0.3038258099946943,0.34873833998652254,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_question_var,question_var,1,120,120,0.09056491266530392,0.00040384418900846555,0.6426494045784321,0.1409242924992875,-0.0022888292067392633,0.223861243118261,0.525,120,0,0.6482600518210047,0.122,1.5742466249152165,-0.11525004840467813,-0.024685135739374194,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_return_kw,return_kw,1,120,120,-0.10143255275447277,-0.0005985635382241873,0.756186062286766,-0.1341370303067115,-0.26224249016326723,0.002879947926633761,0.49166666666666664,120,0,0.927315021089884,0.136,-1.5145778673895467,0.1444312245690026,0.04299867181452986,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_signature,signature,1,120,120,0.6513537214004593,-0.0029491660395134373,4.811191533914081,0.13538303698970786,-0.008887495672484558,1.6491126180956581,0.48333333333333334,120,0,0.7843281773322767,0.112,1.5190547170323252,-0.8403446946092576,-0.18899097320879812,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,margin,delta_frac_use_site,use_site,1,120,120,-0.08945101841723321,-0.0020250116945912007,0.7367814371333501,-0.12140780685961211,-0.2432991594115815,0.0018572759374348164,0.45,120,0,0.3153033008322579,0.128,-1.3545555658537,0.13083790731108083,0.04138688889384763,1,2.610567926497609e-06
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,binding_shift,binding_shift,0,120,120,0.0005039198586649442,0.0011013042625576319,0.003876785036083459,0.12998395680304,-0.00019686907029239386,0.0012108867452714548,0.5583333333333333,120,0,0.23520336797252533,0.118,1.487050218474882,,,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,binding_shift_identical,binding_shift_identical,1,120,120,0.0003869923727305684,0.0005251249430273759,0.0036332560047803095,0.10651392916474889,-0.0002867673357660748,0.0010397642473620032,0.575,120,0,0.12032782773865777,0.202,1.2391003592768421,,,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_both_defs,both_defs,0,120,120,0.00044803357842834735,0.00014966464807522617,0.002619723713261056,0.17102321750969343,-2.956636840409864e-05,0.0009123470005555808,0.5166666666666667,120,0,0.7843281773322767,0.072,1.749832537396708,0.28197054665688176,0.28241858023531013,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_inner_def,inner_def,0,120,120,0.000475976718546646,0.000567003657254918,0.0023949868389369607,0.19873876165345156,4.638817342206109e-05,0.0008959095636775257,0.5666666666666667,120,0,0.1706452131303514,0.026,2.1170354622888268,0.008268905751359941,0.008744882469906587,1,7.583309102887625e-08
deepseek-coder-6.7b,calib,0,same_inner,same_binding,3,0,no_shift,3,said,delta_frac_inner_def_identical,inner_def_identical,1,120,120,0.00035904923261227017,0.00037112164055377655,0.0019764915153228806,0.18165989068443622,-6.686677057459439e-06,0.0007014032298532172,0.5833333333333334,120,0,0.08240747932752653,0.038,1.9888412698944313,0.004220732161819476,0.004579781394431745,1,7.583309102887625e-08
