model,lens,basis,arm,layer,site,condition,n_candidates,n,sv1_share,sv1_floor,mean_pairwise_cosine,resultant_length,mean_norm,dropped_zero_norm
deepseek-coder-6.7b,logit,frozen_pool,main,0,sink_arg,clean_heldout,196,72,0.25208826836586673,0.013888888888888888,0.0008528665358613234,0.12136684084294433,4.903247493851048,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,0,sink_arg,clean_heldout,196,72,0.22025118901946789,0.013888888888888888,-0.011254101659809447,0.052830807267888656,10.112518717770136,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,0,sink_arg,clean_heldout,196,72,0.22233833165616435,0.013888888888888888,-0.011081743601813935,0.054415607987559046,10.024895339962969,0
deepseek-coder-6.7b,logit,frozen_pool,main,0,last_token,clean_heldout,196,72,0.25569625298094834,0.013888888888888888,-0.005158066580125157,0.0938214374350371,0.5614995725484945,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,0,last_token,clean_heldout,196,72,0.3288404333844355,0.013888888888888888,-0.012456758402832122,0.040064211204383304,1.68845663289986,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,0,last_token,clean_heldout,196,72,0.32272927640037435,0.013888888888888888,-0.012867565928955663,0.03464158127728782,1.6915257976659657,0
deepseek-coder-6.7b,logit,frozen_pool,main,3,sink_arg,clean_heldout,196,72,0.14053497981579097,0.013888888888888888,0.012556032365205347,0.16208186794237228,9.319346316407607,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,3,sink_arg,clean_heldout,196,72,0.19688873916820857,0.013888888888888888,-0.0127165567953534,0.036728067440520186,12.257123890356354,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,3,sink_arg,clean_heldout,196,72,0.1869410902717913,0.013888888888888888,-0.013130860328864999,0.03066596843647716,12.474577332194862,0
deepseek-coder-6.7b,logit,frozen_pool,main,3,last_token,clean_heldout,196,72,0.20011182152963958,0.013888888888888888,-0.004170067317430894,0.09887739465160367,1.0361896714746124,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,3,last_token,clean_heldout,196,72,0.23020269581542058,0.013888888888888888,-0.0136203553886805,0.021394043629687033,3.9945103197227385,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,3,last_token,clean_heldout,196,72,0.2380454027817721,0.013888888888888888,-0.0135192538446607,0.023609372264788514,3.9982639382577876,0
deepseek-coder-6.7b,logit,frozen_pool,main,7,sink_arg,clean_heldout,196,72,0.26221393252826897,0.013888888888888888,0.06816267738618748,0.28478915432735574,8.576279089722014,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,7,sink_arg,clean_heldout,196,72,0.22292229348955772,0.013888888888888888,-0.013368718805909511,0.02656777621596234,11.941548561089114,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,7,sink_arg,clean_heldout,196,72,0.1807557907394121,0.013888888888888888,-0.013513274121074944,0.0237339236243537,11.981310757477916,0
deepseek-coder-6.7b,logit,frozen_pool,main,7,last_token,clean_heldout,196,72,0.25031194613868357,0.013888888888888888,0.04922815150734226,0.24986659654651777,3.4045603448182953,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,7,last_token,clean_heldout,196,72,0.2640180868834498,0.013888888888888888,-0.013765883075135312,0.017725649049937946,9.34973110478049,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,7,last_token,clean_heldout,196,72,0.27326586724180474,0.013888888888888888,-0.01352097048075072,0.023573494963947585,9.59190741770547,0
deepseek-coder-6.7b,logit,frozen_pool,main,11,sink_arg,clean_heldout,196,72,0.3190270668202884,0.013888888888888888,0.2751136498375319,0.5340238906753242,11.393637693591602,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,11,sink_arg,clean_heldout,196,72,0.23512937094637598,0.013888888888888888,-0.013481490005798763,0.024385278342420727,12.98288929785383,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,11,sink_arg,clean_heldout,196,72,0.18189338553084508,0.013888888888888888,-0.013657941915031635,0.020509524898593513,12.83490161069635,0
deepseek-coder-6.7b,logit,frozen_pool,main,11,last_token,clean_heldout,196,72,0.2348892372186323,0.013888888888888888,0.18049350224130395,0.4380359995849622,6.131756682811172,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,11,last_token,clean_heldout,196,72,0.2485953605176132,0.013888888888888888,-0.013741137812254674,0.018401092709823836,11.147362109417612,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,11,last_token,clean_heldout,196,72,0.23683488602916075,0.013888888888888888,-0.013511118722579863,0.023778658351797755,11.728972366733023,0
deepseek-coder-6.7b,logit,frozen_pool,main,15,sink_arg,clean_heldout,196,72,0.5722189680416334,0.013888888888888888,0.5564204990014264,0.7500542149766138,13.285045873961922,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,15,sink_arg,clean_heldout,196,72,0.20202342792862513,0.013888888888888888,-0.013690460227429637,0.019712278975191455,11.92918085393853,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,15,sink_arg,clean_heldout,196,72,0.18909871978597245,0.013888888888888888,-0.013657366240091716,0.02052335964262855,12.286223949514214,0
deepseek-coder-6.7b,logit,frozen_pool,main,15,last_token,clean_heldout,196,72,0.29751419504284665,0.013888888888888888,0.2608944564447982,0.5207300751986563,9.00252432880818,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,15,last_token,clean_heldout,196,72,0.22639039408563086,0.013888888888888888,-0.01385204973541567,0.015140301619577134,12.003300558344591,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,15,last_token,clean_heldout,196,72,0.20270810533057304,0.013888888888888888,-0.01378922828389976,0.01706392875300814,12.500888963287236,0
deepseek-coder-6.7b,logit,frozen_pool,main,19,sink_arg,clean_heldout,196,72,0.5767748294591493,0.013888888888888888,0.5595741975548106,0.7521244728027213,11.605916224784872,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,19,sink_arg,clean_heldout,196,72,0.17370285620732814,0.013888888888888888,-0.01384097561206285,0.015496743180933163,10.519944967359041,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_safe,19,sink_arg,clean_heldout,196,72,0.18573099930524614,0.013888888888888888,-0.013821302865460005,0.0161105109548685,11.1656510154763,0
deepseek-coder-6.7b,logit,frozen_pool,main,19,last_token,clean_heldout,196,72,0.2166754709779429,0.013888888888888888,0.1473829663109252,0.39902991060396314,8.214963744325166,0
deepseek-coder-6.7b,logit,frozen_pool,same_label_unsafe,19,last_token,clean_heldout,196,72,0.22274407656837733,0.013888888888888888,-0.01372193602996974,0.018908603961684704,12.230493369452358,0
