model,layer,site,condition,condition_kind,condition_order,n,sv1_share,sv1_floor,mean_pairwise_cosine,resultant_length,mean_norm,dropped_zero_norm,same_label_unsafe_n,same_label_unsafe_sv1_share,same_label_unsafe_sv1_floor,same_label_unsafe_mean_pairwise_cosine,same_label_unsafe_resultant_length,same_label_unsafe_mean_norm,same_label_unsafe_dropped_zero_norm,same_label_safe_n,same_label_safe_sv1_share,same_label_safe_sv1_floor,same_label_safe_mean_pairwise_cosine,same_label_safe_resultant_length,same_label_safe_mean_norm,same_label_safe_dropped_zero_norm,n_pairs,same_label_sv1_share,sv1_ratio,proj_mean,proj_sign_consistency,proj_ci_lo,proj_ci_hi,same_label_proj_mean,same_label_proj_sign_consistency
deepseek-coder-6.7b,0,sink_arg,rename_only,atomic,11,72,0.17409278581553725,0.013888888888888888,-0.0063516147647545255,0.08732405737176364,160.16547593013857,0,72,0.17809830219671274,0.013888888888888888,-0.013503465576028849,0.02393682196659443,163.69408041793002,0,72,0.1676821017510837,0.013888888888888888,-0.01339750366880767,0.02602809366676268,163.8815569566492,0,72,0.17809830219671274,0.977509519564362,-0.0068476871117016235,0.5416666666666666,-0.029961326762474795,0.015346525036183578,0.0024460387256044426,0.5
deepseek-coder-6.7b,0,sink_arg,rename_opaque,cumulative,22,72,0.18020942754100638,0.013888888888888888,0.01260180996645766,0.1622210643440719,163.3273203701118,0,72,0.2020766641681578,0.013888888888888888,-0.013324833756948352,0.027370098053417887,162.73212376071947,0,72,0.19463181072294558,0.013888888888888888,-0.0114466524731844,0.051002134269599694,154.92422212515785,0,72,0.2020766641681578,0.8917874227726036,-0.005327501693188184,0.5416666666666666,-0.019020928361598573,0.007538999592816313,0.010179468658125093,0.4930555555555556
deepseek-coder-6.7b,0,sink_arg,rename_opaque_encode,cumulative,23,72,0.18510635778317952,0.013888888888888888,-0.005676187378431571,0.09105787964953317,170.52666501131478,0,72,0.1752231250787891,0.013888888888888888,-0.01302428266425669,0.03233417757441091,164.88913259091845,0,72,0.21271879735202048,0.013888888888888888,-0.01370826978550644,0.019261665018690876,168.32854804046636,0,72,0.21271879735202048,0.8701927619346862,0.006499328335279723,0.5,-0.006930150201135242,0.02166199621899943,-0.0023236071441197176,0.4722222222222222
deepseek-coder-6.7b,0,sink_arg,rename_opaque_encode_flatten,cumulative,24,72,0.16539829562833586,0.013888888888888888,-0.005490212660959118,0.0920593785638063,164.42975138525836,0,72,0.18999622495947527,0.013888888888888888,-0.013236034232954158,0.028925567664710772,162.60030598913025,0,72,0.17184817486312742,0.013888888888888888,-0.011034584421452592,0.05484124893181152,155.41412307116056,0,72,0.18999622495947527,0.8705346417467718,-0.001570062716091299,0.4583333333333333,-0.01386423579585256,0.01105325084969254,0.008050804739236085,0.4861111111111111
deepseek-coder-6.7b,0,last_token,clean_heldout,clean,-1,72,0.2505132974343981,0.013888888888888888,-0.005127058924332117,0.09398424929893097,7.162854379210011,0,72,0.3231363712257128,0.013888888888888888,-0.012487826511370799,0.03968002535783264,21.540683569680755,0,72,0.31441167909637785,0.013888888888888888,-0.012666857439907175,0.03738930361127337,21.632258240383194,0,72,0.3231363712257128,0.7752556497560374,-0.03816446931040117,0.4583333333333333,-0.12521169325578735,0.04531329922729376,0.007373094550377972,0.5138888888888888
deepseek-coder-6.7b,0,last_token,encode_only,atomic,13,72,0.2507578632073952,0.013888888888888888,-0.002941400669127092,0.1048252880121634,11.432159887692327,0,72,0.2384477327760494,0.013888888888888888,-0.013423670999132638,0.025527588306461804,32.665608438088974,0,72,0.2094980396135549,0.013888888888888888,-0.013203427634179726,0.029476129224726408,31.5861565135649,0,72,0.2384477327760494,1.0516261164995329,-0.022305426065896083,0.4444444444444444,-0.056895761814913494,0.012174447882899356,-0.0016144527370200892,0.5138888888888888
deepseek-coder-6.7b,0,last_token,flatten_only,atomic,14,72,0.24967118379737918,0.013888888888888888,-0.0027689069181095253,0.10563351272824671,0.6963255133801327,0,72,0.2025758743131383,0.013888888888888888,-0.012839884337549522,0.03503335950561658,163.0785493741769,0,72,0.20256014328735666,0.013888888888888888,-0.012838958793353988,0.035046383089625884,163.08678899447847,0,72,0.2025758743131383,1.2324823212237097,-0.004272899214354127,0.5277777777777778,-0.027802732214243783,0.017805994374553373,0.0016387049651216934,0.5069444444444444
deepseek-coder-6.7b,0,last_token,normalize,baseline,0,72,0.24864408567980315,0.013888888888888888,-0.003597591055918915,0.10169200743132811,12.220365560750468,0,72,0.2872239168222548,0.013888888888888888,-0.01349042683065655,0.024203906658781645,31.74237105338854,0,72,0.25138799547775903,0.013888888888888888,-0.013186751783231572,0.02975376339187994,31.382666767530022,0,72,0.2872239168222548,0.8656802972075396,-0.020869560441237958,0.4583333333333333,-0.05479116875805133,0.013140125531506678,-0.0009326094381498512,0.5138888888888888
deepseek-coder-6.7b,0,last_token,opaque_only,atomic,12,72,0.22843216451948015,0.013888888888888888,-0.005116438450643117,0.0940399494012709,9.532125093802684,0,72,0.3039179389029842,0.013888888888888888,-0.012656194666994329,0.03752965098932567,90.73908719197397,0,72,0.3039860101836727,0.013888888888888888,-0.012094869186582032,0.044294514294266056,90.43050729556111,0,72,0.3039860101836727,0.7514561751754897,-0.016248893381192883,0.4722222222222222,-0.0502432785480506,0.01773233694833991,-0.00526352528656349,0.4583333333333333
deepseek-coder-6.7b,0,last_token,rename_cumulative,cumulative,21,72,0.315894637615294,0.013888888888888888,-0.005840692838580645,0.09016272391724545,11.821804604438853,0,72,0.23371681147969384,0.013888888888888888,-0.013683590181985809,0.01988337422425514,27.324911277098074,0,72,0.22526835571713996,0.013888888888888888,-0.013609340292581663,0.021646413363002416,27.75707732398581,0,72,0.23371681147969384,1.3516128155921727,0.001599202931475865,0.5277777777777778,-0.01702512437216224,0.01976185351092594,-0.0009709639360548321,0.4513888888888889
