split,position,site_kind,site,variant,n_families,min_family_delta,max_family_delta,all_families_positive,all_families_ci_positive,delta_affine,ci_lo_affine,delta_threshold,ci_lo_threshold
test,pre_def,single,L12,jlens_answer,2,-0.0031250051089695523,0.0013392857142857143,False,False,-0.0031250051089695523,-0.0068080293387174605,0.0013392857142857143,-0.0018973214285714286
test,pre_def,single,L12,jlens_value,2,-0.002901794229234968,0.0015624997871262686,False,False,-0.002901794229234968,-0.00647321988429342,0.0015624997871262686,-0.0013392857142857143
test,pre_def,single,L12,logit_value,2,-0.00323660671710968,-0.00022321407284055437,False,False,-0.00323660671710968,-0.006361612815942083,-0.00022321407284055437,-0.0034598212210195404
test,pre_def,single,L12,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,single,L12,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,single,L18,gram_random,2,-0.0034598239830562045,0.00011160714285714285,False,False,-0.0034598239830562045,-0.007477674367172378,0.00011160714285714285,-0.0029017857142857144
test,pre_def,single,L18,jlens_answer,2,-0.004464293803487505,0.0004464285714285714,False,False,-0.004464293803487505,-0.00748048790863582,0.0004464285714285714,-0.0027901785714285715
test,pre_def,single,L18,jlens_value,2,-0.0021205408232552667,-0.0011160714285714285,False,False,-0.0021205408232552667,-0.005133926059518542,-0.0011160714285714285,-0.004464285714285714
test,pre_def,single,L18,logit_value,2,-0.006250002980232238,-0.0003348214285714286,False,False,-0.006250002980232238,-0.009263396816594261,-0.0003348214285714286,-0.0033482142857142855
test,pre_def,single,L18,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,single,L18,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,single,L23,gram_random,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,single,L23,jlens_answer,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,single,L23,jlens_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,single,L23,logit_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,single,L23,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,single,L23,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,single,L6,gram_random,2,-0.0030133898769106183,0.00011160692998341152,False,False,-0.0030133898769106183,-0.006919646263122558,0.00011160692998341152,-0.0030133928571428573
test,pre_def,single,L6,jlens_answer,2,-0.0018973231315612793,0.0005580357142857143,False,False,-0.0018973231315612793,-0.006138400627034051,0.0005580357142857143,-0.0025669642857142857
test,pre_def,single,L6,jlens_value,2,-0.001227680274418422,-0.0005580357142857143,False,False,-0.001227680274418422,-0.0053571403665202,-0.0005580357142857143,-0.0034598214285714284
test,pre_def,single,L6,logit_value,2,-0.00479911310332162,-0.00078125,False,False,-0.00479911310332162,-0.008819770280803952,-0.00078125,-0.00390625
test,pre_def,single,L6,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,single,L6,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,use,band,L12+18+23,gram_random,2,-0.003571427719933646,0.0007812502128737314,False,False,-0.003571427719933646,-0.007477678603359631,0.0007812502128737314,-0.0024553567224315236
test,use,band,L12+18+23,jlens_answer,2,-0.0031250059604644776,0.0004464285714285714,False,False,-0.0031250059604644776,-0.0069196560553142,0.0004464285714285714,-0.0030133928571428573
test,use,band,L12+18+23,jlens_value,2,-0.00200893155166081,-0.0002232142857142857,False,False,-0.00200893155166081,-0.0061383869605405,-0.0002232142857142857,-0.003236607142857143
test,use,band,L12+18+23,logit_value,2,-0.0032366152320589337,-0.0006696428571428571,False,False,-0.0032366152320589337,-0.00714286995785577,-0.0006696428571428571,-0.0035714285714285713
test,use,band,L12+18+23,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,use,band,L12+18+23,whole_state,2,-0.006361607142857143,0.0882812397820609,False,False,0.0882812397820609,0.05669083001358168,-0.006361607142857143,-0.011495535714285715
test,use,band,L6+12+18,gram_random,2,-0.0020089302744184224,0.00078125,False,False,-0.0020089302744184224,-0.006473220746432032,0.00078125,-0.002455357142857143
test,use,band,L6+12+18,jlens_answer,2,0.00033482185431889125,0.0006696426442691258,True,False,0.00033482185431889125,-0.004129463923828943,0.0006696426442691258,-0.002455357142857143
test,use,band,L6+12+18,jlens_value,2,0.00022321449858801704,0.008258937086377824,True,False,0.008258937086377824,0.002678583264350891,0.00022321449858801704,-0.0029017857142857144
test,use,band,L6+12+18,logit_value,2,-0.001227677719933646,0.0006696426442691258,False,False,-0.001227677719933646,-0.004799100788576262,0.0006696426442691258,-0.002678571433893272
test,use,band,L6+12+18,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,use,band,L6+12+18,whole_state,2,-0.0078125,0.4484375021287373,False,False,0.4484375021287373,0.29094865911773277,-0.0078125,-0.021205357142857144
test,use,single,L12,gram_random,2,-0.00334821343421936,-0.00234375,False,False,-0.00334821343421936,-0.0073660570383071895,-0.00234375,-0.005357142857142857
test,use,single,L12,jlens_answer,2,-0.0043526815516608105,-0.0014508930700165884,False,False,-0.0043526815516608105,-0.00859375129852976,-0.0014508930700165884,-0.004913505294493267
test,use,single,L12,jlens_value,2,-0.00033482185431889125,0.00044642388820648193,False,False,0.00044642388820648193,-0.0035714303169931683,-0.00033482185431889125,-0.003571428997176034
test,use,single,L12,logit_value,2,-0.003794639025415693,-0.00022321449858801704,False,False,-0.003794639025415693,-0.007589280232787133,-0.00022321449858801704,-0.0035714285714285713
test,use,single,L12,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,use,single,L12,whole_state,2,-0.007589285714285714,0.08526785671710968,False,False,0.08526785671710968,0.054461496791669305,-0.007589285714285714,-0.013392857142857142
test,use,single,L18,gram_random,2,-0.0035714230367115568,-0.00011160714285714285,False,False,-0.0035714230367115568,-0.007031245763812746,-0.00011160714285714285,-0.003462611607142857
test,use,single,L18,jlens_answer,2,-0.0033482172659465245,0.0012276785714285714,False,False,-0.0033482172659465245,-0.006808034096445356,0.0012276785714285714,-0.001339285724929401
test,use,single,L18,jlens_value,2,-0.0011160820722579956,0.0003348214285714286,False,False,-0.0011160820722579956,-0.004464293409671102,0.0003348214285714286,-0.0030133928571428573
test,use,single,L18,logit_value,2,-0.003125004257474627,0.0015625002128737313,False,False,-0.003125004257474627,-0.006808034490261759,0.0015625002128737313,-0.0013420758768916128
test,use,single,L18,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,use,single,L18,whole_state,2,-0.0014508928571428572,0.029799105865614756,False,False,0.029799105865614756,0.005691959453480584,-0.0014508928571428572,-0.004575892857142857
test,use,single,L23,gram_random,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,use,single,L23,jlens_answer,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
