model,layer,site,condition,condition_kind,condition_order,n,sv1_share,sv1_floor,mean_pairwise_cosine,resultant_length,mean_norm,dropped_zero_norm,same_label_unsafe_n,same_label_unsafe_sv1_share,same_label_unsafe_sv1_floor,same_label_unsafe_mean_pairwise_cosine,same_label_unsafe_resultant_length,same_label_unsafe_mean_norm,same_label_unsafe_dropped_zero_norm,same_label_safe_n,same_label_safe_sv1_share,same_label_safe_sv1_floor,same_label_safe_mean_pairwise_cosine,same_label_safe_resultant_length,same_label_safe_mean_norm,same_label_safe_dropped_zero_norm,n_pairs,same_label_sv1_share,sv1_ratio,proj_mean,proj_sign_consistency,proj_ci_lo,proj_ci_hi,same_label_proj_mean,same_label_proj_sign_consistency
starcoder2-3b,15,sink_arg,rename_opaque,cumulative,22,72,0.18308368432296215,0.013888888888888888,0.14128164304961688,0.39141830168778513,137.44573950911516,0,72,0.137477780165708,0.013888888888888888,-0.013880771552255072,0.014174125384486176,161.87565309362637,0,72,0.1397457750745812,0.013888888888888888,-0.013820269427657574,0.01614210790840395,164.4967796877529,0,72,0.1397457750745812,1.3101196385025011,0.2926260467890466,1.0,0.26114520154067306,0.32513222789156215,0.000687492592079002,0.5
starcoder2-3b,15,sink_arg,rename_opaque_encode,cumulative,23,72,0.19499686113240167,0.013888888888888888,0.14800678321652624,0.3997999779121041,140.8868876389577,0,72,0.13653146232412924,0.013888888888888888,-0.013924836330632932,0.012548030237773561,159.13510337306212,0,72,0.13405608752981246,0.013888888888888888,-0.013872430867942005,0.014461350970449623,162.50173002818812,0,72,0.13653146232412924,1.428219238357486,0.2989336260983995,0.9861111111111112,0.2657472815529601,0.3299947842889514,0.0006797924610159816,0.5347222222222222
starcoder2-3b,15,sink_arg,rename_opaque_encode_flatten,cumulative,24,72,0.1609605073684196,0.013888888888888888,0.013589418883911844,0.1651955382080809,153.6781844366972,0,72,0.24611834899816212,0.013888888888888888,-0.01375781774621719,0.017948591719198787,187.56652838517164,0,72,0.2759446138447855,0.013888888888888888,-0.013700768663254601,0.019452729353244977,192.06842020563238,0,72,0.2759446138447855,0.5833072989747041,0.08401883211068496,0.7638888888888888,0.05405314957844078,0.11559330549583823,0.00019675583236946603,0.5069444444444444
starcoder2-3b,15,last_token,clean_heldout,clean,-1,72,0.21999998492479483,0.013888888888888888,0.15973585539211113,0.41401230746668316,27.09206962995286,0,72,0.291237019158109,0.013888888888888888,-0.013433780580094213,0.0253315730784591,105.01060345139317,0,72,0.2868138880671951,0.013888888888888888,-0.01321291016705287,0.029317083126482527,104.55819974311186,0,72,0.291237019158109,0.7553984227717958,0.38953240127760463,1.0,0.35143446787951066,0.42917016785811346,0.008859873603372492,0.5486111111111112
starcoder2-3b,15,last_token,encode_only,atomic,13,72,0.19013345554733724,0.013888888888888888,0.15893584812398234,0.4130584639948877,77.05226164819699,0,72,0.3011691481101359,0.013888888888888888,-0.013383700138762953,0.026288276365623926,171.3530287694455,0,72,0.30489192829773104,0.013888888888888888,-0.013209175331254926,0.029379828558444877,172.04325596409322,0,72,0.30489192829773104,0.6236093444942543,0.10578838898933411,0.9722222222222222,0.09255430427858734,0.11906789503782236,0.001502293189098087,0.4930555555555556
starcoder2-3b,15,last_token,flatten_only,atomic,14,72,0.07002636211587476,0.013888888888888888,0.01090265475516689,0.1569717104562709,17.780506089129958,0,72,0.18570456200832045,0.013888888888888888,-0.013877505109642047,0.014287298756925623,125.78143160853223,0,72,0.1888348329374821,0.013888888888888888,-0.013857327978039617,0.014967424609235792,126.29257576049582,0,72,0.1888348329374821,0.37083392415772426,0.028090781950555477,0.6805555555555556,0.014192907890033916,0.04246328522039033,0.000212496964370602,0.5138888888888888
starcoder2-3b,15,last_token,normalize,baseline,0,72,0.19271055314054394,0.013888888888888888,0.16001604191464142,0.4143458528535529,73.84320140909563,0,72,0.31695877670329,0.013888888888888888,-0.013352547057174516,0.026866221806855037,168.89962219173427,0,72,0.3184864170610607,0.013888888888888888,-0.01327369208831048,0.02827637945597488,169.43631374732593,0,72,0.3184864170610607,0.6050824864647122,0.11270144803079672,0.9444444444444444,0.0987965589026183,0.12614176420942025,0.0003544522254577819,0.5138888888888888
starcoder2-3b,15,last_token,opaque_only,atomic,12,72,0.156332239862406,0.013888888888888888,0.11425575487352135,0.3557495724214658,69.03193731998353,0,72,0.2363645260242275,0.013888888888888888,-0.013442932321845093,0.025152812176827393,183.91118299525752,0,72,0.23638760168399411,0.013888888888888888,-0.013399775252468821,0.025985026958571498,184.9918549818897,0,72,0.23638760168399411,0.6613385759181772,0.09080898291608473,0.9027777777777778,0.07679506212710079,0.10467477287437488,-0.00016924457007748157,0.5138888888888888
starcoder2-3b,15,last_token,rename_cumulative,cumulative,21,72,0.13897134933590854,0.013888888888888888,0.08667908057540469,0.3152207057684992,69.43805318366783,0,72,0.3090268074203636,0.013888888888888888,-0.013334932193019034,0.02718757229764297,169.81739996843945,0,72,0.3083655954019255,0.013888888888888888,-0.013318193593803066,0.027489456271648276,173.02789837733977,0,72,0.3090268074203636,0.44970645264075204,0.08720283798386005,0.8611111111111112,0.07119700087763729,0.10306313051134006,6.108810712614499e-05,0.5138888888888888
starcoder2-3b,15,last_token,rename_only,atomic,11,72,0.12829303217229773,0.013888888888888888,0.08571785885167577,0.3137135985627341,67.81874596574585,0,72,0.3115280393042977,0.013888888888888888,-0.01330538031118216,0.027718324741462123,169.60155015953893,0,72,0.3059923545630089,0.013888888888888888,-0.013320125351956208,0.027454786066040907,173.2038738978485,0,72,0.3115280393042977,0.4118185716406166,0.08447942370157265,0.8888888888888888,0.06764099357192065,0.10044412511793166,-0.0001513314987807055,0.4861111111111111
starcoder2-3b,15,last_token,rename_opaque,cumulative,22,72,0.07568780844625128,0.013888888888888888,0.03750457114007326,0.22554946953511606,47.096532741102514,0,72,0.2972780967949811,0.013888888888888888,-0.013405386600026816,0.02587833483558111,194.94306262928833,0,72,0.29512983378150054,0.013888888888888888,-0.01339451706856664,0.026084608097648176,195.25401476302522,0,72,0.2972780967949811,0.25460270790972417,0.05866046683307216,0.8333333333333334,0.04289327044774696,0.07349969194753085,-0.001531777864884511,0.4722222222222222
starcoder2-3b,15,last_token,rename_opaque_encode,cumulative,23,72,0.10490683230762905,0.013888888888888888,0.051209201729767895,0.2537456437177658,56.512646003738126,0,72,0.2370978295048633,0.013888888888888888,-0.013624994441588536,0.02128686170414282,191.65663931161043,0,72,0.2387061432665675,0.013888888888888888,-0.013636659845297048,0.021014925576807127,196.33928675913648,0,72,0.2387061432665675,0.4394810743956333,0.06687113649757585,0.875,0.05316939926566106,0.08119650227332216,7.69094711762311e-05,0.4930555555555556
starcoder2-3b,15,last_token,rename_opaque_encode_flatten,cumulative,24,72,0.06979835499357104,0.013888888888888888,0.009571775835207297,0.15273415922134656,17.270089561755633,0,72,0.16275065815878548,0.013888888888888888,-0.013898475441766282,0.013544291353121792,114.17908237919535,0,72,0.1619032333871568,0.013888888888888888,-0.013907681338769403,0.013204915408124657,114.37605475436264,0,72,0.16275065815878548,0.4288668063355739,0.026473630077044914,0.6805555555555556,0.014119881277456536,0.03955596585195682,-0.0012236080671568796,0.4930555555555556
starcoder2-3b,19,sink_arg,clean_heldout,clean,-1,72,0.17656523320950301,0.013888888888888888,0.12986356614413005,0.376760924715035,120.88117430612455,0,72,0.1854340353010416,0.013888888888888888,-0.013584103040798035,0.02221382330621443,166.949118001206,0,72,0.19084545685699053,0.013888888888888888,-0.013493093022482097,0.024149532835305295,175.2362218412773,0,72,0.19084545685699053,0.9251738873816192,0.35310928463224134,0.9861111111111112,0.31143694307312436,0.39625059529440937,0.0022658581675664108,0.5208333333333334
starcoder2-3b,19,sink_arg,encode_only,atomic,13,72,0.19212479999009857,0.013888888888888888,0.1379760912475765,0.3872320306170509,121.73791745505514,0,72,0.17732375497236064,0.013888888888888888,-0.013632410240019852,0.0211143950891429,168.07516707423238,0,72,0.18828679408100937,0.013888888888888888,-0.013549732834241377,0.022964032495544438,175.08849007996514,0,72,0.18828679408100937,1.0203838295076495,0.35218527774762926,0.9861111111111112,0.31272376664537305,0.3941606436354187,0.001975867697696126,0.5277777777777778
starcoder2-3b,19,sink_arg,flatten_only,atomic,14,72,0.11310217077012785,0.013888888888888888,0.006354539317566732,0.1419689075675863,125.05855083613612,0,72,0.16528993155211508,0.013888888888888888,-0.013593496118927573,0.0220043479150973,190.17904940282668,0,72,0.16553861741830458,0.013888888888888888,-0.013744024831684593,0.018323572003779442,193.65303592432625,0,72,0.16553861741830458,0.6832373770787666,0.06790174404597288,0.6527777777777778,0.0379004038632887,0.09933151538890075,0.00019896761947265,0.5694444444444444
starcoder2-3b,19,sink_arg,normalize,baseline,0,72,0.17551611971442402,0.013888888888888888,0.12903634679645096,0.3756768081769965,120.94194587695968,0,72,0.184634071861104,0.013888888888888888,-0.013587589075874297,0.02213631242906753,167.09754186849432,0,72,0.1884705021617578,0.013888888888888888,-0.013481603099399891,0.024382991551092838,174.9601764766295,0,72,0.1884705021617578,0.9312657296566468,0.35102733011762594,0.9861111111111112,0.3101015554290292,0.3942499217647775,0.002495243724045499,0.5277777777777778
starcoder2-3b,19,sink_arg,opaque_only,atomic,12,72,0.16961280101361045,0.013888888888888888,0.12620831109404598,0.3719466450625618,120.63202027741136,0,72,0.1788711630503348,0.013888888888888888,-0.013592210547486976,0.022033135125313925,167.27761057163585,0,72,0.18175098572881446,0.013888888888888888,-0.01349722059361893,0.024065113596315257,173.40563672679747,0,72,0.18175098572881446,0.9332153018783895,0.33578673931396064,0.9861111111111112,0.2988627777960427,0.37443966722527794,0.0016239002260540658,0.5208333333333334
starcoder2-3b,19,sink_arg,rename_cumulative,cumulative,21,72,0.1539645612789587,0.013888888888888888,0.1069825625396902,0.3455221881506551,138.39734455462377,0,72,0.14855033231330667,0.013888888888888888,-0.013904208171657504,0.013333968637113293,166.63715573715308,0,72,0.14949990566970295,0.013888888888888888,-0.013897767579174202,0.013570035350928124,173.74371816382316,0,72,0.14949990566970295,1.0298639359620716,0.2589730596455629,0.9722222222222222,0.22546210861855,0.29103365149226496,0.00024562258951712584,0.5208333333333334
starcoder2-3b,19,sink_arg,rename_only,atomic,11,72,0.14471046420218134,0.013888888888888888,0.09898627286251675,0.33391668482735765,137.26120491689193,0,72,0.1546446374686293,0.013888888888888888,-0.013811212120226178,0.016416429551562216,167.82819140526348,0,72,0.1517135376066395,0.013888888888888888,-0.013842139917154493,0.015459654427839234,171.301838155892,0,72,0.1546446374686293,0.9357612819360569,0.25005384734057656,1.0,0.21593204690200124,0.2824162339294256,0.0006699822024639873,0.5416666666666666
starcoder2-3b,19,sink_arg,rename_opaque,cumulative,22,72,0.15686178578664858,0.013888888888888888,0.10366640855021945,0.3407572247352126,141.336133039625,0,72,0.14845799540282184,0.013888888888888888,-0.013924328245791477,0.012567978793570122,169.12088071697522,0,72,0.1437189259500172,0.013888888888888888,-0.013779614324693148,0.017339495277635533,173.40341390586804,0,72,0.14845799540282184,1.0566071929034482,0.25322959399830847,0.9722222222222222,0.2173444575729454,0.2880617078686525,0.00026796889873944587,0.4861111111111111
starcoder2-3b,19,sink_arg,rename_opaque_encode,cumulative,23,72,0.1674672779630373,0.013888888888888888,0.11489795152573756,0.35663852222148484,142.35718070076953,0,72,0.1415062446832444,0.013888888888888888,-0.013927706532501565,0.012434738633935497,164.64242952027826,0,72,0.14258792888910332,0.013888888888888888,-0.01390978865097076,0.013125995084540758,168.76883300777004,0,72,0.14258792888910332,1.1744842587150817,0.263166675710232,0.9583333333333334,0.22716936637256915,0.2990901772622782,-0.00044229810527115436,0.5069444444444444
starcoder2-3b,19,sink_arg,rename_opaque_encode_flatten,cumulative,24,72,0.11793156855510002,0.013888888888888888,0.006571096153283489,0.14271902402210163,145.69094777390916,0,72,0.20194548547809177,0.013888888888888888,-0.013861571778918693,0.014826966656499707,185.0607300617788,0,72,0.21787707511814458,0.013888888888888888,-0.01382319458562688,0.01605251123504579,189.4143922637899,0,72,0.21787707511814458,0.5412757101276086,0.06293938266989321,0.6805555555555556,0.037151586860676135,0.08912216175774623,-7.294771332783267e-05,0.5069444444444444
starcoder2-3b,19,last_token,clean_heldout,clean,-1,72,0.220691307385301,0.013888888888888888,0.1344551378750747,0.38272260750245274,27.43329062526148,0,72,0.27550832037044465,0.013888888888888888,-0.013373978153648608,0.02646999115637817,92.1424550479344,0,72,0.2708096581239617,0.013888888888888888,-0.013156851638019574,0.030245186416971666,92.63387492298803,0,72,0.27550832037044465,0.8010331850906083,0.34484242204543475,1.0,0.313687114585991,0.3771685560670325,0.00977658822426972,0.5555555555555556
starcoder2-3b,19,last_token,encode_only,atomic,13,72,0.19337376558398092,0.013888888888888888,0.11724725977550614,0.3598718028699197,72.82824380066967,0,72,0.2723700387007972,0.013888888888888888,-0.013617079599099286,0.021469406031202752,148.48790062111877,0,72,0.27161948482551324,0.013888888888888888,-0.01343051985913362,0.025394960677244345,148.99775146471723,0,72,0.2723700387007972,0.709967096624769,0.1127250537437235,0.9027777777777778,0.09459092602475398,0.13043226157503396,0.0008561325736833325,0.5
starcoder2-3b,19,last_token,flatten_only,atomic,14,72,0.09084307966551568,0.013888888888888888,0.010926800445547225,0.15704753489672113,20.406738113940342,0,72,0.1555086599978291,0.013888888888888888,-0.013896561942675007,0.013613770637602907,124.98560856710259,0,72,0.1575193292511209,0.013888888888888888,-0.013876820012555096,0.014310921969575615,124.22082951637215,0,72,0.1575193292511209,0.5767106811424494,0.021096038847965095,0.6527777777777778,0.010004812225459327,0.03255752811110083,0.00010787284442706413,0.4791666666666667
