model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,n_pairs,taint_mean_delta_z,taint_sign_consistency,taint_permutation_p,taint_permutation_effect_size,taint_corr_model_delta,taint_lens_tracks_model,security_mean_delta_z,security_sign_consistency,security_permutation_p,security_permutation_effect_size,security_corr_model_delta,security_lens_tracks_model,mean_model_delta_margin,model_pair_separation
deepseek-coder-1.3b,logit,23,1.0,e6,rename_only,atomic,11,72,0.0013964977411702268,0.625,0.208,1.2495041058384495,0.9898160702997152,0.9583333333333334,-0.0024838171149079375,0.4166666666666667,0.188,-1.3593583597236443,0.09191065251662443,0.4583333333333333,0.007675598892900679,0.625
deepseek-coder-1.3b,logit,23,1.0,e6,opaque_only,atomic,12,72,0.004076845965571908,0.7083333333333334,0.0,4.073375131684622,0.9686232628279683,0.8472222222222222,-0.003027715383908265,0.3888888888888889,0.072,-1.8401512132276046,0.08054545342928765,0.4166666666666667,0.019710962971051533,0.7083333333333334
deepseek-coder-1.3b,logit,23,1.0,e6,encode_only,atomic,13,72,0.004766234781630987,0.7916666666666666,0.0,5.0001586542414485,0.9631103463904052,0.9305555555555556,-0.003089321218608301,0.3611111111111111,0.094,-1.768098658017736,0.1650500760204005,0.4444444444444444,0.024414063327842288,0.8055555555555556
deepseek-coder-1.3b,logit,23,1.0,e6,flatten_only,atomic,14,72,-0.0002800143426779737,0.4722222222222222,0.674,-0.4478446992984307,0.9843368980774065,0.9305555555555556,-0.0013118198789721339,0.5416666666666666,0.374,-0.950048376867191,0.23177768613957872,0.5555555555555556,-0.0006730837954415216,0.4583333333333333
deepseek-coder-1.3b,logit,23,1.0,e6,rename_cumulative,cumulative,21,72,0.0029327955739796357,0.6527777777777778,0.006,2.680197449824289,0.991634839205243,0.9583333333333334,-0.0006501373157364537,0.5,0.72,-0.39892828802306257,0.16339274420812042,0.5,0.01383208069536421,0.6666666666666666
deepseek-coder-1.3b,logit,23,1.0,e6,rename_opaque,cumulative,22,72,0.0021292336384304833,0.625,0.018,2.24346263054158,0.9940903080827962,0.9722222222222222,0.0003093381935634539,0.5138888888888888,0.856,0.28658820741984375,0.27993908859534455,0.4722222222222222,0.009438200957245298,0.6388888888888888
deepseek-coder-1.3b,logit,23,1.0,e6,rename_opaque_encode,cumulative,23,72,0.002585796885052943,0.7083333333333334,0.0,3.0549310185922103,0.9919681903379207,0.9861111111111112,-0.003803428718075905,0.4722222222222222,0.032,-1.9638158848775362,-0.0365140760115217,0.4722222222222222,0.012809739344649844,0.7222222222222222
deepseek-coder-1.3b,logit,23,1.0,e6,rename_opaque_encode_flatten,cumulative,24,72,-0.0008768756758072735,0.4583333333333333,0.288,-1.0844236848296107,0.9844906168308261,0.9444444444444444,0.00015971579773212582,0.4722222222222222,0.91,0.11077154749628383,0.04810781489762361,0.4722222222222222,-0.0038994658324453565,0.4583333333333333
deepseek-coder-1.3b,rlens,-1,,e6,clean_heldout,clean,-1,72,0.0,0.0,1.0,,,0.06944444444444445,0.0,0.0,1.0,,,0.06944444444444445,0.02170139468378491,0.7222222222222222
deepseek-coder-1.3b,rlens,-1,,e6,normalize,baseline,0,72,0.0,0.0,1.0,,,0.041666666666666664,0.0,0.0,1.0,,,0.041666666666666664,0.025065109133720398,0.7361111111111112
deepseek-coder-1.3b,rlens,-1,,e6,rename_only,atomic,11,72,0.0,0.0,1.0,,,0.027777777777777776,0.0,0.0,1.0,,,0.027777777777777776,0.007675598892900679,0.625
deepseek-coder-1.3b,rlens,-1,,e6,opaque_only,atomic,12,72,0.0,0.0,1.0,,,0.041666666666666664,0.0,0.0,1.0,,,0.041666666666666664,0.019710962971051533,0.7083333333333334
deepseek-coder-1.3b,rlens,-1,,e6,encode_only,atomic,13,72,0.0,0.0,1.0,,,0.027777777777777776,0.0,0.0,1.0,,,0.027777777777777776,0.024414063327842288,0.8055555555555556
deepseek-coder-1.3b,rlens,-1,,e6,flatten_only,atomic,14,72,0.0,0.0,1.0,,,0.041666666666666664,0.0,0.0,1.0,,,0.041666666666666664,-0.0006730837954415216,0.4583333333333333
deepseek-coder-1.3b,rlens,-1,,e6,rename_cumulative,cumulative,21,72,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,,0.0,0.01383208069536421,0.6666666666666666
deepseek-coder-1.3b,rlens,-1,,e6,rename_opaque,cumulative,22,72,0.0,0.0,1.0,,,0.013888888888888888,0.0,0.0,1.0,,,0.013888888888888888,0.009438200957245298,0.6388888888888888
deepseek-coder-1.3b,rlens,-1,,e6,rename_opaque_encode,cumulative,23,72,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,,0.0,0.012809739344649844,0.7222222222222222
deepseek-coder-1.3b,rlens,-1,,e6,rename_opaque_encode_flatten,cumulative,24,72,0.0,0.0,1.0,,,0.013888888888888888,0.0,0.0,1.0,,,0.013888888888888888,-0.0038994658324453565,0.4583333333333333
deepseek-coder-1.3b,rlens,0,0.0,e6,clean_heldout,clean,-1,72,-0.001285164673730464,0.4027777777777778,0.192,-1.315130576676999,-0.08943592666610932,0.4027777777777778,0.0009298891802658224,0.4861111111111111,0.468,0.6687953537030183,0.09222788383036083,0.5,0.02170139468378491,0.7222222222222222
deepseek-coder-1.3b,rlens,0,0.0,e6,normalize,baseline,0,72,-0.0012842471090166467,0.4583333333333333,0.228,-1.226993880977142,-0.09468363509332238,0.4583333333333333,0.0011924982851888434,0.4583333333333333,0.426,0.7602981407797176,0.08629107511439126,0.4444444444444444,0.025065109133720398,0.7361111111111112
deepseek-coder-1.3b,rlens,0,0.0,e6,rename_only,atomic,11,72,-0.0005046544264575847,0.4861111111111111,0.328,-0.9378636444842846,-0.15123693467923477,0.4583333333333333,0.0008403034043270555,0.5,0.242,1.2078296013283978,-0.1191248499945735,0.4305555555555556,0.007675598892900679,0.625
deepseek-coder-1.3b,rlens,0,0.0,e6,opaque_only,atomic,12,72,-0.0010127237974071673,0.4305555555555556,0.252,-1.1122484372330865,-0.17747972819016586,0.3611111111111111,-0.00017138541534227522,0.4722222222222222,0.886,-0.17531962881059854,0.09091378082013242,0.4166666666666667,0.019710962971051533,0.7083333333333334
deepseek-coder-1.3b,rlens,0,0.0,e6,encode_only,atomic,13,72,-0.0015252387955263745,0.375,0.156,-1.4352753378798182,-0.13011928546384988,0.375,0.000964009146834591,0.4722222222222222,0.514,0.6137970043962959,0.08738771369867333,0.4722222222222222,0.024414063327842288,0.8055555555555556
deepseek-coder-1.3b,rlens,0,0.0,e6,flatten_only,atomic,14,72,-0.00012289133122060338,0.5,0.592,-0.527984903844215,-0.06559651516638969,0.4722222222222222,-6.213688390354262e-05,0.4583333333333333,0.66,-0.3303115563582492,0.07544952154000256,0.4722222222222222,-0.0006730837954415216,0.4583333333333333
deepseek-coder-1.3b,rlens,0,0.0,e6,rename_cumulative,cumulative,21,72,-0.00032597900369336447,0.4722222222222222,0.618,-0.5601410286648844,0.06750948782404134,0.5,-0.0012956121907844824,0.4305555555555556,0.118,-1.600406409236579,-0.10500977661340706,0.4583333333333333,0.01383208069536421,0.6666666666666666
deepseek-coder-1.3b,rlens,0,0.0,e6,rename_opaque,cumulative,22,72,0.00013034409067222728,0.4166666666666667,0.81,0.35465044362924036,-0.06089291720302021,0.375,0.0003663671913018819,0.5138888888888888,0.488,0.7527089273722012,-0.0793550659834626,0.4305555555555556,0.009438200957245298,0.6388888888888888
deepseek-coder-1.3b,rlens,0,0.0,e6,rename_opaque_encode,cumulative,23,72,-0.000358447980525162,0.4305555555555556,0.674,-0.5121554514544414,-0.24323058593827043,0.5416666666666666,-0.0005389317550687562,0.5416666666666666,0.352,-0.9731876046292022,-0.14021897575626127,0.6527777777777778,0.012809739344649844,0.7222222222222222
deepseek-coder-1.3b,rlens,0,0.0,e6,rename_opaque_encode_flatten,cumulative,24,72,-0.00012966559595920738,0.5277777777777778,0.422,-0.7353376492887581,-0.015217138451216906,0.4861111111111111,-0.00027211770332273105,0.4583333333333333,0.096,-1.570663984399586,-0.01241919657205536,0.4166666666666667,-0.0038994658324453565,0.4583333333333333
deepseek-coder-1.3b,rlens,3,0.1304,e6,clean_heldout,clean,-1,72,-0.00014925584422922293,0.4861111111111111,0.91,-0.2083354156372512,-0.1282520887219934,0.4583333333333333,0.003937312168377071,0.5416666666666666,0.178,1.306269831937229,0.0014993978393862404,0.5277777777777778,0.02170139468378491,0.7222222222222222
deepseek-coder-1.3b,rlens,3,0.1304,e6,normalize,baseline,0,72,-0.00030201281492471684,0.5138888888888888,0.81,-0.2991073406729316,-0.16368785952452408,0.4305555555555556,0.004722744114444927,0.5277777777777778,0.2,1.2369686211847304,0.06259041146660754,0.5416666666666666,0.025065109133720398,0.7361111111111112
deepseek-coder-1.3b,rlens,3,0.1304,e6,rename_only,atomic,11,72,0.0008035970956756325,0.5138888888888888,0.552,0.5565916516796214,-0.004329999208826754,0.4722222222222222,0.003115745510618253,0.5694444444444444,0.094,1.6088438217929149,0.07776491111009011,0.5416666666666666,0.007675598892900679,0.625
deepseek-coder-1.3b,rlens,3,0.1304,e6,opaque_only,atomic,12,72,-0.0005258546714828215,0.4305555555555556,0.654,-0.5396676132686484,-0.2822764700508238,0.3472222222222222,0.0019469532336728384,0.5277777777777778,0.476,0.6382107218378252,0.10030857757030913,0.5416666666666666,0.019710962971051533,0.7083333333333334
deepseek-coder-1.3b,rlens,3,0.1304,e6,encode_only,atomic,13,72,5.498532064334643e-05,0.4861111111111111,0.952,-0.022770284794497813,-0.12791329779357574,0.4861111111111111,0.005207202535281264,0.5416666666666666,0.156,1.3685272687913714,0.09329153085959173,0.5694444444444444,0.024414063327842288,0.8055555555555556
deepseek-coder-1.3b,rlens,3,0.1304,e6,flatten_only,atomic,14,72,0.00021401996660752907,0.5138888888888888,0.73,0.37859855841328516,-0.17688746338129213,0.3888888888888889,0.00048692552330471047,0.5138888888888888,0.352,0.9790908331925681,0.006761898585534358,0.4444444444444444,-0.0006730837954415216,0.4583333333333333
deepseek-coder-1.3b,rlens,3,0.1304,e6,rename_cumulative,cumulative,21,72,-0.0007412494218155387,0.4027777777777778,0.646,-0.5783521018281268,0.05204878455510762,0.4861111111111111,-0.0013514246608365313,0.5,0.486,-0.6664246792431328,-0.08643045961490033,0.4444444444444444,0.01383208069536421,0.6666666666666666
deepseek-coder-1.3b,rlens,3,0.1304,e6,rename_opaque,cumulative,22,72,0.0006832261892966922,0.4861111111111111,0.532,0.6459062884997296,0.08597793746461542,0.5,0.00047666536512313965,0.5,0.696,0.4861532487444024,-0.0328925611336513,0.4166666666666667,0.009438200957245298,0.6388888888888888
deepseek-coder-1.3b,rlens,3,0.1304,e6,rename_opaque_encode,cumulative,23,72,2.2981064814615716e-05,0.4722222222222222,0.988,0.01557082602734405,-0.05874103656759545,0.5555555555555556,0.0016664675949194148,0.5694444444444444,0.314,1.0507579966365734,0.12853875229171985,0.5416666666666666,0.012809739344649844,0.7222222222222222
deepseek-coder-1.3b,rlens,3,0.1304,e6,rename_opaque_encode_flatten,cumulative,24,72,-0.00016935245657609708,0.5555555555555556,0.754,-0.3354979786490294,-0.08073416419819676,0.4305555555555556,-0.0002519965458362077,0.5,0.576,-0.496633227663062,-0.0681417474353002,0.4583333333333333,-0.0038994658324453565,0.4583333333333333
deepseek-coder-1.3b,rlens,7,0.3043,e6,clean_heldout,clean,-1,72,0.002056336381688864,0.5555555555555556,0.498,0.7032973232943952,-0.04958141523852872,0.4861111111111111,-0.0013639880568993698,0.5416666666666666,0.392,-0.8533454412954461,0.21847827404405382,0.5277777777777778,0.02170139468378491,0.7222222222222222
