example_id,layer,lens,comparison,stratum,positive_name,negative_name,distance_gap,margin,correct
synthetic_control_367930,-1,random,control_dep,indent_matched,o,y,-51,-1.3258922100067139,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,o,n,-22,0.1128624677658081,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,o,n,-22,-0.3363445997238159,False
synthetic_control_367930,-1,random,control_dep,indent_matched,o,n,-22,-1.3939143419265747,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,d,u,-51,0.059847116470336914,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,d,u,-51,-1.1461986303329468,False
synthetic_control_367930,-1,random,control_dep,indent_matched,d,u,-51,1.2132511138916016,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,d,n,-15,0.00404512882232666,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,d,n,-15,-0.9557151794433594,False
synthetic_control_367930,-1,random,control_dep,indent_matched,d,n,-15,0.6497059464454651,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,d,h,-29,0.05286145210266113,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,d,h,-29,-0.35594701766967773,False
synthetic_control_367930,-1,random,control_dep,indent_matched,d,h,-29,0.12658679485321045,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,d,c,-58,0.07527494430541992,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,d,c,-58,0.005067944526672363,True
synthetic_control_367930,-1,random,control_dep,indent_matched,d,c,-58,2.643871545791626,True
synthetic_control_367930,-1,clens,guard_var,present_in_program,r,c,0,0.05448174476623535,True
synthetic_control_367930,-1,logit,guard_var,present_in_program,r,c,0,0.9321680068969727,True
synthetic_control_367930,-1,random,guard_var,present_in_program,r,c,0,3.3082451820373535,True
synthetic_control_367930,-1,clens,next_ident,present_in_program,v,k,0,-0.006670236587524414,False
synthetic_control_367930,-1,logit,next_ident,present_in_program,v,k,0,0.3012784421443939,True
synthetic_control_367930,-1,random,next_ident,present_in_program,v,k,0,0.9806978702545166,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,n,u,-36,0.055801987648010254,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,n,u,-36,-0.1904834508895874,False
synthetic_control_367930,-1,random,control_dep,indent_matched,n,u,-36,0.5635452270507812,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,n,v,-13,-0.011307954788208008,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,n,v,-13,0.30385932326316833,True
synthetic_control_367930,-1,random,control_dep,indent_matched,n,v,-13,-0.8207957148551941,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,n,o,-6,-0.1128624677658081,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,n,o,-6,0.3363445997238159,True
synthetic_control_367930,-1,random,control_dep,indent_matched,n,o,-6,1.3939143419265747,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,n,c,-43,0.07122981548309326,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,n,c,-43,0.9607831239700317,True
synthetic_control_367930,-1,random,control_dep,indent_matched,n,c,-43,1.9941656589508057,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,w,c,-36,0.06321537494659424,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,w,c,-36,0.6461837291717529,True
synthetic_control_367930,-1,random,control_dep,indent_matched,w,c,-36,2.021346092224121,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,w,v,-6,-0.01932239532470703,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,w,v,-6,-0.010740071535110474,False
synthetic_control_367930,-1,random,control_dep,indent_matched,w,v,-6,-0.7936151027679443,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,w,d,8,-0.012059569358825684,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,w,d,8,0.6411157846450806,True
synthetic_control_367930,-1,random,control_dep,indent_matched,w,d,8,-0.6225253343582153,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,w,u,-29,0.04778754711151123,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,w,u,-29,-0.5050828456878662,False
synthetic_control_367930,-1,random,control_dep,indent_matched,w,u,-29,0.590725839138031,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,h,d,15,-0.05286145210266113,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,h,d,15,0.35594701766967773,True
synthetic_control_367930,-1,random,control_dep,indent_matched,h,d,15,-0.12658679485321045,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,h,o,8,-0.16167879104614258,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,h,o,8,-0.2634235620498657,False
synthetic_control_367930,-1,random,control_dep,indent_matched,h,o,8,1.9170334339141846,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,h,v,1,-0.06012427806854248,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,h,v,1,-0.2959088385105133,False
synthetic_control_367930,-1,random,control_dep,indent_matched,h,v,1,-0.29767656326293945,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,h,c,-29,0.02241349220275879,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,h,c,-29,0.3610149621963501,True
synthetic_control_367930,-1,random,control_dep,indent_matched,h,c,-29,2.517284870147705,True
synthetic_control_367930,-1,clens,guard_var,present_in_program,e,i,0,0.05041015148162842,True
synthetic_control_367930,-1,logit,guard_var,present_in_program,e,i,0,0.20150262117385864,True
synthetic_control_367930,-1,random,guard_var,present_in_program,e,i,0,-0.16329799592494965,False
synthetic_control_367930,-1,clens,next_ident,present_in_program,n,w,0,0.008014440536499023,True
synthetic_control_367930,-1,logit,next_ident,present_in_program,n,w,0,0.3145993947982788,True
synthetic_control_367930,-1,random,next_ident,present_in_program,n,w,0,-0.027180612087249756,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,y,d,-28,-0.06519412994384766,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,y,d,-28,0.6977832913398743,True
synthetic_control_367930,-1,random,control_dep,indent_matched,y,d,-28,-0.7177281379699707,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,y,v,-42,-0.072456955909729,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,y,v,-42,0.04592743515968323,True
synthetic_control_367930,-1,random,control_dep,indent_matched,y,v,-42,-0.8888179063796997,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,y,w,-6,-0.05313456058502197,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,y,w,-6,0.0566675066947937,True
synthetic_control_367930,-1,random,control_dep,indent_matched,y,w,-6,-0.09520280361175537,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,y,o,-35,-0.1740114688873291,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,y,o,-35,0.07841271162033081,True
synthetic_control_367930,-1,random,control_dep,indent_matched,y,o,-35,1.3258922100067139,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,u,h,8,-0.006985664367675781,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,u,h,8,0.790251612663269,True
synthetic_control_367930,-1,random,control_dep,indent_matched,u,h,8,-1.0866644382476807,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,u,o,-28,-0.16866445541381836,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,u,o,-28,0.5268280506134033,True
synthetic_control_367930,-1,random,control_dep,indent_matched,u,o,-28,0.8303691148757935,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,u,v,-35,-0.06710994243621826,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,u,v,-35,0.49434277415275574,True
synthetic_control_367930,-1,random,control_dep,indent_matched,u,v,-35,-1.3843410015106201,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,u,w,1,-0.04778754711151123,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,u,w,1,0.5050828456878662,True
synthetic_control_367930,-1,random,control_dep,indent_matched,u,w,1,-0.590725839138031,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,c,h,15,-0.02241349220275879,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,c,h,15,-0.3610149621963501,False
synthetic_control_367930,-1,random,control_dep,indent_matched,c,h,15,-2.517284870147705,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,c,v,-28,-0.08253777027130127,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,c,v,-28,-0.656923770904541,False
synthetic_control_367930,-1,random,control_dep,indent_matched,c,v,-28,-2.8149614334106445,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,c,w,8,-0.06321537494659424,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,c,w,8,-0.6461837291717529,False
synthetic_control_367930,-1,random,control_dep,indent_matched,c,w,8,-2.021346092224121,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,c,o,-21,-0.18409228324890137,False
synthetic_control_367930,-1,logit,control_dep,indent_matched,c,o,-21,-0.6244385242462158,False
synthetic_control_367930,-1,random,control_dep,indent_matched,c,o,-21,-0.6002512574195862,False
synthetic_control_367930,-1,clens,guard_var,present_in_program,k,r,0,0.03472626209259033,True
synthetic_control_367930,-1,logit,guard_var,present_in_program,k,r,0,-0.5765225887298584,False
synthetic_control_367930,-1,random,guard_var,present_in_program,k,r,0,-1.4739816188812256,False
synthetic_control_367930,-1,clens,next_ident,present_in_program,y,n,0,-0.061149001121520996,False
synthetic_control_367930,-1,logit,next_ident,present_in_program,y,n,0,-0.2579318881034851,False
synthetic_control_367930,-1,random,next_ident,present_in_program,y,n,0,-0.06802219152450562,False
synthetic_control_89708,-1,clens,control_dep,indent_matched,k,v,-15,0.006670236587524414,True
synthetic_control_89708,-1,logit,control_dep,indent_matched,k,v,-15,-0.3012784421443939,False
synthetic_control_89708,-1,random,control_dep,indent_matched,k,v,-15,-0.9806978702545166,False
synthetic_control_89708,-1,clens,guard_var,present_in_program,e,k,0,0.07193458080291748,True
synthetic_control_89708,-1,logit,guard_var,present_in_program,e,k,0,1.0600008964538574,True
synthetic_control_89708,-1,random,guard_var,present_in_program,e,k,0,-0.6326805353164673,False
synthetic_control_89708,-1,clens,next_ident,present_in_program,k,z,0,0.079262375831604,True
synthetic_control_89708,-1,logit,next_ident,present_in_program,k,z,0,-0.6235287189483643,False
synthetic_control_89708,-1,random,next_ident,present_in_program,k,z,0,-1.2814918756484985,False
synthetic_control_89708,-1,clens,control_dep,indent_matched,v,k,1,-0.006670236587524414,False
synthetic_control_89708,-1,logit,control_dep,indent_matched,v,k,1,0.3012784421443939,True
synthetic_control_89708,-1,random,control_dep,indent_matched,v,k,1,0.9806978702545166,True
synthetic_control_89708,-1,clens,guard_var,present_in_program,z,e,0,-0.15119695663452148,False
synthetic_control_89708,-1,logit,guard_var,present_in_program,z,e,0,-0.43647220730781555,False
synthetic_control_89708,-1,random,guard_var,present_in_program,z,e,0,1.9141724109649658,True
synthetic_control_89708,-1,clens,next_ident,present_in_program,v,e,0,-0.0786048173904419,False
synthetic_control_89708,-1,logit,next_ident,present_in_program,v,e,0,-0.7587224245071411,False
synthetic_control_89708,-1,random,next_ident,present_in_program,v,e,0,1.6133784055709839,True
synthetic_control_785700,-1,clens,control_dep,indent_matched,o,g,-29,0.06772744655609131,True
synthetic_control_785700,-1,logit,control_dep,indent_matched,o,g,-29,0.2578278183937073,True
synthetic_control_785700,-1,random,control_dep,indent_matched,o,g,-29,0.01154184341430664,True
synthetic_control_785700,-1,clens,control_dep,indent_matched,o,h,-36,0.16167879104614258,True
synthetic_control_785700,-1,logit,control_dep,indent_matched,o,h,-36,0.2634235620498657,True
synthetic_control_785700,-1,random,control_dep,indent_matched,o,h,-36,-1.9170334339141846,False
synthetic_control_785700,-1,clens,control_dep,indent_matched,o,l,-43,0.16278231143951416,True
synthetic_control_785700,-1,logit,control_dep,indent_matched,o,l,-43,-0.35128381848335266,False
synthetic_control_785700,-1,random,control_dep,indent_matched,o,l,-43,-1.0244029760360718,False
synthetic_control_785700,-1,clens,control_dep,indent_matched,r,l,-36,0.033171772956848145,True
synthetic_control_785700,-1,logit,control_dep,indent_matched,r,l,-36,-0.043554358184337616,False
synthetic_control_785700,-1,random,control_dep,indent_matched,r,l,-36,1.6835907697677612,True
synthetic_control_785700,-1,clens,control_dep,indent_matched,r,h,-29,0.03206825256347656,True
synthetic_control_785700,-1,logit,control_dep,indent_matched,r,h,-29,0.5711530447006226,True
synthetic_control_785700,-1,random,control_dep,indent_matched,r,h,-29,0.7909603118896484,True
synthetic_control_785700,-1,clens,control_dep,indent_matched,r,g,-22,-0.06188309192657471,False
synthetic_control_785700,-1,logit,control_dep,indent_matched,r,g,-22,0.5655572414398193,True
synthetic_control_785700,-1,random,control_dep,indent_matched,r,g,-22,2.7195355892181396,True
synthetic_control_785700,-1,clens,control_dep,indent_matched,y,h,-22,-0.012332677841186523,False
synthetic_control_785700,-1,logit,control_dep,indent_matched,y,h,-22,0.34183627367019653,True
synthetic_control_785700,-1,random,control_dep,indent_matched,y,h,-22,-0.5911413431167603,False
synthetic_control_785700,-1,clens,control_dep,indent_matched,y,l,-29,-0.011229157447814941,False
synthetic_control_785700,-1,logit,control_dep,indent_matched,y,l,-29,-0.27287110686302185,False
synthetic_control_785700,-1,random,control_dep,indent_matched,y,l,-29,0.3014891445636749,True
synthetic_control_785700,-1,clens,control_dep,indent_matched,y,g,-15,-0.10628402233123779,False
synthetic_control_785700,-1,logit,control_dep,indent_matched,y,g,-15,0.3362405300140381,True
synthetic_control_785700,-1,random,control_dep,indent_matched,y,g,-15,1.3374340534210205,True
synthetic_control_785700,-1,clens,guard_var,present_in_program,m,o,0,-0.04733848571777344,False
synthetic_control_785700,-1,logit,guard_var,present_in_program,m,o,0,0.10471448302268982,True
synthetic_control_785700,-1,random,guard_var,present_in_program,m,o,0,1.65658700466156,True
synthetic_control_785700,-1,clens,next_ident,present_in_program,o,r,0,0.12961053848266602,True
synthetic_control_785700,-1,logit,next_ident,present_in_program,o,r,0,-0.30772945284843445,False
synthetic_control_785700,-1,random,next_ident,present_in_program,o,r,0,-2.707993745803833,False
synthetic_control_785700,-1,clens,control_dep,indent_matched,g,y,1,0.10628402233123779,True
synthetic_control_785700,-1,logit,control_dep,indent_matched,g,y,1,-0.3362405300140381,False
synthetic_control_785700,-1,random,control_dep,indent_matched,g,y,1,-1.3374340534210205,False
synthetic_control_785700,-1,clens,control_dep,indent_matched,g,o,-13,-0.06772744655609131,False
synthetic_control_785700,-1,logit,control_dep,indent_matched,g,o,-13,-0.2578278183937073,False
synthetic_control_785700,-1,random,control_dep,indent_matched,g,o,-13,-0.01154184341430664,False
synthetic_control_785700,-1,clens,control_dep,indent_matched,g,r,-6,0.06188309192657471,True
synthetic_control_785700,-1,logit,control_dep,indent_matched,g,r,-6,-0.5655572414398193,False
synthetic_control_785700,-1,random,control_dep,indent_matched,g,r,-6,-2.7195355892181396,False
synthetic_control_785700,-1,clens,control_dep,indent_matched,h,o,-6,-0.16167879104614258,False
synthetic_control_785700,-1,logit,control_dep,indent_matched,h,o,-6,-0.2634235620498657,False
synthetic_control_785700,-1,random,control_dep,indent_matched,h,o,-6,1.9170334339141846,True
synthetic_control_785700,-1,clens,control_dep,indent_matched,h,y,8,0.012332677841186523,True
synthetic_control_785700,-1,logit,control_dep,indent_matched,h,y,8,-0.34183627367019653,False
synthetic_control_785700,-1,random,control_dep,indent_matched,h,y,8,0.5911413431167603,True
synthetic_control_785700,-1,clens,control_dep,indent_matched,h,r,1,-0.03206825256347656,False
synthetic_control_785700,-1,logit,control_dep,indent_matched,h,r,1,-0.5711530447006226,False
synthetic_control_785700,-1,random,control_dep,indent_matched,h,r,1,-0.7909603118896484,False
synthetic_control_785700,-1,clens,control_dep,indent_matched,l,o,1,-0.16278231143951416,False
synthetic_control_785700,-1,logit,control_dep,indent_matched,l,o,1,0.35128381848335266,True
synthetic_control_785700,-1,random,control_dep,indent_matched,l,o,1,1.0244029760360718,True
synthetic_control_785700,-1,clens,control_dep,indent_matched,l,y,15,0.011229157447814941,True
synthetic_control_785700,-1,logit,control_dep,indent_matched,l,y,15,0.27287110686302185,True
synthetic_control_785700,-1,random,control_dep,indent_matched,l,y,15,-0.3014891445636749,False
synthetic_control_785700,-1,clens,control_dep,indent_matched,l,r,8,-0.033171772956848145,False
synthetic_control_785700,-1,logit,control_dep,indent_matched,l,r,8,0.043554358184337616,True
synthetic_control_785700,-1,random,control_dep,indent_matched,l,r,8,-1.6835907697677612,False
synthetic_control_785700,-1,clens,guard_var,present_in_program,q,m,0,-0.011241793632507324,False
synthetic_control_785700,-1,logit,guard_var,present_in_program,q,m,0,-0.010127037763595581,False
synthetic_control_785700,-1,random,guard_var,present_in_program,q,m,0,0.2242366075515747,True
synthetic_control_785700,-1,clens,next_ident,present_in_program,g,r,0,0.06188309192657471,True
synthetic_control_785700,-1,logit,next_ident,present_in_program,g,r,0,-0.5655572414398193,False
synthetic_control_785700,-1,random,next_ident,present_in_program,g,r,0,-2.7195355892181396,False
synthetic_control_328115,-1,clens,control_dep,indent_matched,d,q,-22,-0.050237059593200684,False
synthetic_control_328115,-1,logit,control_dep,indent_matched,d,q,-22,-0.7139580249786377,False
synthetic_control_328115,-1,random,control_dep,indent_matched,d,q,-22,0.16279667615890503,True
synthetic_control_328115,-1,clens,control_dep,indent_matched,d,i,-29,-0.035457491874694824,False
synthetic_control_328115,-1,logit,control_dep,indent_matched,d,i,-29,-1.209075689315796,False
synthetic_control_328115,-1,random,control_dep,indent_matched,d,i,-29,1.278990626335144,True
synthetic_control_328115,-1,clens,control_dep,indent_matched,r,i,-22,-0.056250691413879395,False
synthetic_control_328115,-1,logit,control_dep,indent_matched,r,i,-22,-0.281975656747818,False
synthetic_control_328115,-1,random,control_dep,indent_matched,r,i,-22,1.943364143371582,True
synthetic_control_328115,-1,clens,control_dep,indent_matched,r,q,-15,-0.07103025913238525,False
synthetic_control_328115,-1,logit,control_dep,indent_matched,r,q,-15,0.2131420075893402,True
synthetic_control_328115,-1,random,control_dep,indent_matched,r,q,-15,0.827170193195343,True
synthetic_control_328115,-1,clens,guard_var,present_in_program,t,i,0,-0.1270378828048706,False
synthetic_control_328115,-1,logit,guard_var,present_in_program,t,i,0,-0.4180384874343872,False
synthetic_control_328115,-1,random,guard_var,present_in_program,t,i,0,-1.3924461603164673,False
synthetic_control_328115,-1,clens,next_ident,present_in_program,d,a,0,-0.03533637523651123,False
synthetic_control_328115,-1,logit,next_ident,present_in_program,d,a,0,-1.154373049736023,False
synthetic_control_328115,-1,random,next_ident,present_in_program,d,a,0,1.1831401586532593,True
synthetic_control_328115,-1,clens,control_dep,indent_matched,q,r,1,0.07103025913238525,True
synthetic_control_328115,-1,logit,control_dep,indent_matched,q,r,1,-0.2131420075893402,False
synthetic_control_328115,-1,random,control_dep,indent_matched,q,r,1,-0.827170193195343,False
synthetic_control_328115,-1,clens,control_dep,indent_matched,q,d,-6,0.050237059593200684,True
synthetic_control_328115,-1,logit,control_dep,indent_matched,q,d,-6,0.7139580249786377,True
synthetic_control_328115,-1,random,control_dep,indent_matched,q,d,-6,-0.16279667615890503,False
synthetic_control_328115,-1,clens,control_dep,indent_matched,i,d,1,0.035457491874694824,True
synthetic_control_328115,-1,logit,control_dep,indent_matched,i,d,1,1.209075689315796,True
synthetic_control_328115,-1,random,control_dep,indent_matched,i,d,1,-1.278990626335144,False
synthetic_control_328115,-1,clens,control_dep,indent_matched,i,r,8,0.056250691413879395,True
synthetic_control_328115,-1,logit,control_dep,indent_matched,i,r,8,0.281975656747818,True
synthetic_control_328115,-1,random,control_dep,indent_matched,i,r,8,-1.943364143371582,False
synthetic_control_328115,-1,clens,guard_var,present_in_program,b,d,0,0.057788729667663574,True
synthetic_control_328115,-1,logit,guard_var,present_in_program,b,d,0,0.987126350402832,True
synthetic_control_328115,-1,random,guard_var,present_in_program,b,d,0,0.08109760284423828,True
synthetic_control_328115,-1,clens,next_ident,present_in_program,q,t,0,0.14181745052337646,True
synthetic_control_328115,-1,logit,next_ident,present_in_program,q,t,0,-0.077079176902771,False
synthetic_control_328115,-1,random,next_ident,present_in_program,q,t,0,2.5086400508880615,True
synthetic_control_799760,-1,clens,control_dep,indent_matched,e,h,-29,0.13872909545898438,True
synthetic_control_799760,-1,logit,control_dep,indent_matched,e,h,-29,1.054631233215332,True
synthetic_control_799760,-1,random,control_dep,indent_matched,e,h,-29,-1.3157018423080444,False
synthetic_control_799760,-1,clens,control_dep,indent_matched,e,n,-51,0.0899127721786499,True
synthetic_control_799760,-1,logit,control_dep,indent_matched,e,n,-51,0.45486313104629517,True
synthetic_control_799760,-1,random,control_dep,indent_matched,e,n,-51,-0.7925826907157898,False
synthetic_control_799760,-1,clens,control_dep,indent_matched,e,s,-44,0.07365620136260986,True
synthetic_control_799760,-1,logit,control_dep,indent_matched,e,s,-44,0.8077557682991028,True
synthetic_control_799760,-1,random,control_dep,indent_matched,e,s,-44,-0.2085922360420227,False
synthetic_control_799760,-1,clens,control_dep,indent_matched,e,b,-22,0.028078913688659668,True
synthetic_control_799760,-1,logit,control_dep,indent_matched,e,b,-22,0.4234519600868225,True
synthetic_control_799760,-1,random,control_dep,indent_matched,e,b,-22,-1.5233862400054932,False
synthetic_control_799760,-1,clens,control_dep,indent_matched,j,h,-22,0.02849578857421875,True
synthetic_control_799760,-1,logit,control_dep,indent_matched,j,h,-22,0.2650485634803772,True
synthetic_control_799760,-1,random,control_dep,indent_matched,j,h,-22,-1.2674803733825684,False
synthetic_control_799760,-1,clens,control_dep,indent_matched,j,s,-37,-0.03657710552215576,False
synthetic_control_799760,-1,logit,control_dep,indent_matched,j,s,-37,0.018173038959503174,True
synthetic_control_799760,-1,random,control_dep,indent_matched,j,s,-37,-0.16037073731422424,False
synthetic_control_799760,-1,clens,control_dep,indent_matched,j,n,-44,-0.020320534706115723,False
synthetic_control_799760,-1,logit,control_dep,indent_matched,j,n,-44,-0.33471959829330444,False
synthetic_control_799760,-1,random,control_dep,indent_matched,j,n,-44,-0.744361162185669,False
synthetic_control_799760,-1,clens,control_dep,indent_matched,j,b,-15,-0.08215439319610596,False
synthetic_control_799760,-1,logit,control_dep,indent_matched,j,b,-15,-0.3661307692527771,False
synthetic_control_799760,-1,random,control_dep,indent_matched,j,b,-15,-1.475164771080017,False
synthetic_control_799760,-1,clens,guard_var,present_in_program,w,a,0,-0.047395944595336914,False
synthetic_control_799760,-1,logit,guard_var,present_in_program,w,a,0,-0.5132572650909424,False
synthetic_control_799760,-1,random,guard_var,present_in_program,w,a,0,0.560614824295044,True
synthetic_control_799760,-1,clens,next_ident,present_in_program,e,w,0,0.09792721271514893,True
synthetic_control_799760,-1,logit,next_ident,present_in_program,e,w,0,0.769462525844574,True
synthetic_control_799760,-1,random,next_ident,present_in_program,e,w,0,-0.8197633028030396,False
synthetic_control_799760,-1,clens,control_dep,indent_matched,b,n,-29,0.061833858489990234,True
synthetic_control_799760,-1,logit,control_dep,indent_matched,b,n,-29,0.031411170959472656,True
synthetic_control_799760,-1,random,control_dep,indent_matched,b,n,-29,0.7308035492897034,True
synthetic_control_799760,-1,clens,control_dep,indent_matched,b,s,-22,0.045577287673950195,True
synthetic_control_799760,-1,logit,control_dep,indent_matched,b,s,-22,0.3843038082122803,True
synthetic_control_799760,-1,random,control_dep,indent_matched,b,s,-22,1.3147940635681152,True
synthetic_control_799760,-1,clens,control_dep,indent_matched,b,e,-6,-0.028078913688659668,False
synthetic_control_799760,-1,logit,control_dep,indent_matched,b,e,-6,-0.4234519600868225,False
synthetic_control_799760,-1,random,control_dep,indent_matched,b,e,-6,1.5233862400054932,True
synthetic_control_799760,-1,clens,control_dep,indent_matched,b,j,1,0.08215439319610596,True
synthetic_control_799760,-1,logit,control_dep,indent_matched,b,j,1,0.3661307692527771,True
synthetic_control_799760,-1,random,control_dep,indent_matched,b,j,1,1.475164771080017,True
synthetic_control_799760,-1,clens,control_dep,indent_matched,h,j,8,-0.02849578857421875,False
synthetic_control_799760,-1,logit,control_dep,indent_matched,h,j,8,-0.2650485634803772,False
synthetic_control_799760,-1,random,control_dep,indent_matched,h,j,8,1.2674803733825684,True
synthetic_control_799760,-1,clens,control_dep,indent_matched,h,e,1,-0.13872909545898438,False
synthetic_control_799760,-1,logit,control_dep,indent_matched,h,e,1,-1.054631233215332,False
synthetic_control_799760,-1,random,control_dep,indent_matched,h,e,1,1.3157018423080444,True
