layer,lens,comparison,stratum,accuracy,mean_margin,n
15,logit,control_dep,indent_matched,0.5037128712871287,0.0008130010844457267,808
15,logit,control_dep,non_dependent,0.6238532110091743,0.7250581460261564,109
15,logit,guard_var,all,0.62,0.7087247323989868,150
15,logit,guard_var,present_in_program,0.62,0.7087247323989868,150
15,logit,next_ident,all,0.5,-0.18642791906992595,150
15,logit,next_ident,present_in_program,0.5,-0.18642791906992595,150
15,random,control_dep,all,0.49073064340239914,-0.07460858922293298,917
15,random,control_dep,indent_matched,0.49257425742574257,-0.12502884689607832,808
15,random,control_dep,non_dependent,0.47706422018348627,0.29914891719818115,109
15,random,guard_var,all,0.4666666666666667,-0.2482148019472758,150
15,random,guard_var,present_in_program,0.4666666666666667,-0.2482148019472758,150
15,random,next_ident,all,0.43333333333333335,-0.45889809985955554,150
15,random,next_ident,present_in_program,0.43333333333333335,-0.45889809985955554,150
19,clens,control_dep,all,0.4623773173391494,-0.015137428415770619,917
19,clens,control_dep,indent_matched,0.4566831683168317,-0.014496204286518663,808
19,clens,control_dep,non_dependent,0.5045871559633027,-0.019890722878482363,109
19,clens,guard_var,all,0.7133333333333334,0.06923709313074748,150
19,clens,guard_var,present_in_program,0.7133333333333334,0.06923709313074748,150
19,clens,next_ident,all,0.36666666666666664,-0.057447694937388105,150
19,clens,next_ident,present_in_program,0.36666666666666664,-0.057447694937388105,150
19,logit,control_dep,all,0.46455834242093785,-0.2658479438938257,917
19,logit,control_dep,indent_matched,0.4628712871287129,-0.2922261071455951,808
19,logit,control_dep,non_dependent,0.47706422018348627,-0.07031073373392088,109
19,logit,guard_var,all,0.6933333333333334,1.7341834525267283,150
19,logit,guard_var,present_in_program,0.6933333333333334,1.7341834525267283,150
19,logit,next_ident,all,0.41333333333333333,-0.899453150232633,150
19,logit,next_ident,present_in_program,0.41333333333333333,-0.899453150232633,150
19,random,control_dep,all,0.49073064340239914,-0.17859393650728847,917
19,random,control_dep,indent_matched,0.48267326732673266,-0.21840404283882367,808
19,random,control_dep,non_dependent,0.5504587155963303,0.11651217281271559,109
19,random,guard_var,all,0.4866666666666667,-0.42694516479969025,150
19,random,guard_var,present_in_program,0.4866666666666667,-0.42694516479969025,150
19,random,next_ident,all,0.46,-0.42429944217205046,150
19,random,next_ident,present_in_program,0.46,-0.42429944217205046,150
23,clens,control_dep,all,0.45038167938931295,-0.04194738141452993,917
23,clens,control_dep,indent_matched,0.45792079207920794,-0.03670792949229184,808
23,clens,control_dep,non_dependent,0.3944954128440367,-0.08078662135185452,109
23,clens,guard_var,all,0.5933333333333334,0.09335143094261487,150
23,clens,guard_var,present_in_program,0.5933333333333334,0.09335143094261487,150
23,clens,next_ident,all,0.3466666666666667,-0.11121363108356794,150
23,clens,next_ident,present_in_program,0.3466666666666667,-0.11121363108356794,150
23,logit,control_dep,all,0.4514721919302072,-1.845860854099985,917
23,logit,control_dep,indent_matched,0.4591584158415842,-1.6152518568652692,808
23,logit,control_dep,non_dependent,0.3944954128440367,-3.555329384060081,109
23,logit,guard_var,all,0.5933333333333334,4.107967445055643,150
23,logit,guard_var,present_in_program,0.5933333333333334,4.107967445055643,150
23,logit,next_ident,all,0.3466666666666667,-4.893099401791891,150
23,logit,next_ident,present_in_program,0.3466666666666667,-4.893099401791891,150
23,random,control_dep,all,0.4940021810250818,-0.017534745225404574,917
23,random,control_dep,indent_matched,0.49876237623762376,-0.015151774427752094,808
23,random,control_dep,non_dependent,0.45871559633027525,-0.035199336092406455,109
23,random,guard_var,all,0.5466666666666666,0.04306581795215607,150
23,random,guard_var,present_in_program,0.5466666666666666,0.04306581795215607,150
23,random,next_ident,all,0.5133333333333333,-0.05479265386859576,150
23,random,next_ident,present_in_program,0.5133333333333333,-0.05479265386859576,150
