task,layer,filler_type,filler_target,filler_tokens_mean,accuracy,n
binding,27,competing_update,200,200.0,0.8909183155758498,1971
binding,27,competing_update,500,500.0,0.8817858954845256,1971
binding,27,competing_update,1000,1003.0,0.8554033485540334,1971
binding,27,dead_code,0,0.0,0.9974632166412988,1971
binding,27,dead_code,50,50.0,0.8775510204081632,2401
binding,27,dead_code,100,100.0,0.867547304534095,2801
binding,27,dead_code,200,200.0,0.8397667314634824,3601
binding,27,dead_code,500,511.0,0.7745216342009998,5801
binding,27,dead_code,1000,1004.0,0.7078578415389631,9201
binding,27,lexical_decoy,0,0.0,0.9964485032978183,1971
binding,27,lexical_decoy,50,72.0,0.8742791234140715,2601
binding,27,lexical_decoy,100,120.0,0.8607130956347884,3001
binding,27,lexical_decoy,200,216.0,0.826624572480926,3801
binding,27,lexical_decoy,500,520.0,0.7653724379270122,6001
binding,27,lexical_decoy,1000,1024.0,0.7302364337048224,9601
binding,27,scope_shadow,0,0.0,0.9974632166412988,1971
binding,27,scope_shadow,50,60.0,0.7943818077584559,5233
binding,27,scope_shadow,100,105.0,0.6905858412766414,9337
binding,27,scope_shadow,200,201.0,0.5933683969814773,21865
binding,27,scope_shadow,500,507.0,0.48933612739205823,94009
binding,27,scope_shadow,1000,1000.0,0.4070362934169436,319259
binding,29,comment_prose,0,0.0,0.9959328927300457,1967
binding,29,comment_prose,50,56.0,0.9470198675496688,1963
binding,29,comment_prose,100,112.0,0.9618514750762971,1966
binding,29,comment_prose,200,224.0,0.9526958290946084,1966
binding,29,comment_prose,500,512.0,0.9333333333333333,1965
binding,29,comment_prose,1000,1005.0,0.9374364191251272,1966
binding,29,competing_update,0,0.0,0.9964485032978183,1971
binding,29,competing_update,50,50.0,0.8767477990678405,1931
binding,29,competing_update,100,104.0,0.8711314053779807,1971
binding,29,competing_update,200,200.0,0.8493150684931506,1971
binding,29,competing_update,500,500.0,0.8533739218670725,1971
binding,29,competing_update,1000,1003.0,0.8533739218670725,1971
binding,29,dead_code,0,0.0,0.9964485032978183,1971
binding,29,dead_code,50,50.0,0.8354852144939608,2401
binding,29,dead_code,100,100.0,0.8418421992145663,2801
binding,29,dead_code,200,200.0,0.793390724798667,3601
binding,29,dead_code,500,511.0,0.7122909843130495,5801
binding,29,dead_code,1000,1004.0,0.6451472666014564,9201
binding,29,lexical_decoy,0,0.0,0.9964485032978183,1971
binding,29,lexical_decoy,50,72.0,0.8500576701268743,2601
binding,29,lexical_decoy,100,120.0,0.842052649116961,3001
binding,29,lexical_decoy,200,216.0,0.7966324651407525,3801
binding,29,lexical_decoy,500,520.0,0.7385435760706549,6001
binding,29,lexical_decoy,1000,1024.0,0.6769086553484012,9601
binding,29,scope_shadow,0,0.0,0.9959411466260781,1971
binding,29,scope_shadow,50,60.0,0.7563539078922225,5233
binding,29,scope_shadow,100,105.0,0.6704508942915284,9337
binding,29,scope_shadow,200,201.0,0.5785044591813401,21865
binding,29,scope_shadow,500,507.0,0.473231286366199,94009
binding,29,scope_shadow,1000,1000.0,0.39871076461431,319259
defuse_edge,-1,comment_prose,0,0.0,0.797676008202324,1463
defuse_edge,-1,comment_prose,50,56.0,0.7147790055248618,1448
defuse_edge,-1,comment_prose,100,112.0,0.7140883977900553,1448
defuse_edge,-1,comment_prose,200,224.0,0.7203038674033149,1448
defuse_edge,-1,comment_prose,500,512.0,0.7120165745856354,1448
defuse_edge,-1,comment_prose,1000,1005.0,0.7238754325259515,1445
defuse_edge,-1,competing_update,0,0.0,0.7956254272043746,1463
defuse_edge,-1,competing_update,50,50.0,0.7880986937590712,1378
defuse_edge,-1,competing_update,100,104.0,0.8304853041695147,1463
defuse_edge,-1,competing_update,200,200.0,0.8318523581681476,1463
defuse_edge,-1,competing_update,500,500.0,0.8318523581681476,1463
defuse_edge,-1,competing_update,1000,1003.0,0.7853441894892672,1351
defuse_edge,-1,dead_code,0,0.0,0.7901572112098428,1463
defuse_edge,-1,dead_code,50,50.0,0.7990629880270692,1921
defuse_edge,-1,dead_code,100,100.0,0.827181936604429,2303
defuse_edge,-1,dead_code,200,200.0,0.7306562193927522,3063
defuse_edge,-1,dead_code,500,511.0,0.5547829355384326,5321
defuse_edge,-1,dead_code,1000,1004.0,0.4936360509115927,8721
defuse_edge,-1,lexical_decoy,0,0.0,0.7915242652084757,1463
defuse_edge,-1,lexical_decoy,50,72.0,0.7842565597667639,2058
defuse_edge,-1,lexical_decoy,100,120.0,0.7596193628465039,2417
defuse_edge,-1,lexical_decoy,200,216.0,0.6663417803768681,3078
defuse_edge,-1,lexical_decoy,500,520.0,0.5277828718136806,5453
defuse_edge,-1,lexical_decoy,1000,1024.0,0.47642624057612243,8887
defuse_edge,-1,scope_shadow,0,0.0,0.8009575923392613,1462
defuse_edge,-1,scope_shadow,50,60.0,0.4865174985656913,3486
defuse_edge,-1,scope_shadow,100,105.0,0.3834782608695652,5750
defuse_edge,-1,scope_shadow,200,201.0,0.2522873736971915,12569
defuse_edge,-1,scope_shadow,500,507.0,0.1187008303113172,50463
