model,base_id,condition,layer,target_token,target,condition_kind,condition_order,rho_unsafe,rho_safe,score_unsafe,score_safe,n_tokens_unsafe,n_tokens_safe,frac_source_expr_unsafe,frac_source_expr_safe,delta_frac_source_expr,ntok_source_expr_match,frac_trusted_expr_unsafe,frac_trusted_expr_safe,delta_frac_trusted_expr,ntok_trusted_expr_match,frac_sink_arg_unsafe,frac_sink_arg_safe,delta_frac_sink_arg,ntok_sink_arg_match,frac_sink_call_unsafe,frac_sink_call_safe,delta_frac_sink_call,ntok_sink_call_match,frac_taint_chain_unsafe,frac_taint_chain_safe,delta_frac_taint_chain,ntok_taint_chain_match,frac_trust_chain_unsafe,frac_trust_chain_safe,delta_frac_trust_chain,ntok_trust_chain_match,frac_signature_unsafe,frac_signature_safe,delta_frac_signature,ntok_signature_match,frac_other_unsafe,frac_other_safe,delta_frac_other,ntok_other_match,delta_total,delta_token_identical_roles
deepseek-coder-6.7b,dynamic_exec_branch_merge_12,clean_heldout,3,5723, safe,clean,-1,1.000000154569279,0.9999994398420718,79.8590087890625,77.30790710449219,94,94,0.03203965850346568,0.051013550665970374,-0.018973892162504696,1,0.02342811696603607,0.028404215382658887,-0.004976098416622818,1,0.02231750325012055,0.012462976464257227,0.009854526785863325,1,0.10807900607894315,0.10809959491984625,-2.0588840903099093e-05,1,0.07033506576192071,0.0524723944448722,0.01786267131704851,1,0.06035909018948511,0.0347868159076615,0.025572274281823612,1,0.3510173189692069,0.3587341114818958,-0.007716792512688919,1,0.33242439485010106,0.35402578057490947,-0.02160138572480841,1,7.147272075049005e-07,0.011747573666152589
deepseek-coder-6.7b,dynamic_exec_branch_merge_12,clean_heldout,3,24281, vulnerable,clean,-1,1.000000065495163,0.9999999943833644,183.0077362060547,207.10296630859375,94,94,0.013239544074504582,0.024460068798488874,-0.011220524723984292,1,0.03911997167485541,0.0220002357386058,0.01711973593624961,1,0.013197980864343636,0.01124577729732754,0.0019522035670160968,1,0.05304241229902294,0.058701569257590604,-0.005659156958567661,1,0.03885850586422378,0.0334242380485621,0.005434267815661677,1,0.0375732817492248,0.030611886770237778,0.006961394978987023,1,0.3211698716846367,0.3256952357719908,-0.0045253640873541,1,0.48379849728435126,0.4938609827005608,-0.010062485416209521,1,7.11117988314025e-08,0.008110352960992256
deepseek-coder-6.7b,dynamic_exec_branch_merge_12,clean_heldout,7,5723, safe,clean,-1,1.0000001759342192,0.9999995093769242,79.8590087890625,77.30790710449219,94,94,0.08110038160283761,0.07642540215543016,0.004674979447407454,1,0.02921417451143736,0.03314369807212404,-0.003929523560686682,1,0.0195306312564009,0.008054731090979662,0.011475900165421238,1,0.15325474956244603,0.1593451338027349,-0.006090384240288876,1,0.04927872707857246,0.055034553989321125,-0.005755826910748663,1,0.06865513537333719,0.017074649806524143,0.05158048556681304,1,0.2855111662545093,0.29219191183458604,-0.006680745580076752,1,0.3134552102946784,0.35872942862522417,-0.04527421833054579,1,6.66557294970449e-07,0.033798984722419524
deepseek-coder-6.7b,dynamic_exec_branch_merge_12,clean_heldout,7,24281, vulnerable,clean,-1,1.0000001556209859,0.9999999884519454,183.0077362060547,207.10296630859375,94,94,0.03597518368788716,0.04618612896890449,-0.010210945281017333,1,0.05002016872404083,0.02550157241333937,0.02451859631070146,1,0.010970275062048743,0.007109457815021146,0.003860817247027597,1,0.06627250836800809,0.07143718842557117,-0.005164680057563084,1,0.030874503436130907,0.03392751759534995,-0.0030530141592190405,1,0.04242454090860579,0.028899281234688927,0.013525259673916865,1,0.27185575567886444,0.2834607428882978,-0.01160498720943337,1,0.49160721975539984,0.5034780991107723,-0.01187087935537251,1,1.6716904058244886e-07,0.008010229277385497
deepseek-coder-6.7b,dynamic_exec_branch_merge_12,clean_heldout,11,5723, safe,clean,-1,1.0000003060597673,0.9999994921016334,79.8590087890625,77.30790710449219,94,94,0.11952983515580815,0.12282437580875152,-0.0032945406529433785,1,0.014728166325952158,0.011950691908537776,0.002777474417414383,1,0.014849170164073187,-0.010928017971184366,0.025777188135257555,1,0.1608923070869414,0.16112469711292973,-0.0002323900259883216,1,0.035129303445698756,0.06360022081408663,-0.028470917368387874,1,0.09160390517970045,0.052335678637213216,0.03926822654248723,1,0.17635978496801463,0.18456525259866324,-0.00820546763064861,1,0.38690783373357873,0.4145265931926357,-0.027618759459056952,1,8.139581340327329e-07,0.00184238528193343
deepseek-coder-6.7b,dynamic_exec_branch_merge_12,clean_heldout,11,24281, vulnerable,clean,-1,1.0000002531665404,1.0000000546104266,183.0077362060547,207.10296630859375,94,94,0.07756287534031185,0.07366879436755398,0.0038940809727578685,1,0.028200264191630776,0.020229484920499884,0.007970779271130893,1,0.003909632502025039,0.00956376601215123,-0.00565413351012619,1,0.07264675013778188,0.071671700275415,0.000975049862366878,1,0.028107433698530863,0.043498025764724405,-0.015390592066193542,1,0.051647700179371786,0.034281048517025445,0.01736665166234634,1,0.17143827243051396,0.19044988314088207,-0.01901161071036811,1,0.5664873246863743,0.5566373516121746,0.009849973074199658,1,1.9855611379723803e-07,-0.004195641007959671
deepseek-coder-6.7b,dynamic_exec_branch_merge_12,clean_heldout,15,5723, safe,clean,-1,1.0000003113077056,0.9999994527081879,79.8590087890625,77.30790710449219,94,94,0.06699496466235139,0.06944468200980948,-0.002449717347458094,1,0.0052060962343787025,0.011862586721053604,-0.006656490486674901,1,0.013869246744378673,0.024347030131397697,-0.010477783387019024,1,0.11736858363634105,0.11580321924311515,0.001565364393225896,1,0.020856995836631805,0.03821928173470196,-0.017362285898070155,1,0.054702669760703114,0.030164428608369976,0.024538241152333138,1,0.12010373934298119,0.12142546295288853,-0.0013217236099073437,1,0.6008980150899397,0.5887327613068515,0.012165253783088192,1,8.585995177091965e-07,-0.0016866117965514578
deepseek-coder-6.7b,dynamic_exec_branch_merge_12,clean_heldout,15,24281, vulnerable,clean,-1,1.0000002130450278,1.0000000715907438,183.0077362060547,207.10296630859375,94,94,0.04325933625275616,0.03989689353588683,0.003362442716869328,1,0.015149013886747987,0.012664843641354749,0.002484170245393238,1,0.017461311022935577,0.018668153144731706,-0.0012068421217961284,1,0.034969704793475186,0.035085215649451655,-0.00011551085597646948,1,0.025631616666411318,0.0347200365540179,-0.009088419887606579,1,0.04697008175574651,0.026284334075277256,0.020685747680469255,1,0.10168563131378663,0.12439407292533912,-0.022708441611552485,1,0.7148735173531685,0.7082865220646846,0.006586995288483943,1,1.4145428410203276e-07,-0.005380011712403713
deepseek-coder-6.7b,dynamic_exec_branch_merge_12,clean_heldout,19,5723, safe,clean,-1,1.0000002753651587,0.9999995473006447,79.8590087890625,77.30790710449219,94,94,0.04922578746206631,0.0551342558843212,-0.005908468422254891,1,0.016295404771165478,0.015274719651358269,0.0010206851198072096,1,-0.0026460674507847314,0.011101823105254052,-0.013747890556038783,1,0.018927862288483734,0.025177963038747444,-0.00625010075026371,1,0.022445341116891462,0.024586948068174967,-0.002141606951283504,1,0.04194861109191273,0.04103208668960284,0.0009165244023098887,1,0.0688464777263052,0.07353045924060057,-0.004683981514295374,1,0.7849568583591187,0.7541612916225854,0.030795566736533275,1,7.280645141112541e-07,-0.01704694811598038
deepseek-coder-6.7b,dynamic_exec_branch_merge_12,clean_heldout,19,24281, vulnerable,clean,-1,1.0000002552937337,0.9999999766880392,183.0077362060547,207.10296630859375,94,94,0.02968683134883661,0.025999418933188842,0.0036874124156477672,1,0.01922531987426479,0.015731549592152932,0.0034937702821118584,1,0.004675641701231991,0.006489110781660981,-0.0018134690804289897,1,0.008364110991377065,0.007573480163766237,0.0007906308276108276,1,0.02353767684178514,0.027797659994303826,-0.004259983152518687,1,0.02259652966805538,0.024312376410632643,-0.0017158467425772636,1,0.053501534634215184,0.07440473728398735,-0.020903202649772162,1,0.8384126102339676,0.8176916435283466,0.02072096670562107,1,2.7860569441762184e-07,-0.01890721901949766
