model,condition,condition_kind,condition_order,layer,target_token,target,ast_role,token_identical,n_pairs,mean_delta_frac,sign_consistency,n_nonzero,degenerate,median_delta_frac,sign_test_p,permutation_p,permutation_effect_size,mean_frac_unsafe,mean_frac_safe,token_count_matched_frac,median_abs_rho_minus_one
deepseek-coder-6.7b,clean_heldout,clean,-1,15,5723, safe,sink_call,1,72,-0.014956187634626576,0.4861111111111111,72,0,-0.0014001243009046302,0.906294324703081,0.028,-2.065587183119443,0.09294582353557629,0.10790201117020286,1.0,3.2815276029829477e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,5723, safe,source_expr,1,72,-0.002532460531045075,0.4027777777777778,72,0,-0.006634230650723955,0.12491820036864004,0.47,-0.7621657331529822,0.0928877730571846,0.09542023358822968,1.0,3.2815276029829477e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,5723, safe,taint_chain,1,72,-0.015107039206565432,0.1388888888888889,72,0,-0.01289586535571877,2.6890686575861277e-10,0.0,-5.783397506820824,0.039530037210031226,0.05463707641659665,1.0,3.2815276029829477e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,5723, safe,trust_chain,1,72,0.010738747716445682,0.7222222222222222,72,0,0.005407219143106762,0.00020771603022674048,0.0,4.638767565527772,0.04646673579433436,0.03572798807788868,1.0,3.2815276029829477e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,5723, safe,trusted_expr,1,72,-0.007771129901995916,0.25,72,0,-0.004918783722635581,2.568720337924735e-05,0.0,-4.077446095595044,0.04080550454466811,0.04857663444666403,1.0,3.2815276029829477e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,24281, vulnerable,other,0,72,0.005574943615440349,0.5694444444444444,72,0,0.004966478581528433,0.2887842804141049,0.14,1.4830581210890115,0.6667072666723796,0.6611323230569391,1.0,1.3873076787351835e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,24281, vulnerable,signature,1,72,0.0032967264757209603,0.625,72,0,0.003321751392393421,0.04437092000802569,0.0,2.6547814995341814,0.10868352467943006,0.10538679820370911,1.0,1.3873076787351835e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,24281, vulnerable,sink_arg,0,72,-0.0006043196782570191,0.4583333333333333,72,0,-0.0011520601243379634,0.555997717760971,0.742,-0.3617249931062652,0.01809474422325637,0.018699063901513394,0.6111111111111112,1.3873076787351835e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,24281, vulnerable,sink_call,1,72,-0.004124347570101449,0.5277777777777778,72,0,0.0007124560817522302,0.7239481457469141,0.126,-1.4792575560423502,0.06611023905503315,0.0702345866251346,1.0,1.3873076787351835e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,24281, vulnerable,source_expr,1,72,-0.002518896051044208,0.3472222222222222,72,0,-0.0030431705028952823,0.012774595538064901,0.064,-1.8562272094852592,0.051874227959113575,0.054393124010157785,1.0,1.3873076787351835e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,24281, vulnerable,taint_chain,1,72,-0.009852287328875572,0.19444444444444445,72,0,-0.009068417049042203,1.6464300115968573e-07,0.0,-5.53442559148055,0.025426236088742997,0.03527852341761858,1.0,1.3873076787351835e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,24281, vulnerable,trust_chain,1,72,0.008951793026125962,0.7638888888888888,72,0,0.0076588530224350315,8.14003082672391e-06,0.0,5.623283017152466,0.0351586439223889,0.026206850896262932,1.0,1.3873076787351835e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,15,24281, vulnerable,trusted_expr,1,72,-0.0007236076168677303,0.4861111111111111,72,0,-0.00012906603765527793,0.906294324703081,0.206,-1.284544854328025,0.027945249739238485,0.028668857356106216,1.0,1.3873076787351835e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,5723, safe,other,0,72,0.010752775768416902,0.5416666666666666,72,0,0.0061993571218273424,0.555997717760971,0.086,1.6255803656688257,0.6723871083929599,0.6616343326245431,1.0,3.2298985097600763e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,5723, safe,signature,1,72,0.0010837573917961741,0.5138888888888888,72,0,0.0004421865566734441,0.906294324703081,0.5,0.7060425306987286,0.07386304700970556,0.07277928961790939,1.0,3.2298985097600763e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,5723, safe,sink_arg,0,72,-0.002018105789774946,0.4166666666666667,72,0,-0.004832074164342663,0.1945051658673991,0.272,-1.1878844089860967,0.021880781801195053,0.02389888759097,0.6111111111111112,3.2298985097600763e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,5723, safe,sink_call,1,72,-0.0023263823411094706,0.4583333333333333,72,0,-0.0019645814529727808,0.555997717760971,0.59,-0.46033704293602606,0.04352179450124954,0.045848176842359006,1.0,3.2298985097600763e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,5723, safe,source_expr,1,72,-0.004277350504944255,0.25,72,0,-0.005756180474765751,2.568720337924735e-05,0.03,-2.1122863885470715,0.06620451661643564,0.0704818671213799,1.0,3.2298985097600763e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,5723, safe,taint_chain,1,72,-0.002380608092458573,0.4027777777777778,72,0,-0.0020269576181308983,0.12491820036864004,0.068,-1.7198965476800931,0.0433448220701204,0.045725430162578976,1.0,3.2298985097600763e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,5723, safe,trust_chain,1,72,0.002416697161302435,0.5694444444444444,72,0,0.0009403398594828565,0.2887842804141049,0.046,1.9145544999096373,0.0411041180771961,0.03868742091589366,1.0,3.2298985097600763e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,5723, safe,trusted_expr,1,72,-0.0032507775319173993,0.4861111111111111,72,0,-0.0004166091995648439,0.906294324703081,0.01,-2.4993505806582257,0.037694109753148575,0.040944887285065984,1.0,3.2298985097600763e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,24281, vulnerable,other,0,72,-0.0005821842639348395,0.5138888888888888,72,0,0.001529272215665678,0.906294324703081,0.872,-0.1824106691039612,0.7713845994613409,0.7719667837252755,1.0,1.4192538444479652e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,24281, vulnerable,signature,1,72,0.002744539196720071,0.5833333333333334,72,0,0.002046321834485311,0.1945051658673991,0.01,2.5795474836925694,0.06017655859346246,0.05743201939674239,1.0,1.4192538444479652e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,24281, vulnerable,sink_arg,0,72,-0.0017313207770023812,0.4583333333333333,72,0,-0.0014710730613940693,0.555997717760971,0.246,-1.2120071229785374,0.012197381258239014,0.013928702035241393,0.6111111111111112,1.4192538444479652e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,24281, vulnerable,sink_call,1,72,-0.0014820326050592905,0.5138888888888888,72,0,0.0003500624753166176,0.906294324703081,0.462,-0.7388412994393835,0.06181502538333631,0.06329705798839562,1.0,1.4192538444479652e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,24281, vulnerable,source_expr,1,72,-0.0001366571819738991,0.3888888888888889,72,0,-0.0005880300133067878,0.07636915467183139,0.724,-0.34830630803711704,0.030338383823875263,0.030475041005849166,1.0,1.4192538444479652e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,24281, vulnerable,taint_chain,1,72,-0.0002124300051694585,0.4861111111111111,72,0,-0.00014839288636555128,0.906294324703081,0.724,-0.3614417370448142,0.0214363229504051,0.021648752955574557,1.0,1.4192538444479652e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,24281, vulnerable,trust_chain,1,72,0.0010486270423348345,0.6111111111111112,72,0,0.0011303354826529104,0.07636915467183139,0.116,1.5888448515074587,0.021350992384894397,0.020302365342559567,1.0,1.4192538444479652e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,19,24281, vulnerable,trusted_expr,1,72,0.00035147174420834806,0.5694444444444444,72,0,0.00044408286534371524,0.2887842804141049,0.146,1.442014380767693,0.021300869163574394,0.02094939741936604,1.0,1.4192538444479652e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,23,5723, safe,other,0,72,0.011459520700209678,0.5277777777777778,72,0,0.005443586341401185,0.7239481457469141,0.154,1.422293249999786,0.65174735227747,0.6402878315772603,1.0,3.1618098472740996e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,23,5723, safe,signature,1,72,0.000951582442753864,0.5277777777777778,72,0,0.0007951781295331486,0.7239481457469141,0.58,0.5656654826851057,0.0766660909068157,0.07571450846406183,1.0,3.1618098472740996e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,23,5723, safe,sink_arg,0,72,-0.00225974836510791,0.4166666666666667,72,0,-0.002924128053296924,0.1945051658673991,0.196,-1.403158755632511,0.02575290453575823,0.028012652900866138,0.6111111111111112,3.1618098472740996e-07
