lens,layer,relative_depth,site,condition,sign_consistency_z,permutation_p,displacement,control_displacement,specificity,beats_random_lens
clens,3,0.0968,last_token,flatten_only,0.4861111111111111,0.786,0.013888888888888895,0.02777777777777779,0.5,False
clens,3,0.0968,last_token,normalize,0.6527777777777778,0.0,0.1527777777777778,0.18055555555555558,0.8461538461538461,False
clens,3,0.0968,last_token,opaque_only,0.6111111111111112,0.0,0.11111111111111116,0.18055555555555558,0.6153846153846155,False
clens,3,0.0968,last_token,rename_cumulative,0.5416666666666666,0.018,0.04166666666666663,0.06944444444444442,0.5999999999999996,False
clens,3,0.0968,last_token,rename_only,0.5138888888888888,0.008,0.01388888888888884,0.09722222222222221,0.14285714285714238,False
clens,3,0.0968,last_token,rename_opaque,0.5833333333333334,0.056,0.08333333333333337,0.08333333333333331,1.0000000000000007,True
clens,3,0.0968,last_token,rename_opaque_encode,0.5138888888888888,0.63,0.01388888888888884,0.16666666666666663,0.08333333333333305,False
clens,3,0.0968,last_token,rename_opaque_encode_flatten,0.5,0.996,0.0,0.05555555555555558,0.0,False
clens,7,0.2258,last_token,clean_heldout,0.3888888888888889,0.004,0.1111111111111111,0.1527777777777778,0.7272727272727272,False
clens,7,0.2258,last_token,encode_only,0.5,0.874,0.0,0.05555555555555558,0.0,False
clens,7,0.2258,last_token,flatten_only,0.3611111111111111,0.014,0.1388888888888889,0.04166666666666663,3.3333333333333366,True
clens,7,0.2258,last_token,normalize,0.5694444444444444,0.688,0.06944444444444442,0.04166666666666663,1.6666666666666676,True
clens,7,0.2258,last_token,opaque_only,0.4722222222222222,0.746,0.02777777777777779,0.05555555555555558,0.5,False
clens,7,0.2258,last_token,rename_cumulative,0.3888888888888889,0.078,0.1111111111111111,0.04166666666666663,2.6666666666666687,True
clens,7,0.2258,last_token,rename_only,0.4861111111111111,0.172,0.013888888888888895,0.05555555555555558,0.25,False
clens,7,0.2258,last_token,rename_opaque,0.5555555555555556,0.866,0.05555555555555558,0.09722222222222221,0.5714285714285717,False
clens,7,0.2258,last_token,rename_opaque_encode,0.4583333333333333,0.048,0.041666666666666685,0.09722222222222221,0.4285714285714288,False
clens,7,0.2258,last_token,rename_opaque_encode_flatten,0.5694444444444444,0.344,0.06944444444444442,0.02777777777777779,2.4999999999999982,True
clens,11,0.3548,last_token,clean_heldout,0.5833333333333334,0.042,0.08333333333333337,0.3472222222222222,0.2400000000000001,False
clens,11,0.3548,last_token,encode_only,0.6388888888888888,0.002,0.13888888888888884,0.4305555555555556,0.3225806451612902,False
clens,11,0.3548,last_token,flatten_only,0.5833333333333334,0.186,0.08333333333333337,0.08333333333333331,1.0000000000000007,True
clens,11,0.3548,last_token,normalize,0.6805555555555556,0.01,0.18055555555555558,0.4305555555555556,0.41935483870967744,False
clens,11,0.3548,last_token,opaque_only,0.6666666666666666,0.124,0.16666666666666663,0.41666666666666663,0.39999999999999997,False
clens,11,0.3548,last_token,rename_cumulative,0.6111111111111112,0.196,0.11111111111111116,0.25,0.44444444444444464,False
clens,11,0.3548,last_token,rename_only,0.5972222222222222,0.056,0.09722222222222221,0.23611111111111116,0.4117647058823528,False
clens,11,0.3548,last_token,rename_opaque,0.5138888888888888,0.602,0.01388888888888884,0.29166666666666663,0.04761904761904746,False
clens,11,0.3548,last_token,rename_opaque_encode,0.4583333333333333,0.22,0.041666666666666685,0.20833333333333337,0.20000000000000007,False
clens,11,0.3548,last_token,rename_opaque_encode_flatten,0.5555555555555556,0.234,0.05555555555555558,0.16666666666666669,0.3333333333333334,False
clens,15,0.4839,last_token,clean_heldout,0.5416666666666666,0.684,0.04166666666666663,0.041666666666666685,0.9999999999999987,False
clens,15,0.4839,last_token,encode_only,0.5972222222222222,0.014,0.09722222222222221,0.25,0.38888888888888884,False
clens,15,0.4839,last_token,flatten_only,0.4861111111111111,0.57,0.013888888888888895,0.09722222222222221,0.14285714285714293,False
clens,15,0.4839,last_token,normalize,0.7638888888888888,0.0,0.26388888888888884,0.2222222222222222,1.1874999999999998,True
clens,15,0.4839,last_token,opaque_only,0.6944444444444444,0.006,0.19444444444444442,0.29166666666666663,0.6666666666666666,False
clens,15,0.4839,last_token,rename_cumulative,0.6805555555555556,0.01,0.18055555555555558,0.16666666666666663,1.0833333333333337,True
clens,15,0.4839,last_token,rename_only,0.6388888888888888,0.022,0.13888888888888884,0.13888888888888884,1.0,False
clens,15,0.4839,last_token,rename_opaque,0.4444444444444444,0.756,0.05555555555555558,0.06944444444444442,0.8000000000000006,False
clens,15,0.4839,last_token,rename_opaque_encode,0.5138888888888888,0.096,0.01388888888888884,0.13888888888888884,0.09999999999999969,False
clens,15,0.4839,last_token,rename_opaque_encode_flatten,0.5138888888888888,0.154,0.01388888888888884,0.06944444444444442,0.19999999999999937,False
clens,19,0.6129,last_token,clean_heldout,0.2916666666666667,0.004,0.20833333333333331,0.18055555555555558,1.1538461538461535,True
clens,19,0.6129,last_token,encode_only,0.5416666666666666,0.784,0.04166666666666663,0.16666666666666663,0.24999999999999983,False
clens,19,0.6129,last_token,flatten_only,0.5972222222222222,0.304,0.09722222222222221,0.08333333333333331,1.1666666666666667,True
clens,19,0.6129,last_token,normalize,0.5555555555555556,0.978,0.05555555555555558,0.20833333333333337,0.2666666666666667,False
clens,19,0.6129,last_token,opaque_only,0.5694444444444444,0.372,0.06944444444444442,0.09722222222222221,0.7142857142857141,False
clens,19,0.6129,last_token,rename_cumulative,0.5138888888888888,0.378,0.01388888888888884,0.06944444444444442,0.19999999999999937,False
clens,19,0.6129,last_token,rename_only,0.4861111111111111,0.06,0.013888888888888895,0.11111111111111116,0.125,False
clens,19,0.6129,last_token,rename_opaque,0.3888888888888889,0.05,0.1111111111111111,0.1527777777777778,0.7272727272727272,False
clens,19,0.6129,last_token,rename_opaque_encode,0.4722222222222222,0.702,0.02777777777777779,0.19444444444444442,0.14285714285714293,False
clens,19,0.6129,last_token,rename_opaque_encode_flatten,0.5277777777777778,0.748,0.02777777777777779,0.09722222222222221,0.28571428571428586,False
clens,23,0.7419,last_token,clean_heldout,0.4166666666666667,0.1,0.08333333333333331,0.4027777777777778,0.20689655172413787,False
clens,23,0.7419,last_token,encode_only,0.5833333333333334,0.248,0.08333333333333337,0.06944444444444442,1.200000000000001,True
clens,23,0.7419,last_token,flatten_only,0.5555555555555556,0.426,0.05555555555555558,0.02777777777777779,2.0,True
clens,23,0.7419,last_token,normalize,0.625,0.026,0.125,0.02777777777777779,4.499999999999998,True
clens,23,0.7419,last_token,opaque_only,0.6388888888888888,0.024,0.13888888888888884,0.041666666666666685,3.333333333333331,True
clens,23,0.7419,last_token,rename_cumulative,0.5694444444444444,0.154,0.06944444444444442,0.1527777777777778,0.45454545454545436,False
clens,23,0.7419,last_token,rename_only,0.5,0.642,0.0,0.1111111111111111,0.0,False
clens,23,0.7419,last_token,rename_opaque,0.4583333333333333,0.564,0.041666666666666685,0.1527777777777778,0.2727272727272728,False
clens,23,0.7419,last_token,rename_opaque_encode,0.5555555555555556,0.348,0.05555555555555558,0.05555555555555558,1.0,False
clens,23,0.7419,last_token,rename_opaque_encode_flatten,0.5555555555555556,0.696,0.05555555555555558,0.1111111111111111,0.5000000000000002,False
clens,27,0.871,last_token,clean_heldout,0.375,0.034,0.125,0.3472222222222222,0.36,False
clens,27,0.871,last_token,encode_only,0.3611111111111111,0.004,0.1388888888888889,0.11111111111111116,1.2499999999999996,True
