model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,corr_contrast_entropy,corr_contrast_norm,mean_delta_entropy,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
deepseek-coder-6.7b,mismatched_pairs,clrp,0,last_token,rename_opaque,cumulative,22,0.0,72,0.012531708318015219,3.795249969062458e-05,0.5555555555555556,0.5833333333333334,-0.010003611337359164,-0.01004156383704979,0.6067441563508613,0.572,0.02219389683261322,0.5,0.23277626726223652,-0.22588704234648502,-6.532757083244078e-05,0.0,0.0,0.03125,163.0
deepseek-coder-6.7b,mismatched_pairs,clrp,0,last_token,rename_opaque_encode,cumulative,23,0.0,72,-0.002953047398452205,1.8939653995749008e-05,0.4444444444444444,0.5416666666666666,-0.010057858165922685,-0.010076797819918434,-0.12065212318544098,0.898,0.023069267985727577,0.5694444444444444,0.5519029782759495,-0.5394253150982401,-2.0938249596838235e-05,0.0,0.0,0.03125,175.0
deepseek-coder-6.7b,mismatched_pairs,clrp,0,last_token,rename_opaque_encode_flatten,cumulative,24,0.0,72,0.012924094088476275,-6.8998184932162505e-06,0.5138888888888888,0.5138888888888888,-0.00969285813981207,-0.009685958321318855,0.3300682571873652,0.76,0.04065998327383513,0.125,-0.23161276999475378,0.33799209085095855,-3.312682764924604e-05,0.125,0.125,0.03125,26.0
deepseek-coder-6.7b,mismatched_pairs,clrp,3,last_token,clean_heldout,clean,-1,0.0968,72,-0.00446898873684486,-3.4862697954234426e-07,0.3888888888888889,0.3888888888888889,-0.010178672313992915,-0.010178323687013373,-0.4776645005027098,0.608,0.009002466316012196,1.0,0.24644509924862634,-0.08966172263120094,3.2447538755370827e-06,0.0,0.125,0.0625,173.0
deepseek-coder-6.7b,mismatched_pairs,clrp,3,last_token,normalize,baseline,0,0.0968,72,0.019457351019601235,1.053447358765901e-05,0.5277777777777778,0.5833333333333334,-0.010041432572945553,-0.01005196704653321,0.8920507801053825,0.368,0.021779255388436586,1.0,-0.3469955185918431,-0.17976028157651144,5.6679144709118985e-06,0.0,0.125,0.03125,78.0
deepseek-coder-6.7b,mismatched_pairs,clrp,3,last_token,rename_only,atomic,11,0.0968,72,-0.044754843241150574,-8.656436883425529e-06,0.4861111111111111,0.5138888888888888,-0.009980473417285033,-0.009971816980401609,-1.558625945394696,0.118,0.029464949092482044,1.0,0.042150876617468025,-0.36902775580223324,5.669490020824656e-06,0.0,0.0,0.0,169.0
deepseek-coder-6.7b,mismatched_pairs,clrp,3,last_token,opaque_only,atomic,12,0.0968,72,0.014413998099950857,2.9535456124662874e-06,0.4722222222222222,0.5138888888888888,-0.010044375729426578,-0.010047329275039044,0.35148055911201526,0.622,0.029962427107632805,0.6388888888888888,0.32255053481188645,-0.3422641348345161,9.31349246919597e-05,0.125,0.125,0.03125,95.0
deepseek-coder-6.7b,mismatched_pairs,clrp,3,last_token,encode_only,atomic,13,0.0968,72,0.014937744192474348,6.9609731186777585e-06,0.5555555555555556,0.5277777777777778,-0.010006050532209702,-0.010013011505328382,0.6935589272665592,0.526,0.02185425959751354,1.0,-0.2603788413852159,-0.40827455528747264,-1.4125612779593134e-06,0.0,0.125,0.0625,71.0
deepseek-coder-6.7b,mismatched_pairs,clrp,3,last_token,flatten_only,atomic,14,0.0968,72,0.007367641258116755,1.9888614020343586e-05,0.4583333333333333,0.5138888888888888,-0.009643859871467795,-0.009663748485488137,0.2086289572413624,0.942,0.08883758774859979,0.041666666666666664,0.32774212064020464,-0.280318791481987,-1.992944735181486e-05,0.0,0.0,0.0,124.0
deepseek-coder-6.7b,mismatched_pairs,clrp,3,last_token,rename_cumulative,cumulative,21,0.0968,72,-0.030498830150162977,-2.7876217983700465e-06,0.4305555555555556,0.4722222222222222,-0.009981243918178838,-0.009978456296380469,-1.2305880425927618,0.228,0.025326162679041267,1.0,-0.2197588327625784,-0.1348706481422655,3.9749669174958686e-06,0.0,0.125,0.0625,181.0
