lens,layer,read,family,concept,n_bases,binding_delta_ab,binding_delta_ab_lo,binding_delta_ab_hi,binding_delta_ba,binding_delta_ba_lo,binding_delta_ba_hi,value_delta,value_delta_lo,value_delta_hi,crossed_agreement
r-lens,6,call,random_concepts,random_0,56,-0.015345982142857142,-0.11357421875000001,0.08872767857142858,0.0234375,-0.07200753348214285,0.1258440290178571,-0.038783482142857144,-0.09514508928571429,0.014801897321428495,False
r-lens,6,call,random_concepts,random_1,56,-0.10463169642857142,-0.34989536830357143,0.12612304687499995,-0.005580357142857143,-0.23939732142857142,0.2291503906249996,-0.09905133928571429,-0.22044503348214287,0.0053152901785713524,True
r-lens,6,call,random_concepts,random_2,56,-0.22684151785714285,-0.43611886160714286,-0.04568917410714324,-0.20884486607142858,-0.4050048828125,-0.03193010602678581,-0.017996651785714284,-0.10631277901785714,0.07436174665178569,True
r-lens,6,post_use,binding_concept,active,56,-0.07407924107142858,-0.08454241071428571,-0.06375558035714286,-0.07101004464285714,-0.08189522879464287,-0.06012834821428571,-0.0030691964285714285,-0.009207589285714286,0.0025111607142857145,True
r-lens,6,post_use,binding_concept,binding,56,-0.03599330357142857,-0.04157366071428571,-0.030970982142857144,-0.03180803571428571,-0.037109375,-0.026785714285714284,-0.004185267857142857,-0.008091517857142858,-0.00027901785714285713,True
r-lens,6,post_use,binding_concept,bound,56,-0.0011858258928571428,-0.004464285714285714,0.0020926339285714285,-0.0017438616071428572,-0.005510602678571429,0.001953125,0.0005580357142857143,-0.00244140625,0.0035574776785714285,True
r-lens,6,post_use,binding_concept,definition,56,-0.020089285714285716,-0.026227678571428572,-0.013936941964285791,-0.014508928571428572,-0.021777343749999997,-0.007254464285714286,-0.005580357142857143,-0.010602678571428572,-0.0005580357142857143,True
r-lens,6,post_use,binding_concept,global,56,-0.05747767857142857,-0.06529017857142858,-0.04966517857142857,-0.0546875,-0.06305803571428571,-0.046875,-0.0027901785714285715,-0.009486607142857142,0.00390625,True
r-lens,6,post_use,binding_concept,inactive,56,-0.05580357142857143,-0.06361607142857142,-0.04743303571428571,-0.05133928571428571,-0.05970982142857143,-0.04296875,-0.004464285714285714,-0.011160714285714286,0.002232142857142857,True
r-lens,6,post_use,binding_concept,inner,56,0.017996651785714284,0.008510044642857142,0.027064732142857144,0.013950892857142858,0.004042271205357144,0.023716517857142856,0.004045758928571429,-0.0005580357142857143,0.008932059151785694,True
