task,layer,filler_type,filler_target,filler_tokens_mean,accuracy,n
binding,15,dead_code,1000,1009.0,0.7659148983446283,9001
binding,15,lexical_decoy,0,0.0,0.9984779299847792,1971
binding,15,lexical_decoy,50,71.0,0.903114186851211,2601
binding,15,lexical_decoy,100,119.0,0.8760413195601466,3001
binding,15,lexical_decoy,200,215.0,0.8499210110584519,3798
binding,15,lexical_decoy,500,519.0,0.8019902175746332,5929
binding,15,lexical_decoy,1000,1023.0,0.8040740335122112,9131
binding,15,scope_shadow,0,0.0,0.9979705733130391,1971
binding,15,scope_shadow,50,53.0,0.8812425328554361,4185
binding,15,scope_shadow,100,107.0,0.8316045588423614,7809
binding,15,scope_shadow,200,219.0,0.771223615626774,19377
binding,15,scope_shadow,500,519.0,0.6471556662176687,73497
binding,15,scope_shadow,1000,1019.0,0.5645706113928316,243346
binding,19,comment_prose,0,0.0,0.9989852866565195,1971
binding,19,comment_prose,50,57.0,0.9939086294416244,1970
binding,19,comment_prose,100,115.0,0.9873160832064941,1971
binding,19,comment_prose,200,202.0,0.9822425164890918,1971
binding,19,comment_prose,500,529.0,0.97866937531742,1969
binding,19,comment_prose,1000,1009.0,0.9700507614213199,1970
binding,19,competing_update,0,0.0,0.9989852866565195,1971
binding,19,competing_update,50,55.0,0.8680872653475393,1971
binding,19,competing_update,100,103.0,0.8340943683409436,1971
binding,19,competing_update,200,205.0,0.8715736040609137,1970
binding,19,competing_update,500,505.0,0.8629441624365483,1970
binding,19,competing_update,1000,1002.0,0.8680872653475393,1971
binding,19,dead_code,0,0.0,0.9994926433282597,1971
binding,19,dead_code,50,51.0,0.9571012078300708,2401
binding,19,dead_code,100,103.0,0.920742591931453,2801
binding,19,dead_code,200,207.0,0.8925298528186615,3601
binding,19,dead_code,500,529.0,0.8314083778658852,5801
binding,19,dead_code,1000,1009.0,0.7961337629152316,9001
binding,19,lexical_decoy,0,0.0,0.9989852866565195,1971
binding,19,lexical_decoy,50,71.0,0.8696655132641292,2601
binding,19,lexical_decoy,100,119.0,0.8757080973008997,3001
binding,19,lexical_decoy,200,215.0,0.8844128488678251,3798
binding,19,lexical_decoy,500,519.0,0.8635520323832012,5929
binding,19,lexical_decoy,1000,1023.0,0.8601467528200635,9131
binding,19,scope_shadow,0,0.0,0.9994926433282597,1971
binding,19,scope_shadow,50,53.0,0.9022700119474313,4185
binding,19,scope_shadow,100,107.0,0.8424894352669996,7809
binding,19,scope_shadow,200,219.0,0.7573411776848842,19377
binding,19,scope_shadow,500,519.0,0.6431691089432222,73497
binding,19,scope_shadow,1000,1019.0,0.5697607521800235,243346
binding,23,comment_prose,0,0.0,0.9989852866565195,1971
binding,23,comment_prose,50,57.0,0.9796954314720813,1970
binding,23,comment_prose,100,115.0,0.9720953830542871,1971
binding,23,comment_prose,200,202.0,0.960933536276002,1971
binding,23,comment_prose,500,529.0,0.9578466226510919,1969
binding,23,comment_prose,1000,1009.0,0.9446700507614213,1970
binding,23,competing_update,0,0.0,0.9994926433282597,1971
binding,23,competing_update,50,55.0,0.9213597158802638,1971
binding,23,competing_update,100,103.0,0.8406900050735667,1971
binding,23,competing_update,200,205.0,0.8898477157360406,1970
binding,23,competing_update,500,505.0,0.9126903553299492,1970
binding,23,competing_update,1000,1002.0,0.8964992389649924,1971
binding,23,dead_code,0,0.0,0.9994926433282597,1971
binding,23,dead_code,50,51.0,0.9425239483548521,2401
binding,23,dead_code,100,103.0,0.9186004998214923,2801
binding,23,dead_code,200,207.0,0.8908636489863927,3601
binding,23,dead_code,500,529.0,0.8481296328219272,5801
binding,23,dead_code,1000,1009.0,0.8123541828685702,9001
binding,23,lexical_decoy,0,0.0,0.9989852866565195,1971
binding,23,lexical_decoy,50,71.0,0.8662053056516724,2601
binding,23,lexical_decoy,100,119.0,0.8710429856714429,3001
binding,23,lexical_decoy,200,215.0,0.8683517640863613,3798
binding,23,lexical_decoy,500,519.0,0.8283015685613089,5929
binding,23,lexical_decoy,1000,1023.0,0.8213777242361188,9131
binding,23,scope_shadow,0,0.0,0.9989852866565195,1971
binding,23,scope_shadow,50,53.0,0.8234169653524492,4185
binding,23,scope_shadow,100,107.0,0.771417595082597,7809
binding,23,scope_shadow,200,219.0,0.722144810858234,19377
binding,23,scope_shadow,500,519.0,0.6242159543926963,73497
binding,23,scope_shadow,1000,1019.0,0.5517863453683233,243346
binding,27,comment_prose,0,0.0,0.9969558599695586,1971
binding,27,comment_prose,50,57.0,0.9741116751269036,1970
binding,27,comment_prose,100,115.0,0.9634703196347032,1971
binding,27,comment_prose,200,202.0,0.9518011161846778,1971
binding,27,comment_prose,500,529.0,0.9461655662772981,1969
binding,27,comment_prose,1000,1009.0,0.9289340101522843,1970
binding,27,competing_update,0,0.0,0.9964485032978183,1971
binding,27,competing_update,50,55.0,0.8904109589041096,1971
binding,27,competing_update,100,103.0,0.8432267884322678,1971
binding,27,competing_update,200,205.0,0.8583756345177666,1970
binding,27,competing_update,500,505.0,0.8776649746192894,1970
binding,27,competing_update,1000,1002.0,0.8356164383561644,1971
binding,27,dead_code,0,0.0,0.9959411466260781,1971
binding,27,dead_code,50,51.0,0.9266972094960433,2401
binding,27,dead_code,100,103.0,0.9043198857550875,2801
binding,27,dead_code,200,207.0,0.8467092474312691,3601
binding,27,dead_code,500,529.0,0.772108257197035,5801
binding,27,dead_code,1000,1009.0,0.7113654038440174,9001
binding,27,lexical_decoy,0,0.0,0.9964485032978183,1971
binding,27,lexical_decoy,50,71.0,0.8404459823144944,2601
binding,27,lexical_decoy,100,119.0,0.8347217594135288,3001
binding,27,lexical_decoy,200,215.0,0.8151658767772512,3798
binding,27,lexical_decoy,500,519.0,0.7429583403609378,5929
binding,27,lexical_decoy,1000,1023.0,0.6937903844047749,9131
binding,27,scope_shadow,0,0.0,0.9969558599695586,1971
binding,27,scope_shadow,50,53.0,0.8664277180406212,4185
binding,27,scope_shadow,100,107.0,0.8184146497630939,7809
binding,27,scope_shadow,200,219.0,0.7442844609588688,19377
binding,27,scope_shadow,500,519.0,0.6189912513435922,73497
binding,27,scope_shadow,1000,1019.0,0.5453469545420924,243346
binding,31,comment_prose,0,0.0,0.9979705733130391,1971
binding,31,comment_prose,50,57.0,0.9563451776649746,1970
binding,31,comment_prose,100,115.0,0.9507864028411973,1971
binding,31,comment_prose,200,202.0,0.9406392694063926,1971
binding,31,comment_prose,500,529.0,0.9375317420010157,1969
binding,31,comment_prose,1000,1009.0,0.9243654822335026,1970
binding,31,competing_update,0,0.0,0.9984779299847792,1971
binding,31,competing_update,50,55.0,0.8888888888888888,1971
binding,31,competing_update,100,103.0,0.8914256722475901,1971
binding,31,competing_update,200,205.0,0.8934010152284264,1970
binding,31,competing_update,500,505.0,0.8959390862944162,1970
binding,31,competing_update,1000,1002.0,0.8462709284627092,1971
binding,31,dead_code,0,0.0,0.9989852866565195,1971
binding,31,dead_code,50,51.0,0.9162848812994585,2401
binding,31,dead_code,100,103.0,0.8996786861835059,2801
binding,31,dead_code,200,207.0,0.8286587059150236,3601
binding,31,dead_code,500,529.0,0.7517669367350457,5801
binding,31,dead_code,1000,1009.0,0.6974780579935562,9001
binding,31,lexical_decoy,0,0.0,0.9989852866565195,1971
binding,31,lexical_decoy,50,71.0,0.865436370626682,2601
binding,31,lexical_decoy,100,119.0,0.8713762079306898,3001
binding,31,lexical_decoy,200,215.0,0.842548709847288,3798
binding,31,lexical_decoy,500,519.0,0.7527407657277787,5929
binding,31,lexical_decoy,1000,1023.0,0.6669587120797283,9131
binding,31,scope_shadow,0,0.0,0.9984779299847792,1971
binding,31,scope_shadow,50,53.0,0.8819593787335723,4185
binding,31,scope_shadow,100,107.0,0.849532590600589,7809
binding,31,scope_shadow,200,219.0,0.7726686277545544,19377
binding,31,scope_shadow,500,519.0,0.6680000544239901,73497
binding,31,scope_shadow,1000,1019.0,0.6258619414331856,243346
defuse_edge,-1,comment_prose,0,0.0,0.823404255319149,1410
defuse_edge,-1,comment_prose,50,57.0,0.8160583941605839,1370
defuse_edge,-1,comment_prose,100,115.0,0.8191101385849745,1371
defuse_edge,-1,comment_prose,200,202.0,0.8170553935860059,1372
defuse_edge,-1,comment_prose,500,529.0,0.8193736343772761,1373
