model,lens,basis,arm,layer,site,condition,n_candidates,n,sv1_share,sv1_floor,mean_pairwise_cosine,resultant_length,mean_norm,dropped_zero_norm
starcoder2-3b,logit,frozen_pool,main,15,last_token,clean_heldout,196,72,0.22664910632661833,0.013888888888888888,0.16723575727599563,0.4228497692015795,1.6477266984325598,0
starcoder2-3b,logit,frozen_pool,same_label_unsafe,15,last_token,clean_heldout,196,72,0.2992119997671883,0.013888888888888888,-0.013450609021683749,0.025001877557399393,5.964669696202825,0
starcoder2-3b,logit,frozen_pool,same_label_safe,15,last_token,clean_heldout,196,72,0.2942247239773606,0.013888888888888888,-0.01319350107392316,0.029641708544496582,6.018152209956725,0
starcoder2-3b,logit,frozen_pool,main,19,sink_arg,clean_heldout,196,72,0.35760352502858017,0.013888888888888888,0.27605761596564127,0.5348947291752386,8.099271165255765,0
starcoder2-3b,logit,frozen_pool,same_label_unsafe,19,sink_arg,clean_heldout,196,72,0.2511834551254799,0.013888888888888888,-0.013151525969122627,0.03033188096163413,9.68676129751877,0
starcoder2-3b,logit,frozen_pool,same_label_safe,19,sink_arg,clean_heldout,196,72,0.24914722600676123,0.013888888888888888,-0.013134842894914043,0.030601868693191217,10.465717863522327,0
starcoder2-3b,logit,frozen_pool,main,19,last_token,clean_heldout,196,72,0.24062793703051857,0.013888888888888888,0.1428088170932114,0.39333732366651786,1.6647264312344225,0
starcoder2-3b,logit,frozen_pool,same_label_unsafe,19,last_token,clean_heldout,196,72,0.28936526128222567,0.013888888888888888,-0.013173584242022071,0.029971171059414433,5.418483734022878,0
starcoder2-3b,logit,frozen_pool,same_label_safe,19,last_token,clean_heldout,196,72,0.3017769241275486,0.013888888888888888,-0.01256313750498322,0.03873292404154648,5.5622476886676555,0
starcoder2-3b,logit,frozen_pool,main,23,sink_arg,clean_heldout,196,72,0.33835453201469795,0.013888888888888888,0.2558409729674085,0.5159229739113464,7.3957585368857774,0
starcoder2-3b,logit,frozen_pool,same_label_unsafe,23,sink_arg,clean_heldout,196,72,0.21146008599897065,0.013888888888888888,-0.013689705313844308,0.019731152299604756,9.20677414020398,0
starcoder2-3b,logit,frozen_pool,same_label_safe,23,sink_arg,clean_heldout,196,72,0.23415914561399598,0.013888888888888888,-0.013432687280205559,0.025352844215142674,10.605532886619066,0
starcoder2-3b,logit,frozen_pool,main,23,last_token,clean_heldout,196,72,0.20738302124483676,0.013888888888888888,0.12383856506825308,0.36879191136296574,1.484527455656603,0
starcoder2-3b,logit,frozen_pool,same_label_unsafe,23,last_token,clean_heldout,196,72,0.2704089647107513,0.013888888888888888,-0.013493825210528625,0.02413457928772295,5.713987699642589,0
starcoder2-3b,logit,frozen_pool,same_label_safe,23,last_token,clean_heldout,196,72,0.28050345446531216,0.013888888888888888,-0.013515863645196202,0.02368006697832988,5.818796982807907,0
starcoder2-3b,logit,frozen_pool,main,27,sink_arg,clean_heldout,196,72,0.2960094615785741,0.013888888888888888,0.21667692905340907,0.477028737236961,5.626842867845404,0
starcoder2-3b,logit,frozen_pool,same_label_unsafe,27,sink_arg,clean_heldout,196,72,0.24049951215595033,0.013888888888888888,-0.013604582474650845,0.021754515591209916,8.157757729582999,0
starcoder2-3b,logit,frozen_pool,same_label_safe,27,sink_arg,clean_heldout,196,72,0.2348181947679019,0.013888888888888888,-0.013811863038092481,0.016396868050973172,9.047693266557502,0
starcoder2-3b,logit,frozen_pool,main,27,last_token,clean_heldout,196,72,0.19692372965607144,0.013888888888888888,0.11071001398660923,0.35080088909857504,1.3129419398875468,0
starcoder2-3b,logit,frozen_pool,same_label_unsafe,27,last_token,clean_heldout,196,72,0.23558715115686832,0.013888888888888888,-0.013722712235634494,0.01888835299197155,5.712456060902012,0
starcoder2-3b,logit,frozen_pool,same_label_safe,27,last_token,clean_heldout,196,72,0.23590109519975083,0.013888888888888888,-0.013709128721710578,0.019239665609298674,5.802417631994838,0
starcoder2-3b,logit,frozen_pool,main,29,sink_arg,clean_heldout,196,72,0.2490893033582195,0.013888888888888888,0.17982787436188424,0.43728612359030544,4.120725516372373,0
starcoder2-3b,logit,frozen_pool,same_label_unsafe,29,sink_arg,clean_heldout,196,72,0.2834285059337745,0.013888888888888888,-0.013549548386512778,0.022967992389649774,6.490497828568797,0
starcoder2-3b,logit,frozen_pool,same_label_safe,29,sink_arg,clean_heldout,196,72,0.29948019895322237,0.013888888888888888,-0.013685803713117336,0.019828408481221575,7.186949971473567,0
starcoder2-3b,logit,frozen_pool,main,29,last_token,clean_heldout,196,72,0.21602989702998576,0.013888888888888888,0.12464809850072926,0.36987263186038816,0.9800230536113131,0
