layer,arm,example,rho,abs_error
3,no_attn,0,1.3509148359298706,0.3509148359298706
3,no_attn,1,1.8226374387741089,0.8226374387741089
3,no_attn,2,2.0807623863220215,1.0807623863220215
3,no_attn,3,1.9499638080596924,0.9499638080596924
3,no_attn,4,2.156644344329834,1.156644344329834
3,no_attn,5,1.9774487018585205,0.9774487018585205
3,no_attn,6,2.328030586242676,1.3280305862426758
3,no_attn,7,1.7140381336212158,0.7140381336212158
3,no_attn,8,1.6729216575622559,0.6729216575622559
3,no_attn,9,1.1942143440246582,0.1942143440246582
3,no_ln,0,-0.008275963366031647,1.0082759633660316
3,no_ln,1,-9.324181155534461e-05,1.0000932418115553
3,no_ln,2,-0.006897810846567154,1.0068978108465672
3,no_ln,3,0.0032931880559772253,0.9967068119440228
3,no_ln,4,-0.0015384346479550004,1.001538434647955
3,no_ln,5,0.021048428490757942,0.9789515715092421
3,no_ln,6,0.03718286380171776,0.9628171361982822
3,no_ln,7,0.017834994941949844,0.9821650050580502
3,no_ln,8,0.04346241056919098,0.956537589430809
3,no_ln,9,0.02925993874669075,0.9707400612533092
3,no_identity,0,0.688426673412323,0.311573326587677
3,no_identity,1,0.5621487498283386,0.4378512501716614
3,no_identity,2,0.5382611751556396,0.46173882484436035
3,no_identity,3,0.5283346176147461,0.4716653823852539
3,no_identity,4,0.552876353263855,0.447123646736145
3,no_identity,5,0.545472264289856,0.45452773571014404
3,no_identity,6,0.5557731986045837,0.44422680139541626
3,no_identity,7,0.5569969415664673,0.4430030584335327
3,no_identity,8,0.5306938290596008,0.46930617094039917
3,no_identity,9,0.5125777125358582,0.48742228746414185
3,no_half,0,8.949612617492676,7.949612617492676
3,no_half,1,9.129843711853027,8.129843711853027
3,no_half,2,9.07715129852295,8.07715129852295
3,no_half,3,8.719161033630371,7.719161033630371
3,no_half,4,9.480212211608887,8.480212211608887
3,no_half,5,8.155118942260742,7.155118942260742
3,no_half,6,7.476146697998047,6.476146697998047
3,no_half,7,7.537369251251221,6.537369251251221
3,no_half,8,6.927003383636475,5.927003383636475
