model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,n_pairs,taint_mean_delta_z,taint_sign_consistency,taint_permutation_p,taint_permutation_effect_size,taint_corr_model_delta,taint_lens_tracks_model,security_mean_delta_z,security_sign_consistency,security_permutation_p,security_permutation_effect_size,security_corr_model_delta,security_lens_tracks_model,mean_model_delta_margin,model_pair_separation
deepseek-coder-6.7b,clens,3,0.0968,e6,rename_opaque,cumulative,22,72,-0.00036717564637710583,0.4861111111111111,0.66,-0.39851300755438734,-0.30882708633446637,0.375,-0.000877879225793453,0.3888888888888889,0.168,-1.3446415460726715,-0.18025837789571156,0.5277777777777778,-0.006510419150193532,0.4027777777777778
deepseek-coder-6.7b,clens,3,0.0968,e6,rename_opaque_encode,cumulative,23,72,0.002010981175984026,0.5972222222222222,0.016,2.383071741348469,-0.28964069349135396,0.3472222222222222,0.00037259398927538053,0.5555555555555556,0.53,0.7448021271787446,-0.33774534801778805,0.2916666666666667,-0.006510420805878109,0.3611111111111111
deepseek-coder-6.7b,clens,3,0.0968,e6,rename_opaque_encode_flatten,cumulative,24,72,4.531891650816972e-05,0.5138888888888888,0.854,0.22942242668622262,-0.043785000421720933,0.3472222222222222,0.00043440683842390883,0.5972222222222222,0.052,1.9335805254013887,-0.003150906314807737,0.3194444444444444,-0.002604164183139801,0.3472222222222222
deepseek-coder-6.7b,clens,7,0.2258,e6,clean_heldout,clean,-1,72,-0.0006019658273859813,0.4166666666666667,0.698,-0.4152104503810201,0.09672910592366607,0.3888888888888889,0.0013069634820124197,0.5277777777777778,0.32,1.0189925273715421,0.08147070528083442,0.4166666666666667,-0.016167534722222224,0.2222222222222222
deepseek-coder-6.7b,clens,7,0.2258,e6,normalize,baseline,0,72,9.244923551136412e-05,0.4861111111111111,0.948,0.0248205016410636,0.16994799638602967,0.4305555555555556,0.0009161204131922615,0.5138888888888888,0.528,0.6861239614923275,0.15324417576436247,0.4722222222222222,-0.017578125827842288,0.3333333333333333
deepseek-coder-6.7b,clens,7,0.2258,e6,rename_only,atomic,11,72,0.0007758669740280111,0.5833333333333334,0.644,0.5233779620074495,0.18772366753670347,0.4583333333333333,0.0018660624636101118,0.5972222222222222,0.126,1.6137670772421135,0.013029169488249432,0.4444444444444444,-0.003906252483526866,0.4027777777777778
deepseek-coder-6.7b,clens,7,0.2258,e6,opaque_only,atomic,12,72,-0.00028412217808779537,0.5138888888888888,0.86,-0.22992578542096656,0.2408596124913285,0.4583333333333333,0.0009138107106782365,0.4861111111111111,0.45,0.7567847788872547,0.05526656976053825,0.4305555555555556,-0.019422742227713268,0.2222222222222222
deepseek-coder-6.7b,clens,7,0.2258,e6,encode_only,atomic,13,72,1.858319778505171e-05,0.4583333333333333,0.99,-0.019768953303943126,0.17001041942036407,0.4166666666666667,0.0009728699432824194,0.4861111111111111,0.378,0.8830819773219721,0.10681185165114405,0.4722222222222222,-0.02723524471124013,0.2777777777777778
deepseek-coder-6.7b,clens,7,0.2258,e6,flatten_only,atomic,14,72,-0.0014704854055375787,0.4444444444444444,0.264,-1.1575830815134258,-0.3579402134044025,0.3472222222222222,-0.0011513283524978728,0.4583333333333333,0.128,-1.492051339116439,-0.23105593479033423,0.3611111111111111,0.0014105869664086236,0.3888888888888889
deepseek-coder-6.7b,clens,7,0.2258,e6,rename_cumulative,cumulative,21,72,0.0012293040388787974,0.5,0.356,0.9559007981363964,0.012462990744746362,0.5,0.0013692664053189174,0.5277777777777778,0.208,1.2878107304017847,-0.09114139967549485,0.4027777777777778,-0.008246527777777778,0.4027777777777778
