split,subset,layer,position,lens,accuracy,accuracy_ci_lo,accuracy_ci_hi,n_rows,n_bases,mean_bound_rank,reversal_rate,reversal_ci_lo,reversal_ci_hi,paired_gap,paired_gap_ci_lo,paired_gap_ci_hi,n_pairs
calib,all,18,mutation,jlens,0.43333333333333335,0.36666666666666664,0.48333333333333334,120,30,4.566666666666666,0.0,0.0,0.0,-0.03618386139472326,-0.08594274040311575,0.012031762202580764,60
calib,all,23,mutation,jlens,0.525,0.43333333333333335,0.6083333333333333,120,30,4.516666666666667,0.15,0.03333333333333333,0.2833333333333333,-0.008535744249820709,-0.07718255072832107,0.05705959865202498,60
calib,all,6,mutation,logit,0.475,0.35833333333333334,0.6,120,30,5.066666666666666,0.21666666666666667,0.08333333333333333,0.36666666666666664,0.0017134495079517364,-0.28575000431388614,0.2950105578141906,60
calib,all,12,mutation,logit,0.48333333333333334,0.4,0.5666666666666667,120,30,4.216666666666667,0.1,0.0,0.23333333333333334,-0.337718254327774,-0.7149380264679591,-0.014370064884424322,60
calib,all,18,mutation,logit,0.45,0.35,0.55,120,30,4.4,0.1,0.0,0.2,-0.4198866099119186,-1.4016592130810022,0.5363711543629551,60
calib,all,23,mutation,logit,0.525,0.43333333333333335,0.6083333333333333,120,30,4.516666666666667,0.15,0.03333333333333333,0.2833333333333333,-0.25972501436869305,-2.3425099714597066,1.7317787655194579,60
calib,all,6,mutation,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,13.294587024052937,12.940746305187544,13.634710678855578,60
calib,all,12,mutation,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,13.800545501708985,13.498273560206096,14.083700672388078,60
calib,all,18,mutation,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,12.876144671440125,12.541875142653783,13.211151662071545,60
calib,all,23,mutation,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,14.303245973587035,13.571610579689343,15.059228180646896,60
calib,all,6,pre_def,gram_random,0.5,0.5,0.5,120,30,5.4,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,12,pre_def,gram_random,0.5,0.5,0.5,120,30,5.033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,18,pre_def,gram_random,0.5,0.5,0.5,120,30,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,23,pre_def,gram_random,0.5,0.5,0.5,120,30,3.65,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,6,pre_def,jlens,0.5,0.5,0.5,120,30,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,12,pre_def,jlens,0.5,0.5,0.5,120,30,3.5416666666666665,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,18,pre_def,jlens,0.5,0.5,0.5,120,30,3.933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,23,pre_def,jlens,0.5,0.5,0.5,120,30,4.9,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,6,pre_def,logit,0.5,0.5,0.5,120,30,4.358333333333333,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,12,pre_def,logit,0.5,0.5,0.5,120,30,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,18,pre_def,logit,0.5,0.5,0.5,120,30,5.033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,23,pre_def,logit,0.5,0.5,0.5,120,30,4.9,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,6,pre_def,probe,0.5,0.5,0.5,120,30,,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,12,pre_def,probe,0.5,0.5,0.5,120,30,,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,18,pre_def,probe,0.5,0.5,0.5,120,30,,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,23,pre_def,probe,0.5,0.5,0.5,120,30,,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,6,use,gram_random,0.5166666666666667,0.4666666666666667,0.575,120,30,4.966666666666667,0.1,0.016666666666666666,0.2,0.0011009381463130314,-0.0017614099166045586,0.0040345022936041156,60
calib,all,12,use,gram_random,0.55,0.49166666666666664,0.6168749999999988,120,30,4.15,0.13333333333333333,0.03333333333333333,0.26666666666666666,0.00451754666864872,-0.0041030179957548775,0.01367864690410593,60
calib,all,18,use,gram_random,0.5,0.4666666666666667,0.5333333333333333,120,30,3.783333333333333,0.03333333333333333,0.0,0.08333333333333333,8.548920353253682e-05,-0.01584824853266279,0.016066872111211206,60
calib,all,23,use,gram_random,0.49166666666666664,0.475,0.5,120,30,4.9,0.0,0.0,0.0,0.006465431799491246,-0.02718593635906776,0.03689833349703495,60
