model,condition,condition_kind,condition_order,layer,target_token,target,ast_role,token_identical,n_pairs,mean_delta_frac,sign_consistency,permutation_p,permutation_effect_size,mean_frac_unsafe,mean_frac_safe,token_count_matched_frac,median_abs_rho_minus_one
deepseek-coder-1.3b,clean_heldout,clean,-1,0,24281, vulnerable,sink_arg,0,72,0.0041746155412007374,0.625,0.528,0.8666949481815546,0.006838340051993352,0.002663724510792616,0.6111111111111112,8.736952161747524e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,0,24281, vulnerable,sink_call,1,72,0.014227916912946365,0.3194444444444444,0.942,0.11493357221749236,-0.00016391651416628215,-0.014391833427112668,1.0,8.736952161747524e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,0,24281, vulnerable,source_expr,1,72,0.018486784443494997,0.4583333333333333,0.142,1.507501575498678,0.03417876038341601,0.015691975939921013,1.0,8.736952161747524e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,0,24281, vulnerable,taint_chain,1,72,-0.015495029162800076,0.09722222222222222,0.57,-0.7707422028731821,0.039738392052153904,0.055233421214953976,1.0,8.736952161747524e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,0,24281, vulnerable,trust_chain,1,72,0.012808544594954006,0.875,0.386,0.9346777419364712,0.061574147506841106,0.0487656029118871,1.0,8.736952161747524e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,0,24281, vulnerable,trusted_expr,1,72,-0.02102619651710473,0.3055555555555556,0.018,-1.5446802167106806,0.016216197654248792,0.03724239417135353,1.0,8.736952161747524e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,3,5723, safe,other,0,72,-0.3286763275567225,0.7361111111111112,0.946,-0.688026953965444,0.7060041659016871,1.0346804934584097,1.0,1.027114870932877e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,3,5723, safe,signature,1,72,0.20764078859518903,0.4583333333333333,0.952,0.7489428262184581,0.13816758677093563,-0.06947320182425336,1.0,1.027114870932877e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,3,5723, safe,sink_arg,0,72,0.025511366499020582,0.5416666666666666,0.842,0.7759775249829308,0.0036098829336836946,-0.021901483565336874,0.6111111111111112,1.027114870932877e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,3,5723, safe,sink_call,1,72,0.17349319894006435,0.3333333333333333,0.934,0.6203470984908136,-0.016004709708713486,-0.18949790864877786,1.0,1.027114870932877e-07
