model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,n_pairs,taint_mean_delta_z,taint_sign_consistency,taint_permutation_p,taint_permutation_effect_size,taint_corr_model_delta,taint_lens_tracks_model,security_mean_delta_z,security_sign_consistency,security_permutation_p,security_permutation_effect_size,security_corr_model_delta,security_lens_tracks_model,mean_model_delta_margin,model_pair_separation
starcoder2-3b,clens,0,0.0,sink,rename_opaque_encode_flatten,cumulative,24,72,-0.00012640749037417457,0.5555555555555556,0.6,-0.5394250637880188,-0.16582250180785982,0.5,0.0005430272411614195,0.4722222222222222,0.244,1.2538719823066378,0.13970682105444904,0.375,0.008843315972222222,0.6527777777777778
starcoder2-3b,clens,3,0.1034,sink,clean_heldout,clean,-1,72,-0.0004910199017588866,0.4722222222222222,0.43,-0.8135681642080168,0.09162224335172461,0.4444444444444444,-0.0010763438261212513,0.4722222222222222,0.346,-0.9222630374268711,-0.08587543988702405,0.4305555555555556,0.03857422123352686,0.9166666666666666
starcoder2-3b,clens,3,0.1034,sink,normalize,baseline,0,72,-0.0009227745825593862,0.3611111111111111,0.196,-1.3582199857233843,0.056500506787076854,0.375,-0.0011841904436002816,0.4305555555555556,0.35,-0.9241511407937216,-0.06541294970593758,0.3888888888888889,0.04399955686595705,0.8888888888888888
starcoder2-3b,clens,3,0.1034,sink,rename_only,atomic,11,72,0.0015992337778979891,0.5972222222222222,0.158,1.2383147052458052,0.2776829650664269,0.6111111111111112,-0.0016494637049888395,0.4305555555555556,0.076,-1.8879560216152291,0.07698612721363574,0.5,0.016248919069767,0.7083333333333334
starcoder2-3b,clens,3,0.1034,sink,opaque_only,atomic,12,72,-0.0007977021430625391,0.375,0.24,-1.2001482930940477,0.13778016138293167,0.3888888888888889,-0.0005571803927756744,0.4861111111111111,0.6,-0.5111642776841194,0.1113323640846962,0.5,0.03529188368055555,0.7638888888888888
starcoder2-3b,clens,3,0.1034,sink,encode_only,atomic,13,72,-0.0006099151105107311,0.4722222222222222,0.43,-0.8093844649521867,0.11085589953380397,0.4722222222222222,-0.0007912258113124374,0.4861111111111111,0.548,-0.5822766291095983,-0.07183626274702158,0.4722222222222222,0.04142253018087811,0.8333333333333334
starcoder2-3b,clens,3,0.1034,sink,flatten_only,atomic,14,72,-0.00014756484689322657,0.4861111111111111,0.73,-0.3573874019123907,0.1595449574261602,0.5833333333333334,-6.39371306330692e-05,0.5555555555555556,0.772,-0.2816036029134971,0.14305580328535028,0.5555555555555556,0.017333983547157712,0.6944444444444444
starcoder2-3b,clens,3,0.1034,sink,rename_cumulative,cumulative,21,72,0.0013457038877389014,0.5277777777777778,0.372,0.9655652377713031,-0.05680526882234427,0.4583333333333333,0.00044254931901346265,0.6111111111111112,0.642,0.44456145997690233,0.08028324110762973,0.4722222222222222,0.017849392361111112,0.6666666666666666
starcoder2-3b,clens,3,0.1034,sink,rename_opaque,cumulative,22,72,0.0010929714255439624,0.5555555555555556,0.268,1.0749688006781848,0.23856802606725994,0.4583333333333333,-0.0006241134850277003,0.4583333333333333,0.364,-0.9082192793229934,-0.11264459998406984,0.5,0.01665582176711824,0.7361111111111112
starcoder2-3b,clens,3,0.1034,sink,rename_opaque_encode,cumulative,23,72,-3.0354871946654722e-05,0.5138888888888888,0.986,-0.03623276445781974,0.17152659821061172,0.5277777777777778,-0.0018851957652221156,0.4305555555555556,0.058,-1.9554800259696732,-0.06813760625242574,0.4861111111111111,0.014838337898254395,0.6805555555555556
