layer,lens,comparison,stratum,accuracy,mean_margin,n
15,random,control_dep,non_dependent,0.4036697247706422,-0.10504377790547292,109
15,random,control_dep,temporally_matched,0.46987951807228917,-0.1144407787954951,415
15,random,guard_var,all,0.5266666666666666,-0.022012616892655698,150
15,random,guard_var,present_in_program,0.5266666666666666,-0.022012616892655698,150
15,random,guard_var,temporally_matched,0.5103448275862069,-0.04557862497609238,145
15,random,next_ident,all,0.5533333333333333,0.1108815643688043,150
15,random,next_ident,present_in_program,0.5533333333333333,0.1108815643688043,150
15,random,next_ident,temporally_matched,0.5714285714285714,0.09141333912100111,35
19,clens,control_dep,all,0.5114503816793893,0.0006567300860988403,917
19,clens,control_dep,indent_matched,0.4962871287128713,-0.008255524062874293,808
19,clens,control_dep,non_dependent,0.6238532110091743,0.06672188010784465,109
19,clens,control_dep,temporally_matched,0.472289156626506,-0.025357674690614267,415
19,clens,guard_var,all,0.6066666666666667,0.10813903252283733,150
19,clens,guard_var,present_in_program,0.6066666666666667,0.10813903252283733,150
19,clens,guard_var,temporally_matched,0.6,0.10924030254627096,145
19,clens,next_ident,all,0.5133333333333333,-0.015489846865336098,150
19,clens,next_ident,present_in_program,0.5133333333333333,-0.015489846865336098,150
19,clens,next_ident,temporally_matched,0.5142857142857142,0.0463827235358102,35
19,logit,control_dep,all,0.4983642311886587,-0.25399409382397886,917
19,logit,control_dep,indent_matched,0.47896039603960394,-0.4971067096558538,808
19,logit,control_dep,non_dependent,0.6422018348623854,1.5481618106912036,109
19,logit,control_dep,temporally_matched,0.4650602409638554,-0.8265995546995876,415
19,logit,guard_var,all,0.62,2.724090619881948,150
19,logit,guard_var,present_in_program,0.62,2.724090619881948,150
19,logit,guard_var,temporally_matched,0.6413793103448275,2.9168002909627453,145
19,logit,next_ident,all,0.42,-1.8175429638226828,150
19,logit,next_ident,present_in_program,0.42,-1.8175429638226828,150
19,logit,next_ident,temporally_matched,0.5428571428571428,0.948159773009164,35
19,random,control_dep,all,0.4776444929116685,-0.043647932301040825,917
19,random,control_dep,indent_matched,0.4777227722772277,-0.04691058325369169,808
19,random,control_dep,non_dependent,0.47706422018348627,-0.019462409642858246,109
19,random,control_dep,temporally_matched,0.45542168674698796,-0.1187323639909905,415
19,random,guard_var,all,0.5,-0.0627881097793579,150
19,random,guard_var,present_in_program,0.5,-0.0627881097793579,150
19,random,guard_var,temporally_matched,0.4896551724137931,-0.07540654766148534,145
