layer,task,accuracy,f1,auc,control_accuracy,selectivity,n_train,n_test,n_groups,pos_frac,converged,notes,tag,tag_value
15,defuse_edge,0.9951189749847468,,,,,9832,2458,500,0.2117809779513465,True,,stratum,distance_matched
15,defuse_edge,0.998735632183908,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_10_50
15,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_0_10
15,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_50_200
15,control_dep,1.0,1.0,1.0,0.5323482091252636,0.4676517908747364,925,231,209,0.4044943820224719,True,,,
15,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,stratum,positive
15,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,stratum,non_dependent
15,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_0_10
15,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_10_50
15,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_50_200
15,taint_state,1.0,1.0,1.0,0.5225000000000001,0.4774999999999999,320,80,200,0.5,True,,,
19,lexical_token_type,1.0,1.0,0.0,0.17682499936495305,0.8231750006350469,16006,4001,419,0.0,False,,,
19,binding,0.9986240116968013,0.9976250386657043,0.99999315326922,0.6062123736317503,0.39241163806505097,13931,3482,500,0.17445733318019985,True,,,
19,binding,0.999670836076366,,,,,13931,3482,500,0.17445733318019985,True,,stratum,positive
19,binding,0.9978932584269663,,,,,13931,3482,500,0.17445733318019985,True,,stratum,same_name_diff_binding
19,binding,0.9995505617977528,,,,,13931,3482,500,0.17445733318019985,True,,stratum,diff_name
19,binding,0.9950532724505328,,,,,13931,3482,500,0.17445733318019985,True,,stratum,distance_matched
19,binding,0.999826056705514,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_0_10
19,binding,0.998004511539129,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_10_50
19,binding,1.0,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_50_200
19,defuse_edge,0.9986165621683334,0.9979416959884351,0.999994649105162,0.5778933105871704,0.42072325158116297,9832,2458,500,0.2117809779513465,True,,,
19,defuse_edge,0.9992316557817903,,,,,9832,2458,500,0.2117809779513465,True,,stratum,positive
19,defuse_edge,0.9950389794472005,,,,,9832,2458,500,0.2117809779513465,True,,stratum,same_name_diff_binding
19,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,stratum,diff_name
19,defuse_edge,0.9951189749847468,,,,,9832,2458,500,0.2117809779513465,True,,stratum,distance_matched
19,defuse_edge,0.9980459770114942,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_10_50
19,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_0_10
19,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_50_200
19,control_dep,1.0,1.0,1.0,0.5237296613812368,0.4762703386187632,925,231,209,0.4044943820224719,True,,,
19,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,stratum,positive
19,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,stratum,non_dependent
19,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_0_10
19,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_10_50
19,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_50_200
19,taint_state,1.0,1.0,1.0,0.5175,0.48250000000000004,320,80,200,0.5,True,,,
23,lexical_token_type,1.0,1.0,0.0,0.16743438685105946,0.8325656131489405,16006,4001,419,0.0,False,,,
23,binding,0.9977621725373622,0.9961350175747885,0.9999959897238385,0.5916938009133641,0.4060683716239981,13931,3482,500,0.17445733318019985,True,,,
23,binding,0.999670836076366,,,,,13931,3482,500,0.17445733318019985,True,,stratum,positive
23,binding,0.995435393258427,,,,,13931,3482,500,0.17445733318019985,True,,stratum,same_name_diff_binding
23,binding,0.9985393258426967,,,,,13931,3482,500,0.17445733318019985,True,,stratum,diff_name
23,binding,0.9954337899543378,,,,,13931,3482,500,0.17445733318019985,True,,stratum,distance_matched
23,binding,0.998782396938598,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_0_10
23,binding,0.9974839493319452,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_10_50
23,binding,0.9784172661870504,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_50_200
23,defuse_edge,0.9979669151917548,0.9969656476244033,0.999980367940641,0.5747331612352423,0.4232337539565125,9832,2458,500,0.2117809779513465,True,,,
23,defuse_edge,0.9992316557817903,,,,,9832,2458,500,0.2117809779513465,True,,stratum,positive
23,defuse_edge,0.9886605244507441,,,,,9832,2458,500,0.2117809779513465,True,,stratum,same_name_diff_binding
23,defuse_edge,0.9989454655016571,,,,,9832,2458,500,0.2117809779513465,True,,stratum,diff_name
23,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,stratum,distance_matched
23,defuse_edge,0.9979310344827587,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_10_50
23,defuse_edge,0.9985215848610289,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_0_10
23,defuse_edge,0.9904306220095693,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_50_200
23,control_dep,1.0,1.0,1.0,0.5124698099963665,0.4875301900036335,925,231,209,0.4044943820224719,True,,,
23,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,stratum,positive
23,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,stratum,non_dependent
23,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_0_10
23,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_10_50
23,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_50_200
23,taint_state,1.0,1.0,1.0,0.5075000000000001,0.49249999999999994,320,80,200,0.5,True,,,
