level,arm,layer,readout,reversal,reversal_ci_lo,reversal_ci_hi,beats_chance,mean_delta,delta_ci_lo,delta_ci_hi,delta_excludes_zero,n,n_bases,split,family,pair_index,inner_word,outer_word
pair,ab,20,jlens,0.04642857142857143,0.025,0.07142857142857142,False,-0.3407088015760694,-0.3621574847107487,-0.319734560658357,False,280,280,test,positional,6.0,new,original
pair,ab,20,jlens,0.9857142857142858,0.9714285714285714,0.9964285714285714,True,0.7988873111350195,0.762326799045716,0.8357813870800392,True,280,280,test,scope,0.0,local,global
pair,ab,20,jlens,0.5178571428571429,0.4607142857142857,0.5785714285714286,False,0.02118993295090539,0.0010356447100639344,0.04227529046258752,True,280,280,test,scope,1.0,inner,outer
pair,ab,20,jlens,0.9535714285714286,0.9285714285714286,0.9785714285714285,True,0.33676291022981913,0.3149826033599675,0.3594393006180014,True,280,280,test,scope,2.0,inside,outside
pair,ab,20,jlens,0.9785714285714285,0.9607142857142857,0.9928571428571429,True,0.5113041460514068,0.4825528912538929,0.5399702033666628,True,280,280,test,scope,3.0,nested,module
pair,ab,20,logit,0.9857142857142858,0.9714285714285714,0.9964285714285714,True,12.522794270515442,11.895147788865225,13.11731668229614,True,280,280,test,action,7.0,replaced,kept
pair,ab,20,logit,0.30714285714285716,0.2570535714285714,0.36080357142857095,False,-2.5065592821155276,-3.017337513267994,-2.0433993544323106,False,280,280,test,action,8.0,changed,unchanged
pair,ab,20,logit,0.6107142857142858,0.5535714285714286,0.6678571428571428,True,1.3393098975930895,0.8998808936029673,1.7625588424078042,True,280,280,test,positional,4.0,later,earlier
pair,ab,20,logit,0.19285714285714287,0.14642857142857144,0.2392857142857143,False,-2.80676400746618,-3.208838290923408,-2.4204643982861724,False,280,280,test,positional,5.0,second,first
pair,ab,20,logit,0.010714285714285714,0.0,0.025,False,-8.06978953225272,-8.483077611071723,-7.656700870863029,False,280,280,test,positional,6.0,new,original
pair,ab,20,logit,1.0,1.0,1.0,True,22.005919868605478,21.17444154330662,22.843803379791122,True,280,280,test,scope,0.0,local,global
pair,ab,20,logit,0.225,0.175,0.27151785714285664,False,-3.0746458530426026,-3.5209864799465453,-2.601734543953625,False,280,280,test,scope,1.0,inner,outer
pair,ab,20,logit,0.9071428571428571,0.8714285714285714,0.9392857142857143,True,6.68320871421269,6.124588410173144,7.263099541110652,True,280,280,test,scope,2.0,inside,outside
pair,ab,20,logit,0.9714285714285714,0.95,0.9892857142857143,True,10.002169154371535,9.370534759632179,10.614801259849752,True,280,280,test,scope,3.0,nested,module
pair,ab,24,gram_random,0.33785714285714286,0.3164285714285714,0.35714285714285715,False,-0.177261662052146,-0.1903276962186875,-0.16515085095419949,False,280,280,test,action,7.0,replaced,kept
pair,ab,24,gram_random,0.4307142857142857,0.4106964285714286,0.4507142857142857,False,-0.10925075049512088,-0.12335428693501414,-0.0952974012261922,False,280,280,test,action,8.0,changed,unchanged
pair,ab,24,gram_random,0.7542857142857142,0.7428571428571429,0.765,True,0.2947390425338277,0.2817420153156189,0.3081227034166056,True,280,280,test,positional,4.0,later,earlier
pair,ab,24,gram_random,0.2557142857142857,0.23785714285714285,0.27285714285714285,False,-0.2180565716592329,-0.2282746205264702,-0.20802216883429459,False,280,280,test,positional,5.0,second,first
pair,ab,24,gram_random,0.2778571428571429,0.26285714285714284,0.29357142857142854,False,-0.2317758878772812,-0.24803504240346538,-0.21616233650375427,False,280,280,test,positional,6.0,new,original
pair,ab,24,gram_random,0.7164285714285713,0.6971249999999999,0.735,True,0.22281542175582478,0.20986520081479104,0.23582848622876088,True,280,280,test,scope,0.0,local,global
pair,ab,24,gram_random,0.6728571428571428,0.6571249999999998,0.6885714285714285,True,0.08120646284627062,0.0729310895288363,0.08997625326578108,True,280,280,test,scope,1.0,inner,outer
pair,ab,24,gram_random,0.6192857142857142,0.6014285714285714,0.637142857142857,True,0.06483900152146817,0.05256235656780856,0.07690916110907813,True,280,280,test,scope,2.0,inside,outside
pair,ab,24,gram_random,0.52,0.5042857142857143,0.5364285714285714,True,-0.05556933852710894,-0.07135353252704121,-0.039497495807441226,False,280,280,test,scope,3.0,nested,module
pair,ab,24,jlens,0.8214285714285714,0.775,0.8642857142857143,True,0.2553298883140087,0.22034703887732965,0.29128369485427225,True,280,280,test,action,7.0,replaced,kept
pair,ab,24,jlens,0.060714285714285714,0.03571428571428571,0.08928571428571429,False,-0.5456424325704574,-0.585196858660451,-0.5076696685595172,False,280,280,test,action,8.0,changed,unchanged
pair,ab,24,jlens,0.8,0.7535714285714286,0.8464285714285714,True,0.2532204270628946,0.21877146667601274,0.28655533967473146,True,280,280,test,positional,4.0,later,earlier
pair,ab,24,jlens,0.20714285714285716,0.16071428571428573,0.25357142857142856,False,-0.19631363999630724,-0.22492931308357844,-0.16734356737030404,False,280,280,test,positional,5.0,second,first
pair,ab,24,jlens,0.20357142857142857,0.15714285714285714,0.25,False,-0.2519920140504837,-0.28557899133435316,-0.21998585911733765,False,280,280,test,positional,6.0,new,original
pair,ab,24,jlens,0.9857142857142858,0.9714285714285714,0.9964285714285714,True,0.7330995879002979,0.6870516400358507,0.7802026805068766,True,280,280,test,scope,0.0,local,global
pair,ab,24,jlens,0.5642857142857143,0.5071428571428571,0.625,True,0.02842343162213053,-0.004153917785733939,0.06293814572372605,False,280,280,test,scope,1.0,inner,outer
pair,ab,24,jlens,0.825,0.7785714285714286,0.8678571428571429,True,0.2176138423383236,0.19109226227338827,0.24552118203469686,True,280,280,test,scope,2.0,inside,outside
pair,ab,24,jlens,0.9928571428571429,0.9821428571428571,1.0,True,0.7861740940383503,0.7433098240782108,0.8265903466194867,True,280,280,test,scope,3.0,nested,module
pair,ab,24,logit,0.8321428571428572,0.7892857142857143,0.8714285714285714,True,5.795956843239921,5.072174918055534,6.501502713050161,True,280,280,test,action,7.0,replaced,kept
pair,ab,24,logit,0.07142857142857142,0.04285714285714286,0.1,False,-10.273622959000724,-11.119153946680683,-9.450846465911185,False,280,280,test,action,8.0,changed,unchanged
pair,ab,24,logit,0.7035714285714286,0.6464285714285715,0.7535714285714286,True,3.4252712385995046,2.707448241497789,4.117933463837419,True,280,280,test,positional,4.0,later,earlier
pair,ab,24,logit,0.10714285714285714,0.07142857142857142,0.14642857142857144,False,-6.148992549521583,-6.711536571787937,-5.61286743719663,False,280,280,test,positional,5.0,second,first
pair,ab,24,logit,0.1392857142857143,0.1,0.17857142857142858,False,-5.8477138893944876,-6.499764398677009,-5.236835582000869,False,280,280,test,positional,6.0,new,original
pair,ab,24,logit,0.9892857142857143,0.975,1.0,True,17.603259890420095,16.564898190072604,18.677290170107568,True,280,280,test,scope,0.0,local,global
pair,ab,24,logit,0.3535714285714286,0.29642857142857143,0.4107142857142857,False,-3.4261813879013063,-4.19448154934815,-2.6367857185431895,False,280,280,test,scope,1.0,inner,outer
pair,ab,24,logit,0.5857142857142857,0.5285714285714286,0.6392857142857142,True,1.7173985498292106,1.0980417393573694,2.359667241722345,True,280,280,test,scope,2.0,inside,outside
pair,ab,24,logit,0.9857142857142858,0.9714285714285714,0.9964285714285714,True,14.812108070509774,13.941069658483778,15.656730664287295,True,280,280,test,scope,3.0,nested,module
pair,ba,8,gram_random,0.49928571428571433,0.4864285714285714,0.5121428571428571,False,0.000294861755599933,-0.0014137686911271888,0.0019043016722093194,False,280,280,test,action,7.0,replaced,kept
pair,ba,8,gram_random,0.5778571428571428,0.5585714285714286,0.5971428571428571,True,0.006506540742037552,0.005052018864180096,0.007978484777068454,True,280,280,test,action,8.0,changed,unchanged
pair,ba,8,gram_random,0.47357142857142864,0.45498214285714284,0.4907142857142857,False,-0.001004169126972556,-0.0024939046834229627,0.00041919037844386647,False,280,280,test,positional,4.0,later,earlier
pair,ba,8,gram_random,0.5157142857142857,0.5,0.5321428571428571,False,0.010779554672273142,0.009416944275460472,0.012106865149523529,True,280,280,test,positional,5.0,second,first
pair,ba,8,gram_random,0.6278571428571429,0.6085714285714285,0.6450178571428571,True,0.021680472413344042,0.0199101984194879,0.023321975835582376,True,280,280,test,positional,6.0,new,original
pair,ba,8,gram_random,0.7578571428571428,0.74,0.7757142857142857,True,0.024607032465615443,0.023186246040759473,0.026068035763339138,True,280,280,test,scope,0.0,local,global
pair,ba,8,gram_random,0.415,0.4057142857142857,0.4242857142857142,False,-0.0033545933557408195,-0.004606643891477558,-0.0021314288669631682,False,280,280,test,scope,1.0,inner,outer
pair,ba,8,gram_random,0.3771428571428571,0.3678571428571429,0.3864285714285714,False,-0.024607709592341313,-0.0259894007884099,-0.02320528901092309,False,280,280,test,scope,2.0,inside,outside
pair,ba,8,gram_random,0.2835714285714286,0.26571428571428574,0.30142857142857143,False,-0.04404871944221668,-0.046048949798186585,-0.04225749484685781,False,280,280,test,scope,3.0,nested,module
pair,ba,8,jlens,0.12857142857142856,0.09285714285714286,0.16785714285714284,False,-0.027820419054478407,-0.030672639147378503,-0.02499979487553771,False,280,280,test,action,7.0,replaced,kept
pair,ba,8,jlens,0.0,0.0,0.0,False,-0.1037406033437167,-0.10614583557172279,-0.10144711884969314,False,280,280,test,action,8.0,changed,unchanged
pair,ba,8,jlens,0.02142857142857143,0.007142857142857143,0.039285714285714285,False,-0.04923729812726378,-0.051975089107373994,-0.0464153043855913,False,280,280,test,positional,4.0,later,earlier
pair,ba,8,jlens,0.7428571428571429,0.6928571428571428,0.7928571428571428,True,0.02278323753603867,0.019066345591896346,0.026391909355297685,True,280,280,test,positional,5.0,second,first
pair,ba,8,jlens,0.55,0.4928571428571429,0.6071428571428571,False,0.002906831869456385,-0.00021861032200311972,0.005947533400945498,False,280,280,test,positional,6.0,new,original
pair,ba,8,jlens,0.075,0.04642857142857143,0.10714285714285714,False,-0.042322278268901364,-0.045982857377301636,-0.03897205831516268,False,280,280,test,scope,0.0,local,global
pair,ba,8,jlens,0.4357142857142857,0.37857142857142856,0.49642857142857144,False,-0.000787588647965874,-0.003206653289629945,0.0017690118182716614,False,280,280,test,scope,1.0,inner,outer
pair,ba,8,jlens,0.6321428571428571,0.575,0.6892857142857143,True,0.008013876234846456,0.004940207104996911,0.01106296929065138,True,280,280,test,scope,2.0,inside,outside
pair,ba,8,jlens,1.0,1.0,1.0,True,0.13500863833885107,0.1311766290378624,0.1390930881477626,True,280,280,test,scope,3.0,nested,module
pair,ba,8,logit,0.9714285714285714,0.95,0.9892857142857143,True,2.6425878673791887,2.5003524083537716,2.7854930481740405,True,280,280,test,action,7.0,replaced,kept
pair,ba,8,logit,0.5,0.4463392857142857,0.5571428571428572,False,-0.06451821944543294,-0.19389632937099252,0.05948122435914576,False,280,280,test,action,8.0,changed,unchanged
pair,ba,8,logit,1.0,1.0,1.0,True,5.164454701542854,5.018616260194352,5.305824933392661,True,280,280,test,positional,4.0,later,earlier
pair,ba,8,logit,0.6607142857142857,0.6035714285714285,0.7142857142857143,True,0.4806239524057933,0.3264089365622827,0.6270413776380676,True,280,280,test,positional,5.0,second,first
pair,ba,8,logit,0.425,0.3678571428571429,0.48214285714285715,False,-0.24155956017119543,-0.37039535505431037,-0.11523443407246055,False,280,280,test,positional,6.0,new,original
pair,ba,8,logit,0.2857142857142857,0.23214285714285715,0.3392857142857143,False,-0.5538850533110755,-0.6606700707333428,-0.4430499912159784,False,280,280,test,scope,0.0,local,global
pair,ba,8,logit,0.5535714285714286,0.4928571428571429,0.6107142857142858,False,0.14860295355319977,0.056952971156154365,0.24437200963497158,True,280,280,test,scope,1.0,inner,outer
