model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,20,random,erase,3.25,3.25,0.0,0.02417023178822237
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,20,random_matched,erase,3.25,3.25,0.0,0.017182653221721224
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,12,jlens,erase,3.25,3.5,0.25,0.06161163564327189
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,12,rlens,erase,3.25,3.25,0.0,0.03489415307966444
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,12,logit,erase,3.25,3.5,0.25,0.04517707275571974
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,12,offtarget_j,erase,3.25,3.5,0.25,0.0452091810442116
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,12,offtarget_r,erase,3.25,3.5,0.25,0.02878140875431134
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,12,random,erase,3.25,3.25,0.0,0.018946233003932528
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,12,random_matched,erase,3.25,3.25,0.0,0.06161163564327189
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,16,jlens,erase,3.25,3.5,0.25,0.012973334806675783
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,16,rlens,erase,3.25,3.25,0.0,0.03555815301798768
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,16,logit,erase,3.25,3.25,0.0,0.02624814260822698
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,16,offtarget_j,erase,3.25,3.25,0.0,0.009917017834270266
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,16,offtarget_r,erase,3.25,3.25,0.0,0.006550210369637665
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,16,random,erase,3.25,3.25,0.0,0.015275427832298455
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,16,random_matched,erase,3.25,3.25,0.0,0.012973335782278656
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,20,jlens,erase,3.25,3.5,0.25,0.11146217543913543
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,20,rlens,erase,3.25,3.5,0.25,0.11044392355659897
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,20,logit,erase,3.25,3.25,0.0,0.12448457259906756
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,20,offtarget_j,erase,3.25,3.25,0.0,0.019538917211816772
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,20,offtarget_r,erase,3.25,3.25,0.0,0.0032035678252318716
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,20,random,erase,3.25,3.25,0.0,0.013601129923101515
