level,arm,control,layer,reversal_clens,reversal_control,difference,ci_lo,ci_hi,beats_control,n,n_bases,split,family,pair_index,inner_word,outer_word
pair,ab,gram_random,8,1.0,0.5276714285714286,0.4723285714285715,0.4706785714285714,0.47397875,True,280,280,test,positional,4.0,later,earlier
pair,ab,gram_random,8,0.7142857142857143,0.48917142857142853,0.22511428571428574,0.17207607142857145,0.27933982142857144,True,280,280,test,positional,5.0,second,first
pair,ab,gram_random,8,0.5964285714285714,0.5071642857142857,0.08926428571428571,0.030089642857142856,0.1466580357142857,True,280,280,test,positional,6.0,new,original
pair,ab,gram_random,8,0.9642857142857143,0.50995,0.45433571428571423,0.4302853571428572,0.4754951785714285,True,280,280,test,scope,0.0,local,global
pair,ab,gram_random,8,0.12142857142857143,0.49234285714285714,-0.3709142857142857,-0.4085955357142857,-0.3321410714285714,False,280,280,test,scope,1.0,inner,outer
pair,ab,gram_random,8,0.11428571428571428,0.47922142857142863,-0.36493571428571425,-0.39986749999999993,-0.3248669642857143,False,280,280,test,scope,2.0,inside,outside
pair,ab,gram_random,8,0.7,0.5176428571428572,0.1823571428571428,0.12864214285714284,0.2366932142857143,True,280,280,test,scope,3.0,nested,module
pair,ab,gram_random,12,0.5571428571428572,0.5186714285714286,0.03847142857142855,-0.01997392857142859,0.09863285714285709,False,280,280,test,action,7.0,replaced,kept
pair,ab,gram_random,12,0.7285714285714285,0.4824785714285714,0.24609285714285717,0.19224857142857146,0.29630714285714277,True,280,280,test,action,8.0,changed,unchanged
pair,ab,gram_random,12,1.0,0.5142928571428572,0.48570714285714284,0.48374964285714284,0.48767910714285717,True,280,280,test,positional,4.0,later,earlier
pair,ab,gram_random,12,0.6392857142857142,0.4873928571428571,0.15189285714285714,0.09770267857142859,0.20488696428571426,True,280,280,test,positional,5.0,second,first
pair,ab,gram_random,12,0.875,0.45041428571428577,0.42458571428571434,0.38537839285714287,0.4629805357142857,True,280,280,test,positional,6.0,new,original
pair,ab,gram_random,12,0.7892857142857143,0.5039071428571429,0.2853785714285714,0.23829267857142855,0.3319869642857143,True,280,280,test,scope,0.0,local,global
pair,ab,gram_random,12,0.6285714285714286,0.4888571428571428,0.13971428571428574,0.08348142857142857,0.19714428571428572,True,280,280,test,scope,1.0,inner,outer
pair,ab,gram_random,12,0.9035714285714286,0.4950142857142857,0.4085571428571428,0.3747494642857143,0.4411226785714286,True,280,280,test,scope,2.0,inside,outside
pair,ab,gram_random,12,0.9428571428571428,0.5200000000000001,0.4228571428571429,0.39325375,0.44867285714285704,True,280,280,test,scope,3.0,nested,module
pair,ab,gram_random,16,0.925,0.509407142857143,0.41559285714285715,0.38242125,0.44486732142857144,True,280,280,test,action,7.0,replaced,kept
pair,ab,gram_random,16,0.55,0.4958,0.054200000000000005,-0.006229821428571421,0.10873142857142852,False,280,280,test,action,8.0,changed,unchanged
pair,ab,gram_random,16,1.0,0.48517142857142853,0.5148285714285715,0.5130714285714285,0.5166,True,280,280,test,positional,4.0,later,earlier
pair,ab,gram_random,16,0.5678571428571428,0.5029642857142856,0.06489285714285714,0.006576071428571423,0.11959714285714285,True,280,280,test,positional,5.0,second,first
pair,ab,gram_random,16,0.16785714285714284,0.5071071428571429,-0.33925000000000005,-0.38175732142857144,-0.292145,False,280,280,test,positional,6.0,new,original
pair,ab,gram_random,16,0.9642857142857143,0.5343071428571429,0.4299785714285714,0.4083199999999999,0.4504869642857143,True,280,280,test,scope,0.0,local,global
pair,ab,gram_random,16,0.6678571428571428,0.5099642857142858,0.1578928571428571,0.10399625,0.21202875,True,280,280,test,scope,1.0,inner,outer
pair,ab,gram_random,16,0.825,0.4911214285714286,0.33387857142857147,0.29097624999999994,0.38021464285714274,True,280,280,test,scope,2.0,inside,outside
pair,ab,gram_random,16,1.0,0.48645714285714287,0.5135428571428572,0.5117710714285714,0.51532875,True,280,280,test,scope,3.0,nested,module
pair,ab,gram_random,20,0.9821428571428571,0.4997642857142857,0.48237857142857143,0.46506392857142853,0.4966001785714286,True,280,280,test,action,7.0,replaced,kept
pair,ab,gram_random,20,0.1,0.5228214285714285,-0.42282142857142857,-0.45611,-0.38642732142857145,False,280,280,test,action,8.0,changed,unchanged
