model,layer,site,condition,lens_a,lens_b,cosine,spearman,n_tokens
starcoder2-3b,15,last_token,encode_only,jlens,logit,0.4849037475098332,0.4597215692212067,196
starcoder2-3b,15,last_token,encode_only,jlens,rlens,0.9066978768443822,0.8955239104622716,196
starcoder2-3b,15,last_token,encode_only,logit,rlens,0.5709357449651755,0.5493055168182073,196
starcoder2-3b,15,last_token,flatten_only,jlens,logit,0.25009481520052446,0.26719314043461984,196
starcoder2-3b,15,last_token,flatten_only,jlens,rlens,0.8966124143304257,0.8913131828287739,196
starcoder2-3b,15,last_token,flatten_only,logit,rlens,0.3384121475214986,0.36323024328825637,196
starcoder2-3b,15,last_token,normalize,jlens,logit,0.515910342018493,0.5071217397540821,196
starcoder2-3b,15,last_token,normalize,jlens,rlens,0.8999507916486964,0.8876570854815962,196
starcoder2-3b,15,last_token,normalize,logit,rlens,0.5874771602293432,0.5728215222051336,196
starcoder2-3b,15,last_token,opaque_only,jlens,logit,0.5097140245525732,0.4924049119843174,196
starcoder2-3b,15,last_token,opaque_only,jlens,rlens,0.9203168425761042,0.9138330849715912,196
starcoder2-3b,15,last_token,opaque_only,logit,rlens,0.5840368808643734,0.5575150013148563,196
starcoder2-3b,15,last_token,rename_cumulative,jlens,logit,0.5054072900503348,0.48172987273784956,196
starcoder2-3b,15,last_token,rename_cumulative,jlens,rlens,0.9013155314143781,0.8837380168779735,196
starcoder2-3b,15,last_token,rename_cumulative,logit,rlens,0.5802233955367061,0.5536198391890923,196
starcoder2-3b,15,last_token,rename_only,jlens,logit,0.5016833770435866,0.4695009124305717,196
starcoder2-3b,15,last_token,rename_only,jlens,rlens,0.9010737312033972,0.8858927874156302,196
starcoder2-3b,15,last_token,rename_only,logit,rlens,0.5905197111011706,0.5463124257903084,196
starcoder2-3b,15,last_token,rename_opaque,jlens,logit,0.44496884709922085,0.4340380431750991,196
starcoder2-3b,15,last_token,rename_opaque,jlens,rlens,0.9168877087064102,0.896612452087434,196
