layer,arm,example,rho,abs_error
3,none,7,-1.9387712478637695,2.9387712478637695
3,none,8,-0.15356984734535217,1.1535698473453522
3,none,9,-0.4823838770389557,1.4823838770389557
7,all,0,0.9999998807907104,1.1920928955078125e-07
7,all,1,0.9999998807907104,1.1920928955078125e-07
7,all,2,0.9999997615814209,2.384185791015625e-07
7,all,3,1.0,0.0
7,all,4,0.9999997615814209,2.384185791015625e-07
7,all,5,0.9999998807907104,1.1920928955078125e-07
7,all,6,1.0000003576278687,3.5762786865234375e-07
7,all,7,0.9999998211860657,1.7881393432617188e-07
7,all,8,1.0000004768371582,4.76837158203125e-07
7,all,9,1.0000001192092896,1.1920928955078125e-07
7,no_attn,0,1.3547896146774292,0.3547896146774292
7,no_attn,1,1.6953608989715576,0.6953608989715576
7,no_attn,2,1.6608725786209106,0.6608725786209106
7,no_attn,3,1.7676736116409302,0.7676736116409302
7,no_attn,4,1.5389593839645386,0.5389593839645386
7,no_attn,5,1.5768786668777466,0.5768786668777466
7,no_attn,6,0.6835431456565857,0.3164568543434143
7,no_attn,7,5.848945140838623,4.848945140838623
7,no_attn,8,2.973701238632202,1.9737012386322021
7,no_attn,9,1.503423810005188,0.503423810005188
7,no_ln,0,0.04040614515542984,0.9595938548445702
7,no_ln,1,0.054265644401311874,0.9457343555986881
7,no_ln,2,0.04487764462828636,0.9551223553717136
7,no_ln,3,0.05089976266026497,0.949100237339735
7,no_ln,4,0.040913697332143784,0.9590863026678562
7,no_ln,5,0.0387125238776207,0.9612874761223793
7,no_ln,6,-0.2445390671491623,1.2445390671491623
7,no_ln,7,-0.47198691964149475,1.4719869196414948
7,no_ln,8,-0.21895445883274078,1.2189544588327408
7,no_ln,9,-0.13540169596672058,1.1354016959667206
7,no_identity,0,0.83589768409729,0.16410231590270996
7,no_identity,1,0.7531505227088928,0.24684947729110718
7,no_identity,2,0.7676973938941956,0.23230260610580444
7,no_identity,3,0.7561483383178711,0.2438516616821289
7,no_identity,4,0.7706614136695862,0.22933858633041382
7,no_identity,5,0.7442458271980286,0.25575417280197144
7,no_identity,6,0.7486079931259155,0.2513920068740845
7,no_identity,7,0.9200122356414795,0.07998776435852051
