model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,corr_contrast_entropy,corr_contrast_norm,mean_delta_entropy,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
deepseek-coder-1.3b,mismatched_pairs,jlens,3,last_token,clean_heldout,clean,-1,0.1304,72,0.006273224745227655,2.8102820419650953e-06,0.5277777777777778,0.5,-0.010344091731333228,-0.010346902013375193,0.7035317911277762,0.524,0.009454572837974072,1.0,0.19645532400121674,-0.8672878490844583,-7.42347267410379e-07,0.0,0.0,0.03125,55.0
deepseek-coder-1.3b,mismatched_pairs,jlens,3,last_token,normalize,baseline,0,0.1304,72,0.04005355854353716,1.5791223503583962e-05,0.6805555555555556,0.6527777777777778,-0.00983266305391818,-0.009848454277421766,1.8425775330015872,0.056,0.021212200913173444,1.0,-0.5851945383672768,-0.8550238431359141,2.6062538368244583e-05,0.125,0.0,0.0625,31.0
deepseek-coder-1.3b,mismatched_pairs,jlens,3,last_token,rename_only,atomic,11,0.1304,72,0.015352284232939427,4.724117123859588e-07,0.5833333333333334,0.4444444444444444,-0.009788045715976666,-0.009788518127689052,0.8592782481363723,0.446,0.01872887115435978,1.0,-0.030542219609994602,-0.8446599743383297,4.9061247256220066e-05,0.0,0.125,0.0625,67.0
deepseek-coder-1.3b,mismatched_pairs,jlens,3,last_token,opaque_only,atomic,12,0.1304,72,-0.003209914212916967,-2.1832198955778248e-05,0.5,0.5416666666666666,-0.009780908719956393,-0.009759076521000616,-0.11300628027682566,0.922,0.032555155611731314,0.6388888888888888,-0.8780470452853084,0.7339347149646225,0.0001640891796441668,0.0,0.0,0.09375,105.0
deepseek-coder-1.3b,mismatched_pairs,jlens,3,last_token,encode_only,atomic,13,0.1304,72,0.034676582333196766,1.0472385952774986e-05,0.6111111111111112,0.6388888888888888,-0.009842706002713692,-0.009853178388666466,1.6559102255512235,0.086,0.01985893018699299,1.0,-0.4495486050898172,-0.8335508495810884,3.6968596059703015e-05,0.125,0.0,0.0625,41.0
deepseek-coder-1.3b,mismatched_pairs,jlens,3,last_token,flatten_only,atomic,14,0.1304,72,-0.0183120833238664,2.9367817039879667e-06,0.4722222222222222,0.5277777777777778,-0.00971657687018223,-0.009719513651886216,-0.48460040403015114,0.66,0.039014378241359095,0.041666666666666664,-0.17851069429443087,-0.03520565357650194,-7.680278461911586e-06,0.125,0.125,0.0625,177.0
deepseek-coder-1.3b,mismatched_pairs,jlens,3,last_token,rename_cumulative,cumulative,21,0.1304,72,0.034674084226136284,1.199156969805206e-05,0.6111111111111112,0.6111111111111112,-0.009785139190181829,-0.00979713075987988,1.7783938700192676,0.084,0.020004982216620726,1.0,-0.15444547534995462,-0.8476788969733406,-2.196051293997433e-06,0.0,0.0,0.0,7.0
deepseek-coder-1.3b,mismatched_pairs,jlens,3,last_token,rename_opaque,cumulative,22,0.1304,72,0.011951494127944906,2.0303208222987794e-05,0.5277777777777778,0.5138888888888888,-0.009656110851117216,-0.009676414059340202,0.47932087388542166,0.64,0.025186818335887096,0.5,-0.11337836314664408,-0.17799646492353832,-0.0001333347275986638,0.125,0.0,0.0,73.0
deepseek-coder-1.3b,mismatched_pairs,jlens,3,last_token,rename_opaque_encode,cumulative,23,0.1304,72,0.009817260348176914,6.736138595943437e-06,0.5277777777777778,0.5,-0.009665144569955387,-0.00967188070855133,0.3945195530767846,0.688,0.025392620321485163,0.5694444444444444,-0.44201870247667124,0.07131341887605004,-2.3135308859161758e-05,0.125,0.0,0.0,89.0
deepseek-coder-1.3b,mismatched_pairs,jlens,3,last_token,rename_opaque_encode_flatten,cumulative,24,0.1304,72,-0.03691390182414535,-3.7598332103927876e-05,0.375,0.4444444444444444,-0.00985066180270414,-0.009813063470600212,-0.7355776347017049,0.482,0.0497505357838965,0.125,-0.5184334496667641,-0.476594103065001,8.937200874249552e-05,0.5,0.0,0.03125,126.0
