split,subset,layer,position,lens,accuracy,accuracy_ci_lo,accuracy_ci_hi,n_rows,n_bases,mean_bound_rank,reversal_rate,reversal_ci_lo,reversal_ci_hi,paired_gap,paired_gap_ci_lo,paired_gap_ci_hi,n_pairs
calib,all,31,mutation,logit,0.48255813953488375,0.46511627906976744,0.5,172,18,4.546511627906977,0.0,0.0,0.0,-0.652058623557867,-7.268360647673391,6.760035606635464,86
calib,all,8,mutation,probe,1.0,1.0,1.0,172,18,0.0,1.0,1.0,1.0,1.9654813679151757,1.9534551693815498,1.9757017219374922,86
calib,all,16,mutation,probe,1.0,1.0,1.0,172,18,0.0,1.0,1.0,1.0,1.9661848586659099,1.9567692293664989,1.9743792418921864,86
calib,all,24,mutation,probe,1.0,1.0,1.0,172,18,0.0,1.0,1.0,1.0,1.963450862224712,1.9508671712146342,1.974171896273149,86
calib,all,31,mutation,probe,1.0,1.0,1.0,172,18,0.0,1.0,1.0,1.0,1.9509221100529959,1.9316609117869705,1.9670489637361823,86
calib,all,8,pre_def,gram_random,0.5,0.5,0.5,172,18,4.651162790697675,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,16,pre_def,gram_random,0.5,0.5,0.5,172,18,5.837209302325581,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,24,pre_def,gram_random,0.5,0.5,0.5,172,18,5.569767441860465,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,31,pre_def,gram_random,0.5,0.5,0.5,172,18,4.959302325581396,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,8,pre_def,clens,0.5,0.5,0.5,172,18,4.738372093023256,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,16,pre_def,clens,0.5,0.5,0.5,172,18,4.011627906976744,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,24,pre_def,clens,0.5,0.5,0.5,172,18,4.691860465116279,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,31,pre_def,clens,0.5,0.5,0.5,172,18,5.017441860465116,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,8,pre_def,logit,0.5,0.5,0.5,172,18,5.005813953488372,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,16,pre_def,logit,0.5,0.5,0.5,172,18,5.383720930232558,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,24,pre_def,logit,0.5,0.5,0.5,172,18,5.441860465116279,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,31,pre_def,logit,0.5,0.5,0.5,172,18,5.017441860465116,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,8,pre_def,probe,0.5,0.5,0.5,172,18,0.5,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,16,pre_def,probe,0.5,0.5,0.5,172,18,0.5,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,24,pre_def,probe,0.5,0.5,0.5,172,18,0.5,0.0,0.0,0.0,0.0,0.0,0.0,86
calib,all,31,pre_def,probe,0.5,0.5,0.5,172,18,0.5,0.0,0.0,0.0,0.0,0.0,0.0,86
